https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume WBTC,Volume BTC
1663459200,2022-09-18 00:00:00,WBTC/BTC,1.00014,1.00016,0.99994,0.99994,1.571,1.571023479
1663455600,2022-09-17 23:00:00,WBTC/BTC,0.99996,0.99996,0.99993,0.99995,1.0861,1.086050172
1663452000,2022-09-17 22:00:00,WBTC/BTC,0.99996,0.99996,0.99996,0.99996,0,0
1663448400,2022-09-17 21:00:00,WBTC/BTC,0.99997,0.99997,0.99996,0.99996,0.0244,0.024399239
1663444800,2022-09-17 20:00:00,WBTC/BTC,1.00013,1.00013,0.99997,0.99997,0.0256,0.025602478
1663441200,2022-09-17 19:00:00,WBTC/BTC,1.00013,1.00013,1.00013,1.00013,0,0
1663437600,2022-09-17 18:00:00,WBTC/BTC,1.00013,1.00013,1.00013,1.00013,0.0153,0.015301989
1663434000,2022-09-17 17:00:00,WBTC/BTC,1.00013,1.00013,1.00013,1.00013,0.0433,0.043305629
1663430400,2022-09-17 16:00:00,WBTC/BTC,1.00002,1.00013,0.99984,1.00013,0.644,0.643978449
1663426800,2022-09-17 15:00:00,WBTC/BTC,0.99998,0.99998,0.99998,0.99998,0,0
1663423200,2022-09-17 14:00:00,WBTC/BTC,1,1,0.99998,0.99998,0.0525,0.052499304
1663419600,2022-09-17 13:00:00,WBTC/BTC,0.99984,0.99984,0.99984,0.99984,0,0
1663416000,2022-09-17 12:00:00,WBTC/BTC,0.99986,1,0.99984,0.99984,0.0785,0.078492154
1663412400,2022-09-17 11:00:00,WBTC/BTC,0.99986,0.99986,0.99986,0.99986,0,0
1663408800,2022-09-17 10:00:00,WBTC/BTC,0.99986,1.00005,0.99986,0.99986,0.0288,0.02879637
1663405200,2022-09-17 09:00:00,WBTC/BTC,0.99984,0.99984,0.99984,0.99984,0,0
1663401600,2022-09-17 08:00:00,WBTC/BTC,0.99987,0.99987,0.99984,0.99984,0.0003,0.000299958
1663398000,2022-09-17 07:00:00,WBTC/BTC,0.99983,0.99983,0.99983,0.99983,0.0002,0.000199966
1663394400,2022-09-17 06:00:00,WBTC/BTC,0.99986,0.99986,0.99986,0.99986,0,0
1663390800,2022-09-17 05:00:00,WBTC/BTC,0.99986,0.99986,0.99986,0.99986,0.0003,0.000299958
1663387200,2022-09-17 04:00:00,WBTC/BTC,0.99986,0.99986,0.99986,0.99986,0,0
1663383600,2022-09-17 03:00:00,WBTC/BTC,0.99986,0.99986,0.99986,0.99986,0.05,0.049993
