https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume MJT,Volume USDT
1663459200,2022-09-18 00:00:00,MJT/USDT,0.1625,0.1625,0.1614,0.1617,85438.7033,13839.40365611
1663372800,2022-09-17 00:00:00,MJT/USDT,0.1619,0.163,0.1613,0.162,511954.255,82975.21404822
1663286400,2022-09-16 00:00:00,MJT/USDT,0.1656,0.1662,0.1603,0.1614,1607917.3546,263045.02554335
1663200000,2022-09-15 00:00:00,MJT/USDT,0.1692,0.1694,0.1649,0.165,1718065.1836,286553.03056172
1663113600,2022-09-14 00:00:00,MJT/USDT,0.1679,0.17,0.1667,0.1692,1539409.4342,259438.77329792
1663027200,2022-09-13 00:00:00,MJT/USDT,0.1742,0.1742,0.1674,0.1679,814423.7415,138926.51159459
1662940800,2022-09-12 00:00:00,MJT/USDT,0.1748,0.1762,0.173,0.1742,1055877.9509,184611.00130947
1662854400,2022-09-11 00:00:00,MJT/USDT,0.1758,0.1777,0.172,0.1741,814342.4509,142645.6141968
1662768000,2022-09-10 00:00:00,MJT/USDT,0.1736,0.1765,0.1726,0.1753,2314341.9707,403770.22692411
1662681600,2022-09-09 00:00:00,MJT/USDT,0.1716,0.1757,0.1705,0.1741,2749332.663,476439.16293065
1662595200,2022-09-08 00:00:00,MJT/USDT,0.1715,0.1728,0.1697,0.1716,73307.8184,12557.80185155
1662508800,2022-09-07 00:00:00,MJT/USDT,0.1709,0.1777,0.167,0.172,1447035.4534,247189.80905616
1662422400,2022-09-06 00:00:00,MJT/USDT,0.1754,0.178,0.1697,0.1709,2533617.2063,444498.8063908
1662336000,2022-09-05 00:00:00,MJT/USDT,0.1766,0.1771,0.1734,0.175,2444934.7585,428003.6724289
1662249600,2022-09-04 00:00:00,MJT/USDT,0.1765,0.2,0.1376,0.1766,2347775.1638,413884.58943267
1662163200,2022-09-03 00:00:00,MJT/USDT,0.1765,0.1779,0.173,0.1765,831582.6222,146830.93161281
1662076800,2022-09-02 00:00:00,MJT/USDT,0.1763,0.1804,0.1752,0.1765,522974.1909,92541.84770968
1661990400,2022-09-01 00:00:00,MJT/USDT,0.1786,0.1792,0.1736,0.1769,479444.8223,84948.58717043
1661904000,2022-08-31 00:00:00,MJT/USDT,0.1826,0.1854,0.1767,0.1786,783466.5076,142280.86874077
1661817600,2022-08-30 00:00:00,MJT/USDT,0.1812,0.1859,0.1792,0.1826,768736.1723,140355.24673763
1661731200,2022-08-29 00:00:00,MJT/USDT,0.1787,0.1829,0.1768,0.1812,583528.0548,104650.76518416
1661644800,2022-08-28 00:00:00,MJT/USDT,0.1826,0.1849,0.178,0.1782,662959.2713,121027.63255803
1661558400,2022-08-27 00:00:00,MJT/USDT,0.1917,0.1925,0.1801,0.1827,712268.7964,131619.69814504
1661472000,2022-08-26 00:00:00,MJT/USDT,0.2067,0.2077,0.1904,0.1924,696221.48411713,138917.34057419174
1661385600,2022-08-25 00:00:00,MJT/USDT,0.2087,0.2107,0.2014,0.2068,645866.5956,133195.09039995
1661299200,2022-08-24 00:00:00,MJT/USDT,0.2118,0.2168,0.2018,0.2088,700312.9575,145668.0526474
1661212800,2022-08-23 00:00:00,MJT/USDT,0.2082,0.218,0.2053,0.2121,227500.437,47832.28942208
1661126400,2022-08-22 00:00:00,MJT/USDT,0.2129,0.2133,0.204,0.2078,281804.5833,58928.30814576
1661040000,2022-08-21 00:00:00,MJT/USDT,0.2074,0.2136,0.2062,0.2131,448961.6031,94545.02516779
1660953600,2022-08-20 00:00:00,MJT/USDT,0.2098,0.2113,0.202,0.2079,424329.39795459,88582.083648697523
1660867200,2022-08-19 00:00:00,MJT/USDT,0.2227,0.2227,0.2088,0.2097,497830.23,107318.59336922
1660780800,2022-08-18 00:00:00,MJT/USDT,0.2261,0.2283,0.2196,0.2227,310180.3464,69889.34704579
1660694400,2022-08-17 00:00:00,MJT/USDT,0.2314,0.2371,0.2211,0.2264,322619.3185,74012.03232246
1660608000,2022-08-16 00:00:00,MJT/USDT,0.2387,0.2393,0.2241,0.2316,343187.10572324,80139.511262088932
1660521600,2022-08-15 00:00:00,MJT/USDT,0.2432,0.2482,0.2361,0.2377,457164.4053,110215.05931553
1660435200,2022-08-14 00:00:00,MJT/USDT,0.2492,0.2522,0.2405,0.244,399582.6048,98438.62541075
1660348800,2022-08-13 00:00:00,MJT/USDT,0.2406,0.2669,0.2395,0.2491,952589.1067,238951.41728146
1660262400,2022-08-12 00:00:00,MJT/USDT,0.2308,0.2428,0.2283,0.2409,362218.6386,85291.35734482
1660176000,2022-08-11 00:00:00,MJT/USDT,0.2391,0.245,0.2116,0.2316,483879.1988,113790.39732092
1660089600,2022-08-10 00:00:00,MJT/USDT,0.2401,0.2453,0.2313,0.2396,468220.7429,111437.03520183
1660003200,2022-08-09 00:00:00,MJT/USDT,0.2428,0.2448,0.2325,0.2402,400553.2542,95974.72573646
1659916800,2022-08-08 00:00:00,MJT/USDT,0.2264,0.2574,0.2239,0.2428,496805.0453,116190.36816864
1659830400,2022-08-07 00:00:00,MJT/USDT,0.2268,0.2318,0.2151,0.2272,501071.4996,113526.80433891
1659744000,2022-08-06 00:00:00,MJT/USDT,0.2259,0.2293,0.2246,0.2271,314466.6319,71504.69961991
1659657600,2022-08-05 00:00:00,MJT/USDT,0.2212,0.2268,0.2202,0.2259,443456.6694,99357.65392523
1659571200,2022-08-04 00:00:00,MJT/USDT,0.2207,0.2241,0.2174,0.2213,799675.4114,177380.50328032
1659484800,2022-08-03 00:00:00,MJT/USDT,0.2179,0.2283,0.2137,0.2205,452971.3524,100255.75589977
1659398400,2022-08-02 00:00:00,MJT/USDT,0.2197,0.2226,0.2101,0.2173,623786.0406,136031.5612353
1659312000,2022-08-01 00:00:00,MJT/USDT,0.2196,0.2233,0.216,0.2198,866251.2506,191497.22722176
1659225600,2022-07-31 00:00:00,MJT/USDT,0.223,0.2266,0.2186,0.2196,825062.7428,184522.71061679
1659139200,2022-07-30 00:00:00,MJT/USDT,0.2361,0.2362,0.2164,0.222,1235131.8945,280264.84200746
1659052800,2022-07-29 00:00:00,MJT/USDT,0.24,0.244,0.2296,0.2361,1394780.7162,332050.27379619
1658966400,2022-07-28 00:00:00,MJT/USDT,0.2257,0.2599,0.2209,0.24,1241846.6262,292337.20702535
1658880000,2022-07-27 00:00:00,MJT/USDT,0.2179,0.2403,0.2153,0.2258,293008.38822482,64575.82381871594
1658793600,2022-07-26 00:00:00,MJT/USDT,0.216,0.2189,0.2102,0.2174,465876.2057,100056.58654227
1658707200,2022-07-25 00:00:00,MJT/USDT,0.2265,0.2286,0.214,0.2165,852681.3549,188577.39707417
1658620800,2022-07-24 00:00:00,MJT/USDT,0.2315,0.2315,0.2156,0.2272,1502457.4833,339000.72510903
