https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BNT,Volume USDT
1663459200,2022-09-18 00:00:00,BNT/USDT,0.475,0.476,0.4682,0.4737,744.702,350.06870848
1663372800,2022-09-17 00:00:00,BNT/USDT,0.4635,0.4771,0.4617,0.4765,7211.6475,3378.08932698
1663286400,2022-09-16 00:00:00,BNT/USDT,0.4681,0.4808,0.4595,0.4637,13645.9994,6373.11811492
1663200000,2022-09-15 00:00:00,BNT/USDT,0.4888,0.4897,0.4622,0.4681,39042.2956,18633.44086669
1663113600,2022-09-14 00:00:00,BNT/USDT,0.4628,0.65,0.4602,0.4877,140222.6841,72239.58924213
1663027200,2022-09-13 00:00:00,BNT/USDT,0.4987,0.5101,0.4623,0.4638,8830.7387,4333.2837349
1662940800,2022-09-12 00:00:00,BNT/USDT,0.5118,0.52,0.4912,0.4958,8274.8134,4202.55974765
1662854400,2022-09-11 00:00:00,BNT/USDT,0.5069,0.5261,0.4977,0.5105,27349.2378,13837.5625686
1662768000,2022-09-10 00:00:00,BNT/USDT,0.5008,0.535,0.4928,0.507,34406.7971,17399.25791839
1662681600,2022-09-09 00:00:00,BNT/USDT,0.4728,0.5349,0.4686,0.4998,39420.0493,19479.70867754
1662595200,2022-09-08 00:00:00,BNT/USDT,0.4682,0.5619,0.4632,0.4737,90468.3329,45554.96876487
1662508800,2022-09-07 00:00:00,BNT/USDT,0.4427,0.4752,0.4049,0.4678,28357.852,12376.27666881
1662422400,2022-09-06 00:00:00,BNT/USDT,0.4732,0.5243,0.4309,0.4462,25409.0437,11808.91750204
1662336000,2022-09-05 00:00:00,BNT/USDT,0.4698,0.4757,0.4602,0.4742,1456.1831,681.3944663
1662249600,2022-09-04 00:00:00,BNT/USDT,0.4588,0.4712,0.4534,0.4698,2765.5812,1291.1428854
1662163200,2022-09-03 00:00:00,BNT/USDT,0.4647,0.4685,0.4519,0.4577,7860.0407,3608.91577368
1662076800,2022-09-02 00:00:00,BNT/USDT,0.4707,0.4774,0.4566,0.4658,4225.2766,1978.95026693
1661990400,2022-09-01 00:00:00,BNT/USDT,0.4612,0.4714,0.4429,0.4702,20183.7411,9166.33402328
1661904000,2022-08-31 00:00:00,BNT/USDT,0.4507,0.4765,0.445,0.4568,13011.3555,5986.88194508
1661817600,2022-08-30 00:00:00,BNT/USDT,0.4598,0.4762,0.4372,0.4498,6446.6778,2967.27980972
1661731200,2022-08-29 00:00:00,BNT/USDT,0.4377,0.4762,0.4343,0.4612,11853.1789,5319.17002481
1661644800,2022-08-28 00:00:00,BNT/USDT,0.4588,0.4588,0.4354,0.4354,7307.4189,3291.94981403
1661558400,2022-08-27 00:00:00,BNT/USDT,0.4485,0.4692,0.4382,0.4585,12852.0157,5781.83861811
1661472000,2022-08-26 00:00:00,BNT/USDT,0.4945,0.4979,0.4422,0.4485,11624.5017,5497.32617486
1661385600,2022-08-25 00:00:00,BNT/USDT,0.4863,0.4995,0.4835,0.495,15398.6082,7598.04090053
1661299200,2022-08-24 00:00:00,BNT/USDT,0.4923,0.4986,0.4827,0.4863,13425.2168,6581.02099272
1661212800,2022-08-23 00:00:00,BNT/USDT,0.492,0.4975,0.4727,0.4942,14465.2276,7043.54274939
1661126400,2022-08-22 00:00:00,BNT/USDT,0.4904,0.5018,0.4672,0.4902,23296.1378,11255.2603839
1661040000,2022-08-21 00:00:00,BNT/USDT,0.4748,0.4958,0.474,0.4913,20065.7439,9736.78295192
1660953600,2022-08-20 00:00:00,BNT/USDT,0.4778,0.4978,0.4575,0.4724,12434.4554,5947.52388494
1660867200,2022-08-19 00:00:00,BNT/USDT,0.531,0.531,0.4752,0.4768,24894.4572,12392.59344953
1660780800,2022-08-18 00:00:00,BNT/USDT,0.5419,0.5529,0.5266,0.5286,9935.1961,5367.62133012
1660694400,2022-08-17 00:00:00,BNT/USDT,0.569,0.5893,0.5363,0.5402,20927.6096,11606.16605613
1660608000,2022-08-16 00:00:00,BNT/USDT,0.5803,0.5857,0.5656,0.5682,17566.9762,10175.62850644
1660521600,2022-08-15 00:00:00,BNT/USDT,0.597,0.607,0.57,0.58,30393.9358,17817.71654913
1660435200,2022-08-14 00:00:00,BNT/USDT,0.6175,0.6218,0.5824,0.593,40118.485,24322.28003462
1660348800,2022-08-13 00:00:00,BNT/USDT,0.609,0.624,0.6022,0.616,59845.0712,36688.46564473
1660262400,2022-08-12 00:00:00,BNT/USDT,0.5933,0.6166,0.585,0.6087,29797.6886,17868.44653338
1660176000,2022-08-11 00:00:00,BNT/USDT,0.6155,0.6286,0.59,0.5933,37823.6602,22931.87513198
1660089600,2022-08-10 00:00:00,BNT/USDT,0.593,0.6224,0.571,0.6122,33327.6043,20069.65715017
1660003200,2022-08-09 00:00:00,BNT/USDT,0.6105,0.6345,0.5785,0.5903,44849.5634,26798.22259714
1659916800,2022-08-08 00:00:00,BNT/USDT,0.5929,0.6746,0.5878,0.6087,94522.6316,59733.46296635
1659830400,2022-08-07 00:00:00,BNT/USDT,0.574,0.616,0.562,0.5929,47410.799,28128.60629993
1659744000,2022-08-06 00:00:00,BNT/USDT,0.5831,0.5927,0.5712,0.573,22933.5529,13314.76324144
1659657600,2022-08-05 00:00:00,BNT/USDT,0.5468,0.6282,0.5441,0.5803,59919.42879701,34493.7507630157
1659571200,2022-08-04 00:00:00,BNT/USDT,0.5451,0.5573,0.5391,0.5468,19496.8847,10738.43238469
1659484800,2022-08-03 00:00:00,BNT/USDT,0.5419,0.5695,0.5292,0.5417,20453.3725,11353.5271516
1659398400,2022-08-02 00:00:00,BNT/USDT,0.557,0.5617,0.5212,0.5419,8341.481,4507.65082352
1659312000,2022-08-01 00:00:00,BNT/USDT,0.564,0.574,0.547,0.5557,16204.4841,9072.48215749
1659225600,2022-07-31 00:00:00,BNT/USDT,0.5695,0.5966,0.5637,0.5637,35498.599,20662.86223082
1659139200,2022-07-30 00:00:00,BNT/USDT,0.5625,0.6057,0.5569,0.5677,47641.2577,27492.63124501
1659052800,2022-07-29 00:00:00,BNT/USDT,0.5469,0.585,0.5333,0.5602,40213.496,22516.18069593
1658966400,2022-07-28 00:00:00,BNT/USDT,0.5159,0.5637,0.5092,0.5457,25981.0537,13875.14700043
1658880000,2022-07-27 00:00:00,BNT/USDT,0.4878,0.563,0.4795,0.5159,25150.8309,12561.85765576
1658793600,2022-07-26 00:00:00,BNT/USDT,0.4927,0.4928,0.4688,0.4888,7709.9849,3686.759983
1658707200,2022-07-25 00:00:00,BNT/USDT,0.5291,0.5471,0.4899,0.4899,36383.6467,18853.48008913
1658620800,2022-07-24 00:00:00,BNT/USDT,0.5089,0.5538,0.506,0.5281,48320.836,25578.92723265
1658534400,2022-07-23 00:00:00,BNT/USDT,0.4989,0.5321,0.4902,0.5041,48900.8831,24499.71387371
1658448000,2022-07-22 00:00:00,BNT/USDT,0.5159,0.5499,0.4931,0.4983,50525.4603,25901.54561088
1658361600,2022-07-21 00:00:00,BNT/USDT,0.5091,0.5203,0.4892,0.5138,19600.2538,9821.28303253
1658275200,2022-07-20 00:00:00,BNT/USDT,0.5304,0.545,0.4982,0.5046,80583.89140053,41791.795188895791
1658188800,2022-07-19 00:00:00,BNT/USDT,0.533,0.5847,0.5061,0.5271,92738.41944533,49163.226247625166
