https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume KDA,Volume USDT
1663462800,2022-09-18 01:00:00,KDA/USDT,1.5219,1.5254,1.5208,1.5218,1903.93071593,2899.106439109622
1663459200,2022-09-18 00:00:00,KDA/USDT,1.5314,1.5318,1.5123,1.5226,62012.79299581,94422.451674748456
1663455600,2022-09-17 23:00:00,KDA/USDT,1.5309,1.5373,1.5306,1.5314,19797.2220306,30359.945553771471
1663452000,2022-09-17 22:00:00,KDA/USDT,1.5276,1.534,1.5257,1.5314,19874.15763409,30392.141932958801
1663448400,2022-09-17 21:00:00,KDA/USDT,1.5256,1.5282,1.5232,1.5275,15343.49947857,23423.911087365736
1663444800,2022-09-17 20:00:00,KDA/USDT,1.5211,1.5248,1.5174,1.5248,26955.38249467,41004.577318463483
1663441200,2022-09-17 19:00:00,KDA/USDT,1.5261,1.5261,1.5166,1.5214,24932.1150732,37918.403865771388
1663437600,2022-09-17 18:00:00,KDA/USDT,1.5305,1.5323,1.5253,1.5262,10999.28779948,16817.708227866785
1663434000,2022-09-17 17:00:00,KDA/USDT,1.5377,1.5422,1.5272,1.5319,15174.83763418,23276.910262637936
1663430400,2022-09-17 16:00:00,KDA/USDT,1.5299,1.5483,1.5291,1.5398,43595.64706123,67097.595197863392
1663426800,2022-09-17 15:00:00,KDA/USDT,1.5325,1.5328,1.5229,1.5296,16437.45562898,25125.07494880226
1663423200,2022-09-17 14:00:00,KDA/USDT,1.5115,1.5494,1.5113,1.5319,53175.99885921,81112.417372863891
1663419600,2022-09-17 13:00:00,KDA/USDT,1.5105,1.5146,1.5067,1.5114,17272.39477101,26101.218504399079
1663416000,2022-09-17 12:00:00,KDA/USDT,1.5074,1.5117,1.5028,1.5096,10866.94717638,16362.634825804314
1663412400,2022-09-17 11:00:00,KDA/USDT,1.5116,1.5143,1.5066,1.507,13454.7586976,20312.754081874377
1663408800,2022-09-17 10:00:00,KDA/USDT,1.5169,1.5176,1.5094,1.5122,7123.41050584,10779.184103595773
1663405200,2022-09-17 09:00:00,KDA/USDT,1.5205,1.5219,1.5146,1.5169,13895.03969545,21086.653893691525
1663401600,2022-09-17 08:00:00,KDA/USDT,1.5108,1.5213,1.5095,1.5208,15782.20946072,23922.839895171431
1663398000,2022-09-17 07:00:00,KDA/USDT,1.5141,1.5152,1.5076,1.5108,6548.42775781,9889.536774789992
1663394400,2022-09-17 06:00:00,KDA/USDT,1.5152,1.5194,1.512,1.5141,9805.83797034,14856.547080048401
1663390800,2022-09-17 05:00:00,KDA/USDT,1.5228,1.5228,1.5079,1.5158,28208.59885888,42725.8083773327
1663387200,2022-09-17 04:00:00,KDA/USDT,1.5169,1.5248,1.5162,1.5231,14773.51620178,22473.617030915734
1663383600,2022-09-17 03:00:00,KDA/USDT,1.5212,1.5227,1.514,1.5173,23918.85775966,36311.670976971255
1663380000,2022-09-17 02:00:00,KDA/USDT,1.5274,1.5278,1.518,1.5223,9640.55893537,14667.004961959144
1663376400,2022-09-17 01:00:00,KDA/USDT,1.5213,1.5317,1.5213,1.5272,30571.45884259,46673.997654055812
1663372800,2022-09-17 00:00:00,KDA/USDT,1.494,1.526,1.4918,1.5215,72652.79330943,109780.055067739455
1663369200,2022-09-16 23:00:00,KDA/USDT,1.5056,1.5072,1.4814,1.4933,60890.22413452,90906.898571398073
1663365600,2022-09-16 22:00:00,KDA/USDT,1.5499,1.5517,1.5047,1.5052,48073.02233539,73274.676041230253
1663362000,2022-09-16 21:00:00,KDA/USDT,1.5365,1.5577,1.528,1.5517,37042.47602824,57096.351082778156
1663358400,2022-09-16 20:00:00,KDA/USDT,1.5099,1.5454,1.5067,1.5356,47192.58254617,72158.384556272216
1663354800,2022-09-16 19:00:00,KDA/USDT,1.4851,1.5246,1.4851,1.51,77651.07671041,117266.267132060698
1663351200,2022-09-16 18:00:00,KDA/USDT,1.4779,1.4926,1.4732,1.4852,81357.34531379,120597.301610783546
1663347600,2022-09-16 17:00:00,KDA/USDT,1.4827,1.4851,1.46,1.478,74891.81345295,110307.553187798158
1663344000,2022-09-16 16:00:00,KDA/USDT,1.4925,1.4925,1.4702,1.4825,38792.52191967,57395.816100144524
1663340400,2022-09-16 15:00:00,KDA/USDT,1.4845,1.493,1.4818,1.4927,32829.75078259,48840.664299697619
1663336800,2022-09-16 14:00:00,KDA/USDT,1.4677,1.492,1.4638,1.4845,42765.37989151,63324.251928993112
1663333200,2022-09-16 13:00:00,KDA/USDT,1.4834,1.4927,1.461,1.4678,68495.02260497,101301.688958439961
1663329600,2022-09-16 12:00:00,KDA/USDT,1.496,1.4967,1.4821,1.4836,19762.70962448,29434.253269445431
1663326000,2022-09-16 11:00:00,KDA/USDT,1.4835,1.4964,1.4828,1.4956,21788.08015354,32464.794695673292
1663322400,2022-09-16 10:00:00,KDA/USDT,1.4836,1.486,1.4773,1.483,28494.59346335,42208.103860920468
1663318800,2022-09-16 09:00:00,KDA/USDT,1.4736,1.4867,1.4736,1.4828,39879.0751183,59140.135502787349
1663315200,2022-09-16 08:00:00,KDA/USDT,1.4902,1.491,1.4713,1.4741,78275.74753559,115873.707342731232
1663311600,2022-09-16 07:00:00,KDA/USDT,1.506,1.5197,1.4857,1.4916,82155.07985276,123214.658026901778
1663308000,2022-09-16 06:00:00,KDA/USDT,1.5152,1.5178,1.5051,1.5059,31161.95630549,47045.977833476395
1663304400,2022-09-16 05:00:00,KDA/USDT,1.5172,1.5183,1.5075,1.5152,44908.68622882,67931.225032396489
1663300800,2022-09-16 04:00:00,KDA/USDT,1.5206,1.523,1.515,1.5164,33126.85365991,50337.228211682406
1663297200,2022-09-16 03:00:00,KDA/USDT,1.5146,1.5228,1.5101,1.5223,20817.83128183,31594.261331359759
1663293600,2022-09-16 02:00:00,KDA/USDT,1.5168,1.5192,1.5051,1.5141,22830.9922036,34507.322123150833
1663290000,2022-09-16 01:00:00,KDA/USDT,1.5244,1.54,1.5134,1.5164,27919.80544626,42536.672411027481
1663286400,2022-09-16 00:00:00,KDA/USDT,1.5228,1.5268,1.51,1.5218,38219.95895876,58016.851227818152
1663282800,2022-09-15 23:00:00,KDA/USDT,1.5326,1.5333,1.5174,1.5224,43373.35060135,66172.547239772988
1663279200,2022-09-15 22:00:00,KDA/USDT,1.5417,1.5431,1.5303,1.5338,41244.91302352,63351.084937822963
1663275600,2022-09-15 21:00:00,KDA/USDT,1.5411,1.5596,1.5371,1.5407,47097.5149707,73024.433095067996
1663272000,2022-09-15 20:00:00,KDA/USDT,1.5372,1.5457,1.5368,1.5402,37115.26680597,57211.697750996071
1663268400,2022-09-15 19:00:00,KDA/USDT,1.5339,1.5404,1.5318,1.5372,18773.91651199,28829.845850364287
1663264800,2022-09-15 18:00:00,KDA/USDT,1.5378,1.5425,1.5312,1.5343,34125.57076274,52465.981980847534
1663261200,2022-09-15 17:00:00,KDA/USDT,1.5392,1.5439,1.5318,1.5363,34672.5722581,53349.573689603507
1663257600,2022-09-15 16:00:00,KDA/USDT,1.5254,1.5396,1.5179,1.5393,30787.01110556,47124.959005915085
1663254000,2022-09-15 15:00:00,KDA/USDT,1.5083,1.5399,1.5,1.5268,178380.86069009,270823.171961508163
1663250400,2022-09-15 14:00:00,KDA/USDT,1.556,1.5647,1.5044,1.5101,162607.92473242,248274.341317394478
1663246800,2022-09-15 13:00:00,KDA/USDT,1.562,1.5654,1.5478,1.556,31163.68887274,48450.73883500041
1663243200,2022-09-15 12:00:00,KDA/USDT,1.5563,1.5709,1.5497,1.5607,29857.77764913,46528.851784874948
1663239600,2022-09-15 11:00:00,KDA/USDT,1.5494,1.5572,1.5452,1.5541,10717.89344443,16624.859045141286
1663236000,2022-09-15 10:00:00,KDA/USDT,1.5636,1.5665,1.5432,1.548,28685.37686617,44628.425829860678
1663232400,2022-09-15 09:00:00,KDA/USDT,1.5594,1.5686,1.5552,1.5642,38353.76953357,59905.256397954866
1663228800,2022-09-15 08:00:00,KDA/USDT,1.5719,1.5719,1.5509,1.5596,19804.34409118,30856.058981069902
1663225200,2022-09-15 07:00:00,KDA/USDT,1.559,1.5811,1.5568,1.5717,45487.75838574,71547.793354825409
1663221600,2022-09-15 06:00:00,KDA/USDT,1.554,1.5733,1.53,1.5609,61671.12213821,95529.180571914475
1663218000,2022-09-15 05:00:00,KDA/USDT,1.5415,1.5579,1.5414,1.5555,53645.32722971,83159.378615336352
1663214400,2022-09-15 04:00:00,KDA/USDT,1.5434,1.5493,1.5359,1.5417,39733.30593556,61281.749646591758
1663210800,2022-09-15 03:00:00,KDA/USDT,1.5541,1.5565,1.5384,1.5449,64549.84793271,99684.625946727735
1663207200,2022-09-15 02:00:00,KDA/USDT,1.5663,1.5665,1.5409,1.5532,44842.81059437,69516.949382918802
1663203600,2022-09-15 01:00:00,KDA/USDT,1.5743,1.5743,1.5576,1.5665,77102.00873663,120626.398948376471
1663200000,2022-09-15 00:00:00,KDA/USDT,1.5846,1.5917,1.5654,1.573,49392.74016473,78015.351140883136
1663196400,2022-09-14 23:00:00,KDA/USDT,1.5824,1.5879,1.5792,1.5839,29664.49881677,46956.399013695495
1663192800,2022-09-14 22:00:00,KDA/USDT,1.574,1.5892,1.5731,1.5831,52793.01721249,83429.298377633846
1663189200,2022-09-14 21:00:00,KDA/USDT,1.5749,1.5749,1.5568,1.574,49715.90074224,77867.912783922917
1663185600,2022-09-14 20:00:00,KDA/USDT,1.5771,1.5773,1.5651,1.5739,50964.61517476,80110.3493953951
1663182000,2022-09-14 19:00:00,KDA/USDT,1.5733,1.5818,1.5677,1.5775,88733.00214839,139576.05485757532
1663178400,2022-09-14 18:00:00,KDA/USDT,1.5901,1.5942,1.5529,1.5733,164135.16967068,258025.38050701252
1663174800,2022-09-14 17:00:00,KDA/USDT,1.5771,1.5956,1.57,1.5924,52996.89380381,84019.330953702651
1663171200,2022-09-14 16:00:00,KDA/USDT,1.5725,1.5938,1.5685,1.575,64362.32131228,101747.497748028053
1663167600,2022-09-14 15:00:00,KDA/USDT,1.5844,1.5913,1.5636,1.5733,64448.80394462,101570.507652420743
1663164000,2022-09-14 14:00:00,KDA/USDT,1.5731,1.5987,1.5692,1.5838,92443.35671774,146128.673323787599
1663160400,2022-09-14 13:00:00,KDA/USDT,1.5792,1.5828,1.5568,1.5731,49020.78402091,76990.687331300417
