https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ROUTE,Volume USDT
1663462800,2022-09-18 01:00:00,ROUTE/USDT,3.2912,3.2912,3.29,3.2912,202.7979,667.25762897
1663459200,2022-09-18 00:00:00,ROUTE/USDT,3.2968,3.3124,3.29,3.2913,2381.0704,7834.64976221
1663455600,2022-09-17 23:00:00,ROUTE/USDT,3.2915,3.3244,3.29,3.2927,9779.8421,32223.49463736
1663452000,2022-09-17 22:00:00,ROUTE/USDT,3.2715,3.3479,3.2321,3.301,13793.3162,45311.30157196
1663448400,2022-09-17 21:00:00,ROUTE/USDT,3.0773,3.3069,3.0361,3.27,24436.6474,77806.82314521
1663444800,2022-09-17 20:00:00,ROUTE/USDT,3.1108,3.1383,3.0604,3.0674,16675.3257,51343.80963982
1663441200,2022-09-17 19:00:00,ROUTE/USDT,3.0766,3.145,3.06,3.1106,11627.7752,35908.1046115
1663437600,2022-09-17 18:00:00,ROUTE/USDT,3.0509,3.0766,3.0161,3.0718,9247.5747,28139.66056462
1663434000,2022-09-17 17:00:00,ROUTE/USDT,3.0809,3.1533,3.0488,3.0572,5427.1496,16831.5735587
1663430400,2022-09-17 16:00:00,ROUTE/USDT,3.0537,3.13,3.0476,3.0808,4469.7883,13783.55926219
1663426800,2022-09-17 15:00:00,ROUTE/USDT,2.9991,3.0999,2.9984,3.0513,3558.8545,10847.4349011
1663423200,2022-09-17 14:00:00,ROUTE/USDT,2.9999,3.0547,2.9734,3.0095,5330.4911,16028.35399153
1663419600,2022-09-17 13:00:00,ROUTE/USDT,2.9993,3,2.9604,3,2874.5108,8578.67847187
1663416000,2022-09-17 12:00:00,ROUTE/USDT,2.9866,3.0544,2.9764,3.0089,4031.0898,12158.28716066
1663412400,2022-09-17 11:00:00,ROUTE/USDT,2.9881,3.0053,2.94,3,2401.722,7142.93322145
1663408800,2022-09-17 10:00:00,ROUTE/USDT,2.9798,2.9882,2.937,2.9882,2211.9221,6526.79183302
1663405200,2022-09-17 09:00:00,ROUTE/USDT,2.9562,2.9817,2.9455,2.9741,1587.7368,4703.43620995
1663401600,2022-09-17 08:00:00,ROUTE/USDT,2.9419,2.9817,2.937,2.9711,3983.4215,11768.47695472
1663398000,2022-09-17 07:00:00,ROUTE/USDT,2.9358,3,2.9358,2.9479,2154.8336,6384.32475362
1663394400,2022-09-17 06:00:00,ROUTE/USDT,2.9247,2.94,2.9078,2.94,806.7953,2355.36567716
1663390800,2022-09-17 05:00:00,ROUTE/USDT,2.9332,3.0266,2.9001,2.9277,6807.4689,20162.66523649
1663387200,2022-09-17 04:00:00,ROUTE/USDT,2.9052,2.9321,2.9001,2.9321,1414.0455,4135.28088327
1663383600,2022-09-17 03:00:00,ROUTE/USDT,2.9548,2.96,2.9024,2.9062,3872.4998,11329.66986721
1663380000,2022-09-17 02:00:00,ROUTE/USDT,2.9516,2.9516,2.9377,2.9377,650.0976,1913.60460171
1663376400,2022-09-17 01:00:00,ROUTE/USDT,2.9684,2.9833,2.9107,2.9558,1779.1056,5213.90713492
1663372800,2022-09-17 00:00:00,ROUTE/USDT,2.9696,3.01,2.969,2.969,2281.2196,6834.20807091
1663369200,2022-09-16 23:00:00,ROUTE/USDT,2.9527,2.9696,2.9463,2.9696,278.9359,825.38797962
1663365600,2022-09-16 22:00:00,ROUTE/USDT,2.9115,2.999,2.9001,2.9458,3280.0785,9628.2512916
1663362000,2022-09-16 21:00:00,ROUTE/USDT,2.9177,2.95,2.9072,2.913,1006.3471,2946.75073995
1663358400,2022-09-16 20:00:00,ROUTE/USDT,2.8818,2.9457,2.8501,2.9177,4810.1646,13869.20640253
1663354800,2022-09-16 19:00:00,ROUTE/USDT,2.878,2.8958,2.8501,2.883,1004.6496,2887.52904183
1663351200,2022-09-16 18:00:00,ROUTE/USDT,2.8742,2.9059,2.8692,2.8842,2231.7485,6441.5057554
1663347600,2022-09-16 17:00:00,ROUTE/USDT,2.871,3.1076,2.78,2.8747,18203.3466,52545.10379947
1663344000,2022-09-16 16:00:00,ROUTE/USDT,2.9197,2.9468,2.86,2.8743,6242.8502,18005.49356317
1663340400,2022-09-16 15:00:00,ROUTE/USDT,2.9709,2.9728,2.8957,2.9197,9840.8411,28662.28407693
1663336800,2022-09-16 14:00:00,ROUTE/USDT,2.9408,2.98,2.9351,2.9565,639.884,1893.07441825
1663333200,2022-09-16 13:00:00,ROUTE/USDT,2.9872,3.0796,2.9357,2.9611,2711.0021,8175.87658605
1663329600,2022-09-16 12:00:00,ROUTE/USDT,2.9591,3.0796,2.9524,2.9872,4251.26,12858.77943021
1663326000,2022-09-16 11:00:00,ROUTE/USDT,2.9386,2.9857,2.9282,2.9469,1107.3539,3274.17157971
1663322400,2022-09-16 10:00:00,ROUTE/USDT,2.9358,2.9379,2.9106,2.9354,1597.6256,4673.12145078
1663318800,2022-09-16 09:00:00,ROUTE/USDT,2.9556,2.9605,2.9179,2.9374,1397.0018,4114.81683187
1663315200,2022-09-16 08:00:00,ROUTE/USDT,3.004,3.004,2.9442,2.9442,3396.4317,10141.92622336
1663311600,2022-09-16 07:00:00,ROUTE/USDT,3,3.0635,2.9822,3.004,3429.4578,10324.57319292
1663308000,2022-09-16 06:00:00,ROUTE/USDT,2.9744,3.009,2.9743,3,1528.7247,4567.976171
1663304400,2022-09-16 05:00:00,ROUTE/USDT,2.9689,2.9769,2.9565,2.9745,413.3723,1226.09246819
1663300800,2022-09-16 04:00:00,ROUTE/USDT,2.9585,2.9685,2.9537,2.9685,206.9556,613.15506935
1663297200,2022-09-16 03:00:00,ROUTE/USDT,2.9579,2.9708,2.9488,2.9488,121.9234,360.19637617
1663293600,2022-09-16 02:00:00,ROUTE/USDT,2.9718,2.9748,2.954,2.958,300.0883,889.17145605
1663290000,2022-09-16 01:00:00,ROUTE/USDT,2.8904,3.0267,2.8834,2.972,2344.1663,6959.130337
1663286400,2022-09-16 00:00:00,ROUTE/USDT,2.8944,2.906,2.8841,2.8923,650.9681,1882.79920365
1663282800,2022-09-15 23:00:00,ROUTE/USDT,2.9069,2.9218,2.8946,2.8953,363.8957,1056.13372978
