https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume XTZ,Volume USDT
1663459200,2022-09-18 00:00:00,XTZ/USDT,1.5494,1.55018,1.535,1.53966,11796.22612748,18207.5619113830681
1663372800,2022-09-17 00:00:00,XTZ/USDT,1.52118,1.56428,1.52118,1.55112,51183.36412227,78718.0813153930454
1663286400,2022-09-16 00:00:00,XTZ/USDT,1.51957,1.55478,1.49954,1.52099,180962.00652426,276300.4088415539634
1663200000,2022-09-15 00:00:00,XTZ/USDT,1.60394,1.61484,1.50768,1.52044,278485.876272,431056.4717963185395
1663113600,2022-09-14 00:00:00,XTZ/USDT,1.52754,1.621,1.51243,1.60394,288891.68729884,451398.0181968873979
1663027200,2022-09-13 00:00:00,XTZ/USDT,1.65486,1.69169,1.51907,1.52731,381091.88976634,608879.6262197207474
1662940800,2022-09-12 00:00:00,XTZ/USDT,1.68296,1.72432,1.61442,1.65558,326085.28642225,544366.1198457843851
1662854400,2022-09-11 00:00:00,XTZ/USDT,1.66331,1.758,1.6458,1.68368,208612.4681154,353597.9747445730973
1662768000,2022-09-10 00:00:00,XTZ/USDT,1.64298,1.6805,1.62585,1.66514,179287.15587582,296708.9146576673448
1662681600,2022-09-09 00:00:00,XTZ/USDT,1.588,1.66403,1.58336,1.64298,317668.39340669,516172.8784704909045
1662595200,2022-09-08 00:00:00,XTZ/USDT,1.48848,1.60245,1.46835,1.588,371700.13017774,574957.5373784879568
1662508800,2022-09-07 00:00:00,XTZ/USDT,1.42717,1.50413,1.4002,1.48897,271382.8756746,390587.5881419586366
1662422400,2022-09-06 00:00:00,XTZ/USDT,1.54634,1.59617,1.42435,1.4265,306715.69809469,470163.1374841928442
1662336000,2022-09-05 00:00:00,XTZ/USDT,1.55679,1.56584,1.50126,1.54443,179896.2583428,274953.5094960999379
1662249600,2022-09-04 00:00:00,XTZ/USDT,1.52159,1.55824,1.51,1.55567,148558.6424988,227858.1620231888734
1662163200,2022-09-03 00:00:00,XTZ/USDT,1.48948,1.52753,1.46951,1.52264,97791.25558727,147267.2826219131787
1662076800,2022-09-02 00:00:00,XTZ/USDT,1.54055,1.56476,1.46682,1.4899,171801.91741554,261100.8283409696069
1661990400,2022-09-01 00:00:00,XTZ/USDT,1.5064,1.54067,1.47398,1.53887,164581.71511348,248093.0234884885071
1661904000,2022-08-31 00:00:00,XTZ/USDT,1.4969,1.58057,1.4969,1.50969,231222.53887447,355747.2551595814052
1661817600,2022-08-30 00:00:00,XTZ/USDT,1.53027,1.55024,1.44849,1.49649,162205.12621566,244585.2296958031365
1661731200,2022-08-29 00:00:00,XTZ/USDT,1.42481,1.53728,1.4147,1.52979,221385.32991792,325679.9179352217014
1661644800,2022-08-28 00:00:00,XTZ/USDT,1.46174,1.49435,1.421,1.42651,201113.25656983,294942.0978194351907
1661558400,2022-08-27 00:00:00,XTZ/USDT,1.48382,1.48816,1.425,1.46254,279977.24770612,408738.4557639738108
1661472000,2022-08-26 00:00:00,XTZ/USDT,1.66701,1.67174,1.4623,1.48336,465217.04570376,731293.4226636390156
1661385600,2022-08-25 00:00:00,XTZ/USDT,1.60008,1.68083,1.59748,1.66919,206732.00850343,340212.2816082246267
1661299200,2022-08-24 00:00:00,XTZ/USDT,1.59402,1.64432,1.5555,1.59963,173286.03055511,279068.1392945133689
1661212800,2022-08-23 00:00:00,XTZ/USDT,1.58685,1.60619,1.53696,1.5935,123035.99993207,194824.5323810799423
1661126400,2022-08-22 00:00:00,XTZ/USDT,1.63058,1.63424,1.519,1.58782,164100.32293171,257220.0531816528868
1661040000,2022-08-21 00:00:00,XTZ/USDT,1.56096,1.64869,1.55125,1.6335,180329.05450994,290666.9549083437326
1660953600,2022-08-20 00:00:00,XTZ/USDT,1.57381,1.63786,1.52267,1.56027,137034.88829485,217509.3498240568244
1660867200,2022-08-19 00:00:00,XTZ/USDT,1.78382,1.78725,1.55,1.57514,420454.58931104,686015.8259352895644
1660780800,2022-08-18 00:00:00,XTZ/USDT,1.88505,1.88899,1.77533,1.78548,151364.66607482,278957.364143093446
1660694400,2022-08-17 00:00:00,XTZ/USDT,1.88618,2.03654,1.84616,1.88489,905651.41147999,1773352.2249104320259
1660608000,2022-08-16 00:00:00,XTZ/USDT,1.82085,1.90984,1.78061,1.88817,294794.31441145,545358.7723510389133
1660521600,2022-08-15 00:00:00,XTZ/USDT,1.81674,1.86574,1.77467,1.81886,218970.46193168,398934.5487992229005
1660435200,2022-08-14 00:00:00,XTZ/USDT,1.90967,1.95666,1.79982,1.81686,241935.66827723,455456.6861274275246
1660348800,2022-08-13 00:00:00,XTZ/USDT,1.92317,1.94546,1.889,1.90877,122660.63920914,235545.9121327599335
1660262400,2022-08-12 00:00:00,XTZ/USDT,1.90075,1.926,1.85761,1.92441,186961.72823303,354860.0686874543894
1660176000,2022-08-11 00:00:00,XTZ/USDT,1.87559,1.95681,1.8703,1.90058,237920.95119701,457469.9300304938725
1660089600,2022-08-10 00:00:00,XTZ/USDT,1.80126,1.87547,1.74231,1.87547,202263.69638289,371104.1226460467986
1660003200,2022-08-09 00:00:00,XTZ/USDT,1.89402,1.91923,1.75549,1.80134,208690.0396476,382766.2496152901113
1659916800,2022-08-08 00:00:00,XTZ/USDT,1.88958,1.94862,1.86298,1.89402,285334.17073649,546017.1366452827768
1659830400,2022-08-07 00:00:00,XTZ/USDT,1.87666,1.93295,1.83833,1.88867,189231.25681493,358605.2966056446839
1659744000,2022-08-06 00:00:00,XTZ/USDT,1.86471,1.8999,1.84385,1.87569,188581.67312044,353559.6153558972824
1659657600,2022-08-05 00:00:00,XTZ/USDT,1.81707,1.88963,1.80894,1.8634,247280.51077416,457835.7671530892611
1659571200,2022-08-04 00:00:00,XTZ/USDT,1.71634,1.85765,1.71403,1.81573,525524.07915671,946130.7925139980433
1659484800,2022-08-03 00:00:00,XTZ/USDT,1.71177,1.78776,1.66725,1.71811,272402.28552287,473861.9839027406398
1659398400,2022-08-02 00:00:00,XTZ/USDT,1.81037,1.83316,1.67734,1.71142,386152.63952912,668897.3694942396202
1659312000,2022-08-01 00:00:00,XTZ/USDT,1.73699,1.85579,1.72391,1.81245,402799.08474087,715467.1335542043668
1659225600,2022-07-31 00:00:00,XTZ/USDT,1.81884,1.85212,1.73291,1.73847,375018.06225944,679429.9428039805125
