https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume UAH,Volume USDT
1663545600000,2022-09-19 00:00:00,USDT/UAH,40.490749,40.494165,40.161,40.213754,253641.04669398937,6307.32079114
1663459200000,2022-09-18 00:00:00,USDT/UAH,40.244291,40.500004,40.113564,40.491671,2283134.5684590694,56385.28892668
1663372800000,2022-09-17 00:00:00,USDT/UAH,40.118177,40.3,40.113593,40.242708,1953654.068352563,48546.7843852
1663286400000,2022-09-16 00:00:00,USDT/UAH,39.991868,40.266,39.876042,40.119898,2881301.5229861797,71817.26940049
1663200000000,2022-09-15 00:00:00,USDT/UAH,39.920344,40.049999,39.727,39.992226,2455921.106273302,61409.96268308
1663113600000,2022-09-14 00:00:00,USDT/UAH,39.922627,40.29,39.7201,39.905866,2737888.6693056053,68608.67696257
1663027200000,2022-09-13 00:00:00,USDT/UAH,39.774565,39.99,39.306248,39.927681,3421951.0088713313,85703.72541474
1662940800000,2022-09-12 00:00:00,USDT/UAH,39.754959,39.87762,39.500052,39.741615,2377441.9735937165,59822.48012804
1662854400000,2022-09-11 00:00:00,USDT/UAH,39.861866,40.0,39.602696,39.747996,2460248.878321383,61896.17404413
1662768000000,2022-09-10 00:00:00,USDT/UAH,40.214712,40.221086,39.834043,39.860146,2382565.9903038866,59773.13756713
1662681600000,2022-09-09 00:00:00,USDT/UAH,40.226071,40.324951,40.0,40.212475,3577697.5607188926,88969.84233671
1662595200000,2022-09-08 00:00:00,USDT/UAH,40.311588,40.32147,40.0,40.226213,2706398.2125678672,67279.46805651
1662508800000,2022-09-07 00:00:00,USDT/UAH,40.481822,40.75,40.150001,40.310395,3021359.528486257,74952.36721164
1662422400000,2022-09-06 00:00:00,USDT/UAH,39.658193,40.611157,39.63509,40.489999,3216811.660794812,79447.06693608
1662336000000,2022-09-05 00:00:00,USDT/UAH,39.570094,39.729999,39.47801,39.657033,2471738.1496436717,62327.86375228
1662249600000,2022-09-04 00:00:00,USDT/UAH,39.492903,39.7,39.1801,39.569045,2441135.1682296414,61693.05244111
1662163200000,2022-09-03 00:00:00,USDT/UAH,39.071461,39.5,38.9102,39.492876,2691311.433969159,68146.75725235
