https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume CPOOL,Volume USDT
1663459200,2022-09-18 00:00:00,CPOOL/USDT,0.06533,0.06533,0.06514,0.06514,31150.8853,2030.929570232
1663372800,2022-09-17 00:00:00,CPOOL/USDT,0.06285,0.06643,0.06159,0.06533,1709332.2461,109448.506731937
1663286400,2022-09-16 00:00:00,CPOOL/USDT,0.06427,0.06445,0.0625,0.06286,1242854.3978,78411.492953635
1663200000,2022-09-15 00:00:00,CPOOL/USDT,0.0638,0.0648,0.063,0.06427,901698.1483,57574.667246655
1663113600,2022-09-14 00:00:00,CPOOL/USDT,0.06454,0.0745,0.06315,0.0638,2506284.4376,165627.768094709
1663027200,2022-09-13 00:00:00,CPOOL/USDT,0.06767,0.068,0.06077,0.06455,2424010.7606,156218.652472018
1662940800,2022-09-12 00:00:00,CPOOL/USDT,0.06999,0.07365,0.06407,0.06766,4290408.782,297569.603329827
1662854400,2022-09-11 00:00:00,CPOOL/USDT,0.06935,0.07196,0.06735,0.06999,2674353.102,186212.710357057
1662768000,2022-09-10 00:00:00,CPOOL/USDT,0.06673,0.07042,0.0615,0.06947,2768936.6524,186784.465837658
1662681600,2022-09-09 00:00:00,CPOOL/USDT,0.064,0.07395,0.064,0.06672,5941314.698643,399020.6436467031
1662595200,2022-09-08 00:00:00,CPOOL/USDT,0.05369,0.0689,0.05263,0.06422,7191834.79199277,419275.8211419166257
1662508800,2022-09-07 00:00:00,CPOOL/USDT,0.05107,0.0545,0.04687,0.05368,3055977.762,153467.764478503
1662422400,2022-09-06 00:00:00,CPOOL/USDT,0.0495,0.0543,0.04935,0.0512,2621668.463,133666.847782091
1662336000,2022-09-05 00:00:00,CPOOL/USDT,0.05143,0.05226,0.04836,0.04954,3339337.0067,167543.665303612
1662249600,2022-09-04 00:00:00,CPOOL/USDT,0.05068,0.0523,0.05,0.05145,1483995.1588,75863.280799265
1662163200,2022-09-03 00:00:00,CPOOL/USDT,0.05395,0.0543,0.05015,0.0507,1828107.814,95512.768132423
1662076800,2022-09-02 00:00:00,CPOOL/USDT,0.05278,0.0541,0.05274,0.05395,1365891.5196,72796.527188247
1661990400,2022-09-01 00:00:00,CPOOL/USDT,0.05507,0.05508,0.05274,0.05289,1878312.8213,100635.802038042
1661904000,2022-08-31 00:00:00,CPOOL/USDT,0.05797,0.05934,0.05491,0.05508,2291449.4336,131549.821286983
1661817600,2022-08-30 00:00:00,CPOOL/USDT,0.0571,0.0607,0.05699,0.05783,2436133.5651,142459.979227855
1661731200,2022-08-29 00:00:00,CPOOL/USDT,0.05384,0.0593,0.05153,0.0571,2871175.7965,155167.536736138
1661644800,2022-08-28 00:00:00,CPOOL/USDT,0.05352,0.05458,0.05173,0.05383,1302427.4926,68770.250930663
1661558400,2022-08-27 00:00:00,CPOOL/USDT,0.05594,0.058,0.05156,0.05352,2369047.6185,128111.337645313
1661472000,2022-08-26 00:00:00,CPOOL/USDT,0.05932,0.06082,0.05223,0.0558,3132281.9601,177483.356085258
1661385600,2022-08-25 00:00:00,CPOOL/USDT,0.06026,0.063,0.05764,0.05936,3618997.523,218051.028377473
1661299200,2022-08-24 00:00:00,CPOOL/USDT,0.05566,0.06184,0.05448,0.06043,4296588.5317,249297.356573991
1661212800,2022-08-23 00:00:00,CPOOL/USDT,0.05215,0.0616,0.05128,0.05576,5981415.47633379,339817.7974118925278
1661126400,2022-08-22 00:00:00,CPOOL/USDT,0.04611,0.0557,0.04368,0.05215,7535209.5855,372484.643332432
1661040000,2022-08-21 00:00:00,CPOOL/USDT,0.04829,0.0488,0.04545,0.0461,2815622.3497,134062.401146983
1660953600,2022-08-20 00:00:00,CPOOL/USDT,0.05169,0.05417,0.04825,0.0483,2563320.6237,129654.62254491
1660867200,2022-08-19 00:00:00,CPOOL/USDT,0.05546,0.05629,0.04985,0.0517,6300970.2644,335918.729212354
1660780800,2022-08-18 00:00:00,CPOOL/USDT,0.05217,0.06422,0.0509,0.05563,16320000.20579328,939697.402946585592
1660694400,2022-08-17 00:00:00,CPOOL/USDT,0.0377,0.05609,0.0373,0.05216,13016968.6359866,595408.48698520487
1660608000,2022-08-16 00:00:00,CPOOL/USDT,0.04266,0.0433,0.0373,0.03772,3494095.9023,139106.956003472
1660521600,2022-08-15 00:00:00,CPOOL/USDT,0.04352,0.0444,0.04094,0.04266,3010071.312,127256.679118418
1660435200,2022-08-14 00:00:00,CPOOL/USDT,0.0469,0.048,0.04309,0.04341,2673253.816,120879.510014158
