https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume WOM,Volume USDT
1663372800,2022-09-17 00:00:00,WOM/USDT,0.053006,0.056317,0.053006,0.055005,466743.826,25439.2757085349
1663286400,2022-09-16 00:00:00,WOM/USDT,0.048329,0.055902,0.047651,0.053006,13272681.7646,697449.0858988262
1663200000,2022-09-15 00:00:00,WOM/USDT,0.045088,0.049998,0.044065,0.048273,10303709.4498,473510.5848553285
1663113600,2022-09-14 00:00:00,WOM/USDT,0.043537,0.051296,0.042006,0.045083,11680817.9387,515936.8854656336
1663027200,2022-09-13 00:00:00,WOM/USDT,0.045446,0.045708,0.042216,0.043493,10973508.8421,481505.8319231097
1662940800,2022-09-12 00:00:00,WOM/USDT,0.04359,0.045993,0.043554,0.045437,10085727.931,447190.1124387569
1662854400,2022-09-11 00:00:00,WOM/USDT,0.044409,0.044879,0.042949,0.043717,12548215.9895,548181.302552429
1662768000,2022-09-10 00:00:00,WOM/USDT,0.04382,0.044879,0.04302,0.044425,11341701.2355,495891.5331906515
1662681600,2022-09-09 00:00:00,WOM/USDT,0.044576,0.048123,0.042992,0.043662,17288214.0469,774808.6367971483
1662595200,2022-09-08 00:00:00,WOM/USDT,0.05812,0.058592,0.044341,0.044511,17481694.4703,919672.4682348803
1662508800,2022-09-07 00:00:00,WOM/USDT,0.059164,0.060253,0.057794,0.058069,23019173.3148,1350859.125637308
1662422400,2022-09-06 00:00:00,WOM/USDT,0.065541,0.068422,0.058223,0.058936,16122029.1619,1005965.1162251338
1662336000,2022-09-05 00:00:00,WOM/USDT,0.056128,0.066998,0.055737,0.065504,29459478.809,1729328.5617586598
1662249600,2022-09-04 00:00:00,WOM/USDT,0.056186,0.056653,0.055428,0.056092,29611216.0354,1659073.373502937
1662163200,2022-09-03 00:00:00,WOM/USDT,0.056735,0.056817,0.056,0.056175,17561466.9645,991532.2633198152
1662076800,2022-09-02 00:00:00,WOM/USDT,0.056323,0.057154,0.056065,0.056712,31003472.478,1753026.5125587742
