https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume GAS,Volume USDT
1663462800,2022-09-18 01:00:00,GAS/USDT,2.6161,2.6161,2.6101,2.6101,3.4144,8.930607
1663459200,2022-09-18 00:00:00,GAS/USDT,2.6851,2.6851,2.6037,2.6206,2261.6292,6022.55335119
1663455600,2022-09-17 23:00:00,GAS/USDT,2.6679,2.6879,2.6628,2.6879,145.411,388.92074032
1663452000,2022-09-17 22:00:00,GAS/USDT,2.6812,2.6868,2.66,2.6793,384.8177,1027.59892541
1663448400,2022-09-17 21:00:00,GAS/USDT,2.6677,2.7055,2.6445,2.691,393.9705,1054.66800317
1663444800,2022-09-17 20:00:00,GAS/USDT,2.708,2.708,2.6489,2.6677,207.0619,558.02348702
1663441200,2022-09-17 19:00:00,GAS/USDT,2.6744,2.7338,2.6634,2.7125,941.5934,2555.50603508
1663437600,2022-09-17 18:00:00,GAS/USDT,2.6933,2.7091,2.663,2.663,101.718,273.75945753
1663434000,2022-09-17 17:00:00,GAS/USDT,2.6673,2.6935,2.6673,2.6935,342.834,918.93332442
1663430400,2022-09-17 16:00:00,GAS/USDT,2.6593,2.6728,2.6409,2.661,177.8379,471.71178254
1663426800,2022-09-17 15:00:00,GAS/USDT,2.6251,2.6885,2.6251,2.6486,307.3928,820.0908553
1663423200,2022-09-17 14:00:00,GAS/USDT,2.6448,2.6448,2.6034,2.631,355.4868,933.40119282
1663419600,2022-09-17 13:00:00,GAS/USDT,2.6587,2.6653,2.6362,2.6476,267.6591,708.96450919
1663416000,2022-09-17 12:00:00,GAS/USDT,2.6946,2.6946,2.5906,2.661,1116.2848,2942.91146608
1663412400,2022-09-17 11:00:00,GAS/USDT,2.6946,2.7412,2.6574,2.6949,924.4856,2489.64010507
1663408800,2022-09-17 10:00:00,GAS/USDT,2.6762,2.7129,2.6627,2.7071,259.2189,693.92491412
1663405200,2022-09-17 09:00:00,GAS/USDT,2.708,2.7479,2.6474,2.6794,2562.4953,6850.18143059
1663401600,2022-09-17 08:00:00,GAS/USDT,2.7128,2.741,2.6565,2.7,1369.5187,3675.37598018
1663398000,2022-09-17 07:00:00,GAS/USDT,2.7281,2.7486,2.6847,2.7092,631.1336,1716.2082557
1663394400,2022-09-17 06:00:00,GAS/USDT,2.7617,2.7617,2.6759,2.7281,2021.4958,5441.44946539
1663390800,2022-09-17 05:00:00,GAS/USDT,2.7908,2.8155,2.7631,2.7631,609.4819,1696.20483009
1663387200,2022-09-17 04:00:00,GAS/USDT,2.8614,2.8665,2.771,2.7908,479.4061,1338.68282482
1663383600,2022-09-17 03:00:00,GAS/USDT,2.8756,2.8756,2.8301,2.8557,1011.5462,2880.26415721
1663380000,2022-09-17 02:00:00,GAS/USDT,2.9159,2.9165,2.8626,2.8635,261.6388,754.91023762
1663376400,2022-09-17 01:00:00,GAS/USDT,2.874,2.9624,2.8537,2.9159,322.165,933.45041084
1663372800,2022-09-17 00:00:00,GAS/USDT,2.8329,2.9468,2.8225,2.8758,1360.7826,3970.50427012
1663369200,2022-09-16 23:00:00,GAS/USDT,2.854,2.9081,2.783,2.8311,1984.8001,5610.90970604
1663365600,2022-09-16 22:00:00,GAS/USDT,2.8824,2.8941,2.8223,2.8424,369.3041,1052.2047983
1663362000,2022-09-16 21:00:00,GAS/USDT,2.8622,2.8998,2.8411,2.8701,862.3765,2476.92742749
1663358400,2022-09-16 20:00:00,GAS/USDT,2.8471,2.9796,2.8143,2.8495,2943.8874,8533.00169979
1663354800,2022-09-16 19:00:00,GAS/USDT,2.8489,2.9547,2.8253,2.8471,885.8574,2566.08062788
1663351200,2022-09-16 18:00:00,GAS/USDT,2.8221,2.8665,2.8178,2.8373,472.9861,1339.58627069
1663347600,2022-09-16 17:00:00,GAS/USDT,2.9569,2.9709,2.7983,2.8091,3969.6365,11405.7323897
1663344000,2022-09-16 16:00:00,GAS/USDT,2.9633,2.9798,2.8826,2.9596,382.1279,1116.32656599
1663340400,2022-09-16 15:00:00,GAS/USDT,2.9474,3.0787,2.9284,2.963,950.9944,2838.78229891
1663336800,2022-09-16 14:00:00,GAS/USDT,2.9228,3.0037,2.9099,2.952,2171.6601,6394.80200973
1663333200,2022-09-16 13:00:00,GAS/USDT,3.01,3.0998,2.9101,2.9101,1570.3354,4752.90054066
1663329600,2022-09-16 12:00:00,GAS/USDT,3.3679,3.3968,2.9975,3.0005,7843.8292,24862.06338094
1663326000,2022-09-16 11:00:00,GAS/USDT,3.1124,3.75,3.0754,3.3693,13973.906,47532.40022169
1663322400,2022-09-16 10:00:00,GAS/USDT,2.9725,3.3523,2.9723,3.1161,5880.3973,18742.63296018
1663318800,2022-09-16 09:00:00,GAS/USDT,3.0601,3.1132,2.9185,2.9919,5453.8006,16367.64671536
1663315200,2022-09-16 08:00:00,GAS/USDT,2.8634,3.35,2.7537,3.0601,20595.2573,62962.8602474
1663311600,2022-09-16 07:00:00,GAS/USDT,2.8524,2.95,2.8133,2.8634,3124.219,8936.43271475
1663308000,2022-09-16 06:00:00,GAS/USDT,2.8463,2.8917,2.8219,2.8596,758.3423,2155.47869995
1663304400,2022-09-16 05:00:00,GAS/USDT,2.8719,2.9589,2.8299,2.8466,4260.0662,12225.6276717
1663300800,2022-09-16 04:00:00,GAS/USDT,3.167,3.1867,2.8505,2.8627,15568.9028,46417.85341119
1663297200,2022-09-16 03:00:00,GAS/USDT,3.3246,3.3327,3.1522,3.1611,3351.1677,10790.12778128
1663293600,2022-09-16 02:00:00,GAS/USDT,3.3409,3.4022,3.2757,3.3327,3364.9089,11280.91037439
1663290000,2022-09-16 01:00:00,GAS/USDT,3.6648,3.6717,3.3143,3.3342,7284.2937,25680.00486565
1663286400,2022-09-16 00:00:00,GAS/USDT,3.4098,3.8299,3.3502,3.6715,11773.1356,42252.20461502
1663282800,2022-09-15 23:00:00,GAS/USDT,3.3246,3.41,3.2522,3.4043,3111.6246,10429.40045058
1663279200,2022-09-15 22:00:00,GAS/USDT,3.3569,3.422,3.25,3.328,4339.3414,14486.89773176
1663275600,2022-09-15 21:00:00,GAS/USDT,3.3253,3.4346,3.2467,3.3453,9439.7531,31406.81019367
1663272000,2022-09-15 20:00:00,GAS/USDT,3.1951,3.3309,3.1301,3.3255,12789.1806,41520.28358745
1663268400,2022-09-15 19:00:00,GAS/USDT,3.06,3.2264,3.0074,3.1966,3494.9723,10934.39923355
1663264800,2022-09-15 18:00:00,GAS/USDT,3.22,3.22,3.0097,3.054,6444.5552,19984.46825442
1663261200,2022-09-15 17:00:00,GAS/USDT,3.2518,3.2824,3.15,3.224,2064.7604,6680.82961852
1663257600,2022-09-15 16:00:00,GAS/USDT,3.3999,3.4522,3.1716,3.2735,12982.8394,42551.40408396
1663254000,2022-09-15 15:00:00,GAS/USDT,3.29,3.4,3.1795,3.395,7113.3313,23754.8998797
1663250400,2022-09-15 14:00:00,GAS/USDT,3.4773,3.9446,3.2267,3.2973,20364.088,73035.28260229
1663246800,2022-09-15 13:00:00,GAS/USDT,3.3996,3.6,3.2935,3.4773,9939.0992,34134.20125601
1663243200,2022-09-15 12:00:00,GAS/USDT,3.3314,3.55,3.2321,3.4,8981.9975,30412.3337421
1663239600,2022-09-15 11:00:00,GAS/USDT,3.344,3.9,3.1135,3.3314,19014.0076,65574.42033074
1663236000,2022-09-15 10:00:00,GAS/USDT,3.0279,3.443,2.95,3.344,11278.1958,36462.96891247
1663232400,2022-09-15 09:00:00,GAS/USDT,2.9446,3.0514,2.8998,3.0397,10947.5397,32122.61804502
1663228800,2022-09-15 08:00:00,GAS/USDT,3.2332,3.3172,2.9139,2.949,5572.5248,17104.91633078
1663225200,2022-09-15 07:00:00,GAS/USDT,3.1758,3.3302,2.9992,3.2333,11735.064,36971.69756702
1663221600,2022-09-15 06:00:00,GAS/USDT,3.16,3.2946,3.1,3.177,4537.661,14396.6454734
1663218000,2022-09-15 05:00:00,GAS/USDT,3.58,3.6275,3.0907,3.1621,19460.4639,65309.84863337
1663214400,2022-09-15 04:00:00,GAS/USDT,3.403,5.8833,3.2067,3.5873,46761.7547,197885.71218983
1663210800,2022-09-15 03:00:00,GAS/USDT,2.369,3.661,2.369,3.403,52482.1198,171299.24613788
1663207200,2022-09-15 02:00:00,GAS/USDT,2.3529,2.3529,2.3467,2.3477,374.9023,880.44835579
1663203600,2022-09-15 01:00:00,GAS/USDT,2.3773,2.3831,2.3644,2.3831,285.0861,676.79989998
1663200000,2022-09-15 00:00:00,GAS/USDT,2.3749,2.3749,2.3749,2.3749,2.1953,5.21361797
1663196400,2022-09-14 23:00:00,GAS/USDT,2.3665,2.3811,2.3665,2.3811,22.56,53.71487628
1663192800,2022-09-14 22:00:00,GAS/USDT,2.3802,2.3802,2.3719,2.3719,54.7389,130.25617813
1663189200,2022-09-14 21:00:00,GAS/USDT,2.3533,2.3533,2.3533,2.3533,32,75.3056
1663185600,2022-09-14 20:00:00,GAS/USDT,2.3719,2.3719,2.3719,2.3719,1.2017,2.85031223
1663182000,2022-09-14 19:00:00,GAS/USDT,2.3581,2.3581,2.3581,2.3581,3.5521,8.37620701
1663178400,2022-09-14 18:00:00,GAS/USDT,2.3572,2.3733,2.3371,2.3699,624.5687,1467.25943434
1663174800,2022-09-14 17:00:00,GAS/USDT,2.3585,2.373,2.3585,2.373,90.941,214.50712945
1663171200,2022-09-14 16:00:00,GAS/USDT,2.3687,2.3687,2.3687,2.3687,2.7094,6.41775578
1663167600,2022-09-14 15:00:00,GAS/USDT,2.3642,2.3683,2.3642,2.3683,132.747,314.24567778
1663164000,2022-09-14 14:00:00,GAS/USDT,2.3658,2.3659,2.3595,2.3595,119.2532,281.54737461
1663160400,2022-09-14 13:00:00,GAS/USDT,2.3763,2.3763,2.3575,2.3575,184.5321,436.11635863
1663156800,2022-09-14 12:00:00,GAS/USDT,2.3778,2.3977,2.3778,2.3977,442.0985,1052.9580698
1663153200,2022-09-14 11:00:00,GAS/USDT,2.4002,2.424,2.3879,2.3879,399.444,962.46609876
