https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume SAND,Volume USDT
1663459200,2022-09-18 00:00:00,SAND/USDT,0.91083,0.91136,0.89924,0.90182,50605.28258545,45676.9381100406481
1663372800,2022-09-17 00:00:00,SAND/USDT,0.87648,0.91607,0.87246,0.91073,1035543.65019075,925298.1108754222526
1663286400,2022-09-16 00:00:00,SAND/USDT,0.8577,0.88,0.84414,0.87644,1090503.93627717,942162.0809361010774
1663200000,2022-09-15 00:00:00,SAND/USDT,0.89828,0.89828,0.85032,0.8574,1517311.50218697,1321793.7933413315827
1663113600,2022-09-14 00:00:00,SAND/USDT,0.87903,0.903,0.86713,0.89863,990833.87907552,879208.1362669478326
1663027200,2022-09-13 00:00:00,SAND/USDT,0.96047,0.97308,0.87261,0.87905,2410800.17956691,2216621.6461367267694
1662940800,2022-09-12 00:00:00,SAND/USDT,0.97452,0.99949,0.94838,0.95937,1533530.26929244,1495264.3958250486336
1662854400,2022-09-11 00:00:00,SAND/USDT,0.98777,0.9957,0.95344,0.97492,1503036.50625149,1468392.8968015503336
1662768000,2022-09-10 00:00:00,SAND/USDT,0.97915,1.02458,0.9654,0.9874,2461242.09942137,2439641.4201965341868
1662681600,2022-09-09 00:00:00,SAND/USDT,0.91533,0.99624,0.91407,0.97948,1995421.85839905,1925632.2001158900601
1662595200,2022-09-08 00:00:00,SAND/USDT,0.90219,0.9195,0.8863,0.9151,1614268.7062754,1460951.0339087014685
1662508800,2022-09-07 00:00:00,SAND/USDT,0.8791,0.91109,0.85181,0.90158,1320111.11718202,1163121.2489568645698
1662422400,2022-09-06 00:00:00,SAND/USDT,0.95889,0.97822,0.87,0.87932,2293521.61312985,2123635.4323147067268
1662336000,2022-09-05 00:00:00,SAND/USDT,0.97232,0.98611,0.937,0.95712,2268772.31680358,2173343.48940523988
1662249600,2022-09-04 00:00:00,SAND/USDT,0.92966,0.97815,0.92082,0.97261,2297381.43876837,2197241.1646863099755
1662163200,2022-09-03 00:00:00,SAND/USDT,0.93062,0.93217,0.91167,0.92925,708330.68429148,654400.4316149636918
1662076800,2022-09-02 00:00:00,SAND/USDT,0.94218,0.9583,0.91601,0.93077,1526622.15227044,1430835.0812434682757
1661990400,2022-09-01 00:00:00,SAND/USDT,0.9431,0.94844,0.90654,0.942,1133997.57196971,1051886.2061606229322
1661904000,2022-08-31 00:00:00,SAND/USDT,0.9526,0.98174,0.93633,0.9426,984601.07827781,943032.4259931780827
1661817600,2022-08-30 00:00:00,SAND/USDT,0.98847,1.00145,0.93184,0.9518,1587047.77490319,1541045.940981274475
1661731200,2022-08-29 00:00:00,SAND/USDT,0.93344,0.99378,0.91714,0.9881,1316250.51339308,1257554.4199362669045
1661644800,2022-08-28 00:00:00,SAND/USDT,0.96623,0.97992,0.92764,0.93377,1121578.48054987,1078385.7837906900354
1661558400,2022-08-27 00:00:00,SAND/USDT,0.95813,0.97218,0.93446,0.96613,1783253.74408476,1704771.3564140220504
1661472000,2022-08-26 00:00:00,SAND/USDT,1.04912,1.06062,0.94592,0.95834,2718518.79088385,2753324.444183720242
1661385600,2022-08-25 00:00:00,SAND/USDT,1.04515,1.07188,1.032,1.05009,1100633.58400017,1159335.3638879208904
1661299200,2022-08-24 00:00:00,SAND/USDT,1.06797,1.0746,1.02752,1.04522,1540400.97531984,1618793.1678667369556
1661212800,2022-08-23 00:00:00,SAND/USDT,1.05156,1.077,1.01737,1.06763,1381452.93064822,1451349.9773660420599
1661126400,2022-08-22 00:00:00,SAND/USDT,1.07181,1.0724,1.01014,1.05214,1725024.90778068,1780005.3087325864163
1661040000,2022-08-21 00:00:00,SAND/USDT,1.03914,1.08567,1.02928,1.07178,1534988.98299533,1622304.3669648272312
1660953600,2022-08-20 00:00:00,SAND/USDT,1.04502,1.0791,1.00563,1.03915,2718978.88571323,2848131.7403582721716
1660867200,2022-08-19 00:00:00,SAND/USDT,1.15259,1.15704,1.03,1.04363,3846586.56712117,4153469.9450608021318
1660780800,2022-08-18 00:00:00,SAND/USDT,1.21722,1.23989,1.107,1.15318,2483746.97255673,2971283.0973742180601
1660694400,2022-08-17 00:00:00,SAND/USDT,1.27033,1.31397,1.20485,1.21725,2794436.93483775,3492612.1880041429893
1660608000,2022-08-16 00:00:00,SAND/USDT,1.31029,1.32488,1.25711,1.27029,2138831.59654252,2758154.5382344538804
1660521600,2022-08-15 00:00:00,SAND/USDT,1.34187,1.4,1.27818,1.31002,4669224.27712373,6235512.8506478242525
1660435200,2022-08-14 00:00:00,SAND/USDT,1.32629,1.43,1.30401,1.34155,5976261.04928172,8144501.7819224884649
1660348800,2022-08-13 00:00:00,SAND/USDT,1.33231,1.38867,1.31745,1.32688,2536512.72914082,3413101.3991047513916
1660262400,2022-08-12 00:00:00,SAND/USDT,1.32447,1.33465,1.28552,1.33148,1762801.74533444,2313808.2782652735188
1660176000,2022-08-11 00:00:00,SAND/USDT,1.34597,1.37075,1.31334,1.32357,3097046.79756328,4165039.8354863448473
1660089600,2022-08-10 00:00:00,SAND/USDT,1.29243,1.35,1.25536,1.34671,2622491.7758229,3446521.3257209314687
1660003200,2022-08-09 00:00:00,SAND/USDT,1.34885,1.395,1.2563,1.29143,3503166.34598504,4652442.5498512069851
1659916800,2022-08-08 00:00:00,SAND/USDT,1.31917,1.39221,1.31438,1.34965,3003345.25264823,4087481.3332071507531
1659830400,2022-08-07 00:00:00,SAND/USDT,1.31857,1.34322,1.28827,1.31916,1081660.05744812,1425844.2837341278833
1659744000,2022-08-06 00:00:00,SAND/USDT,1.34941,1.375,1.31097,1.31834,1642042.99866146,2207191.7191655566255
1659657600,2022-08-05 00:00:00,SAND/USDT,1.2986,1.35512,1.28987,1.3503,1942058.14260881,2570632.0168050023306
1659571200,2022-08-04 00:00:00,SAND/USDT,1.25827,1.34556,1.25598,1.29469,2354790.22428458,3035773.8945250063044
1659484800,2022-08-03 00:00:00,SAND/USDT,1.2697,1.3178,1.22849,1.25849,1863453.21872657,2384105.3545065079949
1659398400,2022-08-02 00:00:00,SAND/USDT,1.32335,1.34737,1.24215,1.26806,2515021.40398221,3230747.9294917948994
1659312000,2022-08-01 00:00:00,SAND/USDT,1.30728,1.349,1.2722,1.32273,2513156.57434764,3292167.0639867977736
1659225600,2022-07-31 00:00:00,SAND/USDT,1.33716,1.3877,1.29589,1.30843,3399536.26694014,4587292.5195796121274
1659139200,2022-07-30 00:00:00,SAND/USDT,1.32851,1.43135,1.30734,1.33709,5016848.81428434,6834448.348101345433
1659052800,2022-07-29 00:00:00,SAND/USDT,1.35768,1.409,1.2912,1.32804,4765653.25086978,6439545.6292791063959
