https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume COMP,Volume EUR
1663545600,2022-09-19 00:00:00,COMP/EUR,49.30,49.30,49.30,49.30,0.00000000,0.0
1663542000,2022-09-18 23:00:00,COMP/EUR,49.30,49.30,49.30,49.30,0.55413477,27.318844160999998
1663538400,2022-09-18 22:00:00,COMP/EUR,49.71,49.71,49.71,49.71,0.00000000,0.0
1663534800,2022-09-18 21:00:00,COMP/EUR,50.00,50.00,47.49,49.71,17.07767293,848.9311213502999
1663531200,2022-09-18 20:00:00,COMP/EUR,51.07,51.09,51.07,51.09,3.85270000,196.83444300000002
1663527600,2022-09-18 19:00:00,COMP/EUR,51.36,51.36,51.36,51.36,0.00000000,0.0
1663524000,2022-09-18 18:00:00,COMP/EUR,51.31,51.37,51.28,51.36,32.00886033,1643.9750665487998
1663520400,2022-09-18 17:00:00,COMP/EUR,51.73,51.73,51.73,51.73,0.00000000,0.0
1663516800,2022-09-18 16:00:00,COMP/EUR,52.00,52.00,51.73,51.73,0.88519932,45.791360823599994
1663513200,2022-09-18 15:00:00,COMP/EUR,52.75,52.82,52.75,52.82,5.56696000,294.0468272
1663509600,2022-09-18 14:00:00,COMP/EUR,53.27,53.27,53.27,53.27,0.00000000,0.0
1663506000,2022-09-18 13:00:00,COMP/EUR,53.27,53.27,53.27,53.27,1.32946000,70.8203342
1663502400,2022-09-18 12:00:00,COMP/EUR,52.91,53.06,52.91,53.06,22.28784309,1182.5929543554
1663498800,2022-09-18 11:00:00,COMP/EUR,53.44,53.44,53.44,53.44,0.00000000,0.0
1663495200,2022-09-18 10:00:00,COMP/EUR,53.34,53.44,53.34,53.44,3.35430000,179.25379199999998
1663491600,2022-09-18 09:00:00,COMP/EUR,54.09,54.09,54.09,54.09,0.00000000,0.0
1663488000,2022-09-18 08:00:00,COMP/EUR,54.09,54.09,54.09,54.09,0.00000000,0.0
1663484400,2022-09-18 07:00:00,COMP/EUR,54.09,54.09,54.09,54.09,0.73441295,39.7243964655
1663480800,2022-09-18 06:00:00,COMP/EUR,54.33,54.33,54.33,54.33,0.00000000,0.0
1663477200,2022-09-18 05:00:00,COMP/EUR,54.33,54.33,54.33,54.33,0.00000000,0.0
1663473600,2022-09-18 04:00:00,COMP/EUR,54.33,54.33,54.33,54.33,0.00000000,0.0
1663470000,2022-09-18 03:00:00,COMP/EUR,54.33,54.33,54.33,54.33,2.94206000,159.8421198
1663466400,2022-09-18 02:00:00,COMP/EUR,53.82,53.82,53.82,53.82,0.00000000,0.0
1663462800,2022-09-18 01:00:00,COMP/EUR,53.82,53.82,53.82,53.82,0.00000000,0.0
1663459200,2022-09-18 00:00:00,COMP/EUR,53.82,53.82,53.82,53.82,0.00000000,0.0
1663455600,2022-09-17 23:00:00,COMP/EUR,53.82,53.82,53.82,53.82,0.00000000,0.0
1663452000,2022-09-17 22:00:00,COMP/EUR,53.82,53.82,53.82,53.82,0.00000000,0.0
1663448400,2022-09-17 21:00:00,COMP/EUR,53.82,53.82,53.82,53.82,0.00000000,0.0
1663444800,2022-09-17 20:00:00,COMP/EUR,53.82,53.82,53.82,53.82,3.60201983,193.8607072506
1663441200,2022-09-17 19:00:00,COMP/EUR,54.80,54.80,54.80,54.80,0.00000000,0.0
1663437600,2022-09-17 18:00:00,COMP/EUR,54.80,54.80,54.80,54.80,0.00000000,0.0
1663434000,2022-09-17 17:00:00,COMP/EUR,54.80,54.80,54.80,54.80,0.00000000,0.0
1663430400,2022-09-17 16:00:00,COMP/EUR,54.80,54.80,54.80,54.80,0.00000000,0.0
1663426800,2022-09-17 15:00:00,COMP/EUR,54.80,54.80,54.80,54.80,0.00000000,0.0
1663423200,2022-09-17 14:00:00,COMP/EUR,54.80,54.80,54.80,54.80,0.00000000,0.0
1663419600,2022-09-17 13:00:00,COMP/EUR,54.80,54.80,54.80,54.80,0.82241000,45.068068
1663416000,2022-09-17 12:00:00,COMP/EUR,54.62,55.16,54.62,55.16,12.29683532,678.2934362512
1663412400,2022-09-17 11:00:00,COMP/EUR,54.75,54.75,54.75,54.75,0.00000000,0.0
1663408800,2022-09-17 10:00:00,COMP/EUR,54.85,54.94,54.75,54.75,9.55360000,523.0595999999999
1663405200,2022-09-17 09:00:00,COMP/EUR,54.68,54.68,54.68,54.68,0.00000000,0.0
1663401600,2022-09-17 08:00:00,COMP/EUR,54.46,54.68,54.42,54.68,5.86137000,320.4997116
1663398000,2022-09-17 07:00:00,COMP/EUR,53.55,54.33,53.55,54.12,8.99028000,486.5539536
1663394400,2022-09-17 06:00:00,COMP/EUR,53.44,53.44,53.44,53.44,0.00000000,0.0
1663390800,2022-09-17 05:00:00,COMP/EUR,53.44,53.44,53.44,53.44,1.44000000,76.9536
1663387200,2022-09-17 04:00:00,COMP/EUR,53.44,53.44,53.44,53.44,2.74873149,146.8922108256
1663383600,2022-09-17 03:00:00,COMP/EUR,54.00,54.00,54.00,54.00,0.00000000,0.0
1663380000,2022-09-17 02:00:00,COMP/EUR,54.00,54.00,54.00,54.00,0.00000000,0.0
1663376400,2022-09-17 01:00:00,COMP/EUR,54.00,54.00,54.00,54.00,0.00000000,0.0
1663372800,2022-09-17 00:00:00,COMP/EUR,54.00,54.00,54.00,54.00,0.00000000,0.0
1663369200,2022-09-16 23:00:00,COMP/EUR,54.00,54.00,54.00,54.00,0.00000000,0.0
1663365600,2022-09-16 22:00:00,COMP/EUR,54.00,54.00,54.00,54.00,0.38888888,20.99999952
1663362000,2022-09-16 21:00:00,COMP/EUR,55.49,55.49,55.49,55.49,0.00000000,0.0
1663358400,2022-09-16 20:00:00,COMP/EUR,55.60,55.60,55.49,55.49,3.28356000,182.2047444
1663354800,2022-09-16 19:00:00,COMP/EUR,56.02,56.31,56.02,56.20,4.65892000,261.83130400000005
1663351200,2022-09-16 18:00:00,COMP/EUR,56.64,56.64,56.64,56.64,1.27307797,72.1071362208
1663347600,2022-09-16 17:00:00,COMP/EUR,56.89,56.89,56.89,56.89,0.00000000,0.0
1663344000,2022-09-16 16:00:00,COMP/EUR,56.89,56.89,56.89,56.89,0.00000000,0.0
1663340400,2022-09-16 15:00:00,COMP/EUR,56.46,56.89,56.46,56.89,4.44228681,252.7216966209
1663336800,2022-09-16 14:00:00,COMP/EUR,55.79,55.79,55.79,55.79,0.00000000,0.0
1663333200,2022-09-16 13:00:00,COMP/EUR,55.79,55.79,55.79,55.79,3.95304786,220.54054010939998
1663329600,2022-09-16 12:00:00,COMP/EUR,56.07,56.07,56.07,56.07,0.00000000,0.0
1663326000,2022-09-16 11:00:00,COMP/EUR,56.10,56.10,55.69,56.07,7.08147000,397.0580229
1663322400,2022-09-16 10:00:00,COMP/EUR,55.26,55.89,55.26,55.89,3.92792888,219.5319451032
1663318800,2022-09-16 09:00:00,COMP/EUR,53.78,53.78,53.78,53.78,0.00000000,0.0
1663315200,2022-09-16 08:00:00,COMP/EUR,53.78,53.78,53.78,53.78,3.40083129,182.8967067762
1663311600,2022-09-16 07:00:00,COMP/EUR,53.61,53.61,53.61,53.61,10.68178216,572.6503415976
1663308000,2022-09-16 06:00:00,COMP/EUR,53.75,53.75,53.75,53.75,0.00000000,0.0
1663304400,2022-09-16 05:00:00,COMP/EUR,53.74,53.75,53.74,53.75,1.54000000,82.775
1663300800,2022-09-16 04:00:00,COMP/EUR,54.10,54.10,53.84,53.84,43.60144000,2347.5015296
1663297200,2022-09-16 03:00:00,COMP/EUR,55.00,55.00,55.00,55.00,0.00000000,0.0
1663293600,2022-09-16 02:00:00,COMP/EUR,55.00,55.00,55.00,55.00,2.00000000,110.0
1663290000,2022-09-16 01:00:00,COMP/EUR,56.00,56.00,56.00,56.00,0.00000000,0.0
1663286400,2022-09-16 00:00:00,COMP/EUR,56.00,56.00,56.00,56.00,0.37500000,21.0
1663282800,2022-09-15 23:00:00,COMP/EUR,57.05,57.05,57.05,57.05,0.64041000,36.5353905
1663279200,2022-09-15 22:00:00,COMP/EUR,56.72,56.72,56.72,56.72,0.73133719,41.4814454168
1663275600,2022-09-15 21:00:00,COMP/EUR,57.04,57.14,56.97,56.97,7.40936921,422.1117638937
1663272000,2022-09-15 20:00:00,COMP/EUR,56.94,56.94,56.94,56.94,0.85378000,48.614233199999994
1663268400,2022-09-15 19:00:00,COMP/EUR,56.44,56.44,56.44,56.44,20.80381359,1174.1672390196
1663264800,2022-09-15 18:00:00,COMP/EUR,56.62,56.65,56.62,56.65,1.58679000,89.89165349999999
1663261200,2022-09-15 17:00:00,COMP/EUR,56.60,56.99,56.52,56.99,7.86597266,448.2817818934
1663257600,2022-09-15 16:00:00,COMP/EUR,57.96,58.43,56.96,56.96,11.33212302,645.4777272192
1663254000,2022-09-15 15:00:00,COMP/EUR,55.70,57.94,55.70,57.94,3.45855924,200.3889223656
1663250400,2022-09-15 14:00:00,COMP/EUR,55.42,55.42,55.42,55.42,1.31000000,72.6002
1663246800,2022-09-15 13:00:00,COMP/EUR,54.75,54.75,54.69,54.69,1.62154272,88.6821713568
1663243200,2022-09-15 12:00:00,COMP/EUR,54.15,54.42,54.09,54.12,9.95890067,538.9757042604
1663239600,2022-09-15 11:00:00,COMP/EUR,55.13,55.13,53.48,53.50,16.40922369,877.893467415
1663236000,2022-09-15 10:00:00,COMP/EUR,55.92,55.93,55.05,55.05,28.05882241,1544.6381736705
1663232400,2022-09-15 09:00:00,COMP/EUR,56.00,56.00,56.00,56.00,0.37500000,21.0
1663228800,2022-09-15 08:00:00,COMP/EUR,57.82,57.82,57.02,57.02,5.18121397,295.4328205694
1663225200,2022-09-15 07:00:00,COMP/EUR,57.95,57.96,57.48,57.64,17.95648997,1035.0120818708
1663221600,2022-09-15 06:00:00,COMP/EUR,57.44,57.44,57.37,57.37,5.42006000,310.9488422
1663218000,2022-09-15 05:00:00,COMP/EUR,56.26,56.43,56.21,56.43,7.92991688,447.4852095384
1663214400,2022-09-15 04:00:00,COMP/EUR,56.13,56.59,56.13,56.59,7.03815253,398.2890516727
1663210800,2022-09-15 03:00:00,COMP/EUR,56.21,56.21,56.21,56.21,0.00000000,0.0
1663207200,2022-09-15 02:00:00,COMP/EUR,56.90,56.90,56.00,56.21,9.60322115,539.7970608415
1663203600,2022-09-15 01:00:00,COMP/EUR,57.11,57.11,57.11,57.11,1.59910000,91.324601
1663200000,2022-09-15 00:00:00,COMP/EUR,59.33,59.33,58.00,58.00,21.63340175,1254.7373015
1663196400,2022-09-14 23:00:00,COMP/EUR,61.17,61.17,60.61,60.61,2.38238818,144.3965475898
1663192800,2022-09-14 22:00:00,COMP/EUR,57.96,60.03,57.96,60.03,25.20086596,1512.8079835788
1663189200,2022-09-14 21:00:00,COMP/EUR,55.89,57.00,55.89,57.00,3.32986856,189.80250792
1663185600,2022-09-14 20:00:00,COMP/EUR,54.30,54.30,54.30,54.30,0.00000000,0.0
1663182000,2022-09-14 19:00:00,COMP/EUR,54.33,54.33,54.30,54.30,3.00876000,163.375668
1663178400,2022-09-14 18:00:00,COMP/EUR,53.73,53.73,53.73,53.73,0.00000000,0.0
1663174800,2022-09-14 17:00:00,COMP/EUR,53.73,53.73,53.73,53.73,0.00000000,0.0
1663171200,2022-09-14 16:00:00,COMP/EUR,53.73,53.73,53.73,53.73,0.49766308,26.739437288399998
