https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume MTL,Volume USDT
1663459200,2022-09-18 00:00:00,MTL/USDT,1.1802,1.1802,1.1714,1.1756,209.44442056,246.240479535084
1663372800,2022-09-17 00:00:00,MTL/USDT,1.1734,1.1825,1.1524,1.18,19109.04010215,22409.200230214256
1663286400,2022-09-16 00:00:00,MTL/USDT,1.125,1.2074,1.114,1.1724,48035.05360607,56108.583924813157
1663200000,2022-09-15 00:00:00,MTL/USDT,1.1665,1.1723,1.1141,1.1256,17481.81908789,20016.36952689758
1663113600,2022-09-14 00:00:00,MTL/USDT,1.1481,1.1783,1.138,1.1686,22278.47671273,25832.692982180176
1663027200,2022-09-13 00:00:00,MTL/USDT,1.28,1.28,1.148,1.1532,60843.36019222,74024.954720008215
1662940800,2022-09-12 00:00:00,MTL/USDT,1.248,1.308,1.2252,1.277,48918.3832696,62317.804701812708
1662854400,2022-09-11 00:00:00,MTL/USDT,1.2284,1.3,1.1983,1.2517,50316.50060372,62970.437578499716
1662768000,2022-09-10 00:00:00,MTL/USDT,1.2319,1.2424,1.2063,1.2227,14742.84767304,17986.47799301162
1662681600,2022-09-09 00:00:00,MTL/USDT,1.1907,1.2386,1.1875,1.2306,34818.26557384,42470.858559394767
1662595200,2022-09-08 00:00:00,MTL/USDT,1.1479,1.2578,1.1433,1.1902,94333.93160604,113071.676556551812
1662508800,2022-09-07 00:00:00,MTL/USDT,1.1026,1.1633,1.0714,1.1466,62470.35224322,70858.031525779348
1662422400,2022-09-06 00:00:00,MTL/USDT,1.1705,1.194,1.0881,1.1015,111293.18321974,125000.709783516503
1662336000,2022-09-05 00:00:00,MTL/USDT,1.1648,1.1731,1.1418,1.1696,11080.81110626,12813.806619306946
1662249600,2022-09-04 00:00:00,MTL/USDT,1.1584,1.1658,1.1369,1.1645,6609.06873481,7636.020994790068
1662163200,2022-09-03 00:00:00,MTL/USDT,1.1803,1.188,1.148,1.1584,8444.79287005,9839.035377391593
1662076800,2022-09-02 00:00:00,MTL/USDT,1.1941,1.2156,1.1658,1.1811,47816.83426966,57745.901532483286
1661990400,2022-09-01 00:00:00,MTL/USDT,1.2046,1.2133,1.148,1.1947,20040.85380417,23629.973559332125
1661904000,2022-08-31 00:00:00,MTL/USDT,1.1925,1.2466,1.1884,1.2045,53822.43379636,65861.495643430899
1661817600,2022-08-30 00:00:00,MTL/USDT,1.1897,1.2144,1.1498,1.1889,31038.52499829,36846.521434722098
1661731200,2022-08-29 00:00:00,MTL/USDT,1.1309,1.1915,1.1165,1.188,19921.46966761,23209.209345452996
1661644800,2022-08-28 00:00:00,MTL/USDT,1.1457,1.177,1.1238,1.1282,42301.96312064,48984.608634587373
1661558400,2022-08-27 00:00:00,MTL/USDT,1.15,1.1778,1.1279,1.1436,60859.06367656,70033.073504409816
