https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume PAXG,Volume BTC
1663459200,2022-09-18 00:00:00,PAXG/BTC,0.083091,0.083338,0.083081,0.083196,0.0546,0.0045455962
1663455600,2022-09-17 23:00:00,PAXG/BTC,0.0828,0.083091,0.082773,0.082773,0.0253,0.0020947675
1663452000,2022-09-17 22:00:00,PAXG/BTC,0.083009,0.083009,0.0828,0.0828,0.0246,0.0020401166
1663448400,2022-09-17 21:00:00,PAXG/BTC,0.083006,0.083315,0.083006,0.083315,0.037,0.003081183
1663444800,2022-09-17 20:00:00,PAXG/BTC,0.083198,0.083246,0.083006,0.083006,0.0129,0.0010731586
1663441200,2022-09-17 19:00:00,PAXG/BTC,0.083073,0.083198,0.082945,0.083198,0.2301,0.019126372
1663437600,2022-09-17 18:00:00,PAXG/BTC,0.083067,0.083115,0.08289,0.082901,0.0742,0.006156195
1663434000,2022-09-17 17:00:00,PAXG/BTC,0.0828,0.083008,0.082643,0.083008,0.2196,0.0182153474
1663430400,2022-09-17 16:00:00,PAXG/BTC,0.083338,0.083338,0.08269,0.082843,0.5755,0.0477745099
1663426800,2022-09-17 15:00:00,PAXG/BTC,0.083842,0.084498,0.083341,0.083341,2.6227,0.2206978938
1663423200,2022-09-17 14:00:00,PAXG/BTC,0.083675,0.08373,0.083548,0.08373,0.1119,0.0093519017
1663419600,2022-09-17 13:00:00,PAXG/BTC,0.083759,0.083759,0.083759,0.083759,0.0017,0.0001423903
1663416000,2022-09-17 12:00:00,PAXG/BTC,0.083926,0.084128,0.083843,0.083843,0.6338,0.0532453766
1663412400,2022-09-17 11:00:00,PAXG/BTC,0.083927,0.083927,0.083546,0.083842,0.5219,0.0436062945
1663408800,2022-09-17 10:00:00,PAXG/BTC,0.083926,0.08401,0.083926,0.08401,0.0007,0.000058765
1663405200,2022-09-17 09:00:00,PAXG/BTC,0.083759,0.083926,0.083675,0.083926,0.005,0.0004188484
1663401600,2022-09-17 08:00:00,PAXG/BTC,0.08401,0.08401,0.08401,0.08401,0.0017,0.000142817
1663398000,2022-09-17 07:00:00,PAXG/BTC,0.083769,0.08401,0.083769,0.083948,0.0011,0.0000923745
