https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BOLT,Volume USDT
1663459200,2022-09-18 00:00:00,BOLT/USDT,0.00306,0.003076,0.00306,0.003076,11124.6461,34.201417066
1663372800,2022-09-17 00:00:00,BOLT/USDT,0.002946,0.0032,0.002931,0.003077,1932867.2119,6009.1998281313
1663286400,2022-09-16 00:00:00,BOLT/USDT,0.003009,0.003186,0.002944,0.002944,2522891.6411,7567.2130087758
1663200000,2022-09-15 00:00:00,BOLT/USDT,0.003109,0.003149,0.002759,0.002992,3528767.097,10554.6902800789
1663113600,2022-09-14 00:00:00,BOLT/USDT,0.00303,0.003196,0.002946,0.003128,1719802.9798,5315.7344050928
1663027200,2022-09-13 00:00:00,BOLT/USDT,0.003054,0.003115,0.002851,0.00303,3983165.2411,12036.6855832849
1662940800,2022-09-12 00:00:00,BOLT/USDT,0.003176,0.00323,0.002966,0.003033,5217766.9671,16264.4406390173
1662854400,2022-09-11 00:00:00,BOLT/USDT,0.003239,0.003239,0.00315,0.003176,979835.0078,3161.9520585154
1662768000,2022-09-10 00:00:00,BOLT/USDT,0.003213,0.003432,0.003179,0.00322,5297003.1826,17320.9120781077
1662681600,2022-09-09 00:00:00,BOLT/USDT,0.003084,0.003309,0.003072,0.00323,3402346.5975,10882.1693817904
1662595200,2022-09-08 00:00:00,BOLT/USDT,0.003077,0.003279,0.002909,0.003077,6833818.1234,21295.3138955741
1662508800,2022-09-07 00:00:00,BOLT/USDT,0.003043,0.003198,0.002813,0.003094,19873510.8786,58612.3192476708
1662422400,2022-09-06 00:00:00,BOLT/USDT,0.003203,0.003637,0.002969,0.003059,23818568.7488,77726.5055014976
1662336000,2022-09-05 00:00:00,BOLT/USDT,0.003104,0.0033,0.002945,0.003205,4380563.3465,13759.1046782762
1662249600,2022-09-04 00:00:00,BOLT/USDT,0.003125,0.003146,0.00304,0.003123,1733132.6005,5347.3852143154
1662163200,2022-09-03 00:00:00,BOLT/USDT,0.003324,0.00333,0.003098,0.003098,1708041.2947,5507.2255697441
1662076800,2022-09-02 00:00:00,BOLT/USDT,0.003117,0.003586,0.003077,0.003317,10134057.6972,33738.1051213391
1661990400,2022-09-01 00:00:00,BOLT/USDT,0.002975,0.003179,0.00294,0.003113,3326839.9147,10213.9885192188
1661904000,2022-08-31 00:00:00,BOLT/USDT,0.002937,0.003199,0.002937,0.002972,2648639.4636,8177.6802649387
1661817600,2022-08-30 00:00:00,BOLT/USDT,0.003104,0.003312,0.002903,0.002937,1793137.182,5560.6381112037
1661731200,2022-08-29 00:00:00,BOLT/USDT,0.003128,0.003128,0.002903,0.0031,3333541.4898,9938.1434007474
1661644800,2022-08-28 00:00:00,BOLT/USDT,0.003166,0.003254,0.003092,0.003128,3103266.8081,9779.9123992952
1661558400,2022-08-27 00:00:00,BOLT/USDT,0.003412,0.003639,0.003129,0.003166,4025720.7413,13740.1763321804
1661472000,2022-08-26 00:00:00,BOLT/USDT,0.003326,0.003842,0.0033,0.003436,15951832.3305,57587.9784440584
1661385600,2022-08-25 00:00:00,BOLT/USDT,0.003033,0.003468,0.003008,0.003332,6226049.8698,19827.3029353041
1661299200,2022-08-24 00:00:00,BOLT/USDT,0.003123,0.003231,0.003009,0.003041,5158038.404,15865.6544179716
1661212800,2022-08-23 00:00:00,BOLT/USDT,0.003148,0.00321,0.003008,0.003127,4312914.095,13342.1547214299
1661126400,2022-08-22 00:00:00,BOLT/USDT,0.003319,0.003353,0.003101,0.003169,6513469.5321,20810.7273696699
1661040000,2022-08-21 00:00:00,BOLT/USDT,0.003228,0.003327,0.003043,0.003306,18741031.5647,61145.2068642428
1660953600,2022-08-20 00:00:00,BOLT/USDT,0.003357,0.003392,0.003093,0.003236,19138224.9341,62494.1212700273
1660867200,2022-08-19 00:00:00,BOLT/USDT,0.003806,0.003806,0.003268,0.003329,24571296.0963,82745.7848773099
1660780800,2022-08-18 00:00:00,BOLT/USDT,0.003737,0.003909,0.003635,0.003806,21177273.9617,80698.1230980852
1660694400,2022-08-17 00:00:00,BOLT/USDT,0.003821,0.003925,0.003704,0.00371,21660657.562,81245.9150712938
1660608000,2022-08-16 00:00:00,BOLT/USDT,0.003938,0.004023,0.003767,0.003821,21512006.0573,83244.8834151317
1660521600,2022-08-15 00:00:00,BOLT/USDT,0.004169,0.004271,0.003807,0.003926,24473703.8478,97988.5121907533
1660435200,2022-08-14 00:00:00,BOLT/USDT,0.004326,0.004619,0.004031,0.004156,27291051.7913,118487.3648476791
1660348800,2022-08-13 00:00:00,BOLT/USDT,0.004508,0.004528,0.004182,0.004326,23876264.0266,103072.3025523756
1660262400,2022-08-12 00:00:00,BOLT/USDT,0.00464,0.00479,0.0044,0.004486,22886859.3563,103588.6721938252
1660176000,2022-08-11 00:00:00,BOLT/USDT,0.004766,0.004936,0.004599,0.004618,17892894.1702,85727.4992555163
1660089600,2022-08-10 00:00:00,BOLT/USDT,0.00467,0.005,0.00449,0.004795,12727341.8002,61149.7906535059
1660003200,2022-08-09 00:00:00,BOLT/USDT,0.004897,0.004947,0.004536,0.00467,4229176.3584,20052.0714073914
1659916800,2022-08-08 00:00:00,BOLT/USDT,0.004631,0.00515,0.004631,0.004904,13243944.2712,65532.3376295741
1659830400,2022-08-07 00:00:00,BOLT/USDT,0.004526,0.004703,0.004461,0.004623,18278670.1276,83997.568360535
1659744000,2022-08-06 00:00:00,BOLT/USDT,0.004242,0.004694,0.004197,0.004503,19263987.7934,85253.3090342113
1659657600,2022-08-05 00:00:00,BOLT/USDT,0.004203,0.004282,0.004078,0.004241,24137890.814,100952.6999162623
1659571200,2022-08-04 00:00:00,BOLT/USDT,0.004554,0.004845,0.004089,0.004209,23669311.14809325,104230.04876574207825
1659484800,2022-08-03 00:00:00,BOLT/USDT,0.003757,0.004922,0.003744,0.004573,37901795.5399,164838.3234238461
1659398400,2022-08-02 00:00:00,BOLT/USDT,0.003674,0.0038,0.00345,0.003751,21201041.1462,76122.1609898856
1659312000,2022-08-01 00:00:00,BOLT/USDT,0.003646,0.003962,0.003586,0.0037,27710890.8379,102915.9500444796
1659225600,2022-07-31 00:00:00,BOLT/USDT,0.003543,0.003765,0.003451,0.00364,13887408.5728,50578.5711082655
1659139200,2022-07-30 00:00:00,BOLT/USDT,0.00348,0.003855,0.003401,0.003546,27978617.9381521,102157.9869155079801
