https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume NEAR3S,Volume USDT
1663459200,2022-09-18 00:00:00,NEAR3S/USDT,0.062364,0.063529,0.061729,0.062575,62849.1285,3920.620714484
1663372800,2022-09-17 00:00:00,NEAR3S/USDT,0.070873,0.07109,0.061551,0.062045,1327309.36663441,87526.26330910486766
1663286400,2022-09-16 00:00:00,NEAR3S/USDT,0.072121,0.076542,0.068265,0.070813,1482577.3793,106179.8583137843
1663200000,2022-09-15 00:00:00,NEAR3S/USDT,0.059119,0.074752,0.059,0.072121,2794561.5272,185462.780975268
1663113600,2022-09-14 00:00:00,NEAR3S/USDT,0.062696,0.0653,0.057946,0.059118,2673239.4333,164366.0878171072
1663027200,2022-09-13 00:00:00,NEAR3S/USDT,0.045422,0.063125,0.045032,0.062245,6993276.5052,384958.0354401505
1662940800,2022-09-12 00:00:00,NEAR3S/USDT,0.051154,0.056681,0.040079,0.044716,7066193.51532474,324987.92134006274364
1662854400,2022-09-11 00:00:00,NEAR3S/USDT,0.053279,0.059371,0.046311,0.051154,2099360.7292,111796.7626895687
1662768000,2022-09-10 00:00:00,NEAR3S/USDT,0.053841,0.058961,0.050653,0.053284,1874567.90549873,103797.00049152206214
1662681600,2022-09-09 00:00:00,NEAR3S/USDT,0.059114,0.061286,0.051151,0.05373,3249990.88429932,182991.97840268366708
1662595200,2022-09-08 00:00:00,NEAR3S/USDT,0.074054,0.074373,0.058265,0.059,6069498.219,410825.5694254863
1662508800,2022-09-07 00:00:00,NEAR3S/USDT,0.094997,0.097781,0.070186,0.074342,3083857.126,263108.3087321881
1662422400,2022-09-06 00:00:00,NEAR3S/USDT,0.084372,0.105669,0.067175,0.094998,4459828.21785166,363604.87997429414738
1662336000,2022-09-05 00:00:00,NEAR3S/USDT,0.084002,0.09155,0.081368,0.085351,656387.9217,57273.537792904
1662249600,2022-09-04 00:00:00,NEAR3S/USDT,0.088764,0.093389,0.083814,0.084824,695250.7803,61182.9998139141
1662163200,2022-09-03 00:00:00,NEAR3S/USDT,0.087775,0.091892,0.086153,0.089269,778492.3924,69034.1422907537
1662076800,2022-09-02 00:00:00,NEAR3S/USDT,0.079425,0.093416,0.077165,0.087718,1812036.0194,152109.248626338
1661990400,2022-09-01 00:00:00,NEAR3S/USDT,0.078473,0.089,0.075196,0.079508,3465755.9714,288020.9364228847
1661904000,2022-08-31 00:00:00,NEAR3S/USDT,0.088873,0.089425,0.072969,0.078267,2094701.91175028,167352.66994761748477
1661817600,2022-08-30 00:00:00,NEAR3S/USDT,0.101687,0.109987,0.084001,0.089007,3342263.78116703,317801.93774505904118
1661731200,2022-08-29 00:00:00,NEAR3S/USDT,0.129661,0.135695,0.098455,0.101687,3309625.064982,384954.91333349485513
1661644800,2022-08-28 00:00:00,NEAR3S/USDT,0.116163,0.13,0.112271,0.128019,1365585.93519267,161657.42711509743825
1661558400,2022-08-27 00:00:00,NEAR3S/USDT,0.11353,0.123845,0.109621,0.115356,1775602.79965485,204320.38168929777634
1661472000,2022-08-26 00:00:00,NEAR3S/USDT,0.09027,0.117464,0.082138,0.113531,3273520.41738072,326853.74496224544495
1661385600,2022-08-25 00:00:00,NEAR3S/USDT,0.093201,0.097477,0.081407,0.089948,2311290.26371049,210388.68366868012325
1661299200,2022-08-24 00:00:00,NEAR3S/USDT,0.091248,0.101071,0.085425,0.093179,2158060.53517992,198274.07962490748106
1661212800,2022-08-23 00:00:00,NEAR3S/USDT,0.105333,0.113,0.081624,0.091148,2467661.23413764,234759.30375074150698
1661126400,2022-08-22 00:00:00,NEAR3S/USDT,0.09747,0.117982,0.097355,0.104555,1917613.03584623,209167.06287134929253
1661040000,2022-08-21 00:00:00,NEAR3S/USDT,0.104801,0.109117,0.091124,0.09727,1265953.54318913,124715.62241686089835
1660953600,2022-08-20 00:00:00,NEAR3S/USDT,0.095304,0.113,0.083448,0.102812,2412960.39794004,232780.14476368383584
1660867200,2022-08-19 00:00:00,NEAR3S/USDT,0.071424,0.099999,0.066592,0.096467,4411206.57769448,376560.62849972345422
1660780800,2022-08-18 00:00:00,NEAR3S/USDT,0.065197,0.071911,0.057,0.07022,2605481.70139948,159688.91767338516022
1660694400,2022-08-17 00:00:00,NEAR3S/USDT,0.056296,0.068282,0.048169,0.06625,3623097.96319516,214505.72652268581687
1660608000,2022-08-16 00:00:00,NEAR3S/USDT,0.052342,0.057499,0.049326,0.056093,2081891.15442813,112221.22283866656334
1660521600,2022-08-15 00:00:00,NEAR3S/USDT,0.047054,0.055,0.042,0.052564,4265076.17448728,209356.35856178747848
1660435200,2022-08-14 00:00:00,NEAR3S/USDT,0.041619,0.05,0.040655,0.047529,2650276.22994566,119617.67357410074791
1660348800,2022-08-13 00:00:00,NEAR3S/USDT,0.040204,0.043045,0.037863,0.042153,4826941.30831311,196821.52597589923543
1660262400,2022-08-12 00:00:00,NEAR3S/USDT,0.045297,0.048999,0.037748,0.039627,6925147.40035092,296085.59470772035235
1660176000,2022-08-11 00:00:00,NEAR3S/USDT,0.042291,0.046756,0.041,0.045432,6485460.24081792,283621.00597264941135
1660089600,2022-08-10 00:00:00,NEAR3S/USDT,0.059948,0.066,0.037202,0.042556,10440598.16124386,521624.72693260511859
1660003200,2022-08-09 00:00:00,NEAR3S/USDT,0.056496,0.065999,0.052346,0.059589,8497910.79768098,506670.50408398019904
1659916800,2022-08-08 00:00:00,NEAR3S/USDT,0.08843,0.0885,0.0508,0.056094,11182531.03640461,664825.44796207806157
1659830400,2022-08-07 00:00:00,NEAR3S/USDT,0.092077,0.096514,0.076603,0.087643,5023490.75130644,421494.79530069311105
1659744000,2022-08-06 00:00:00,NEAR3S/USDT,0.079694,0.093499,0.079036,0.091774,5903345.45732977,516564.89519421748359
