https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume HERO,Volume USDT
1663459200,2022-09-18 00:00:00,HERO/USDT,0.00321,0.0033,0.00315,0.00318,8391340.7268,27138.04675429
1663372800,2022-09-17 00:00:00,HERO/USDT,0.00312,0.00336,0.0031,0.00322,110424339.1732,354759.24838079
1663286400,2022-09-16 00:00:00,HERO/USDT,0.00267,0.00325,0.00264,0.00312,199595302.9712,578859.544106113
1663200000,2022-09-15 00:00:00,HERO/USDT,0.00333,0.00337,0.00262,0.00267,340122282.61438754,988442.9294737102302
1663113600,2022-09-14 00:00:00,HERO/USDT,0.00359,0.00396,0.00323,0.00333,213409239.039,734498.598309435
1663027200,2022-09-13 00:00:00,HERO/USDT,0.00401,0.00415,0.00353,0.00356,135728829.4625,516532.24088523
1662940800,2022-09-12 00:00:00,HERO/USDT,0.0041,0.00422,0.00401,0.00402,47710292.9371,194631.629490577
1662854400,2022-09-11 00:00:00,HERO/USDT,0.00424,0.00425,0.00403,0.00407,33928009.0411,140420.816345503
1662768000,2022-09-10 00:00:00,HERO/USDT,0.00421,0.00425,0.00405,0.00424,49226881.0603,202887.097667848
1662681600,2022-09-09 00:00:00,HERO/USDT,0.00412,0.00426,0.00397,0.00418,187867000.4807,770269.141993875
1662595200,2022-09-08 00:00:00,HERO/USDT,0.00437,0.0045,0.00403,0.00409,120603268.9592,506736.351768347
1662508800,2022-09-07 00:00:00,HERO/USDT,0.00426,0.00443,0.00408,0.00437,62806356.2876,263047.896842355
1662422400,2022-09-06 00:00:00,HERO/USDT,0.00461,0.00484,0.0042,0.00425,91754895.0447,412177.345371979
1662336000,2022-09-05 00:00:00,HERO/USDT,0.00476,0.00483,0.00454,0.00461,47344935.5507,219414.368609333
1662249600,2022-09-04 00:00:00,HERO/USDT,0.00491,0.00497,0.00472,0.00478,30019779.2535,144467.8230684
1662163200,2022-09-03 00:00:00,HERO/USDT,0.00508,0.00519,0.00477,0.00491,65251170.49916411,319251.4401509620377
1662076800,2022-09-02 00:00:00,HERO/USDT,0.0047,0.00543,0.00465,0.00505,176453276.5353,862871.120298733
1661990400,2022-09-01 00:00:00,HERO/USDT,0.00467,0.00478,0.00446,0.0047,44436161.3476,204755.89192855
1661904000,2022-08-31 00:00:00,HERO/USDT,0.00508,0.00524,0.00464,0.00469,14375986.94491005,69757.0303621913427
1661817600,2022-08-30 00:00:00,HERO/USDT,0.00536,0.00546,0.00497,0.00508,82561806.81043222,428481.8796354929394
1661731200,2022-08-29 00:00:00,HERO/USDT,0.0058,0.00585,0.0052,0.00536,118142941.3733429,637027.0454981469344
1661644800,2022-08-28 00:00:00,HERO/USDT,0.00582,0.00593,0.00578,0.0058,9597507.58078847,56115.3342677602167
1661558400,2022-08-27 00:00:00,HERO/USDT,0.00593,0.00601,0.00547,0.00584,33337366.54152806,195130.4216901568021
1661472000,2022-08-26 00:00:00,HERO/USDT,0.00665,0.00666,0.00588,0.00598,71457781.18837157,450292.540577559689
1661385600,2022-08-25 00:00:00,HERO/USDT,0.00683,0.00687,0.00652,0.00664,52202845.3936618,349224.0280109844006
1661299200,2022-08-24 00:00:00,HERO/USDT,0.00702,0.00714,0.00676,0.00683,38016398.45075842,261499.3427167975718
1661212800,2022-08-23 00:00:00,HERO/USDT,0.00722,0.00729,0.007,0.007,37755938.39376202,268137.9542092429071
