https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ELA,Volume USDT
1663372800,2022-09-17 00:00:00,ELA/USDT,1.5124,1.5124,1.5106,1.511,156.5154,236.49240718
1663286400,2022-09-16 00:00:00,ELA/USDT,1.4829,1.5125,1.4777,1.5125,5603.7696,8364.62958814
1663200000,2022-09-15 00:00:00,ELA/USDT,1.5391,1.5403,1.4399,1.5041,4059.524,6046.18141253
1663113600,2022-09-14 00:00:00,ELA/USDT,1.5566,1.5681,1.4866,1.5166,17725.0228,27050.78917408
1663027200,2022-09-13 00:00:00,ELA/USDT,1.626,1.6656,1.5379,1.5567,15954.8331,25597.81960105
1662940800,2022-09-12 00:00:00,ELA/USDT,1.6657,1.7167,1.62,1.625,10568.1289,17507.00533071
1662854400,2022-09-11 00:00:00,ELA/USDT,1.6853,1.7689,1.6652,1.6652,10371.2759,17824.17776755
1662768000,2022-09-10 00:00:00,ELA/USDT,1.7279,1.7633,1.6507,1.7012,8222.1268,14128.80795905
1662681600,2022-09-09 00:00:00,ELA/USDT,1.681,1.7684,1.6476,1.7103,37168.5437,63233.81321692
1662595200,2022-09-08 00:00:00,ELA/USDT,1.7259,1.739,1.63,1.6786,18999.1576,31772.71763919
1662508800,2022-09-07 00:00:00,ELA/USDT,1.7061,1.7434,1.6726,1.7086,6041.2684,10256.70921592
1662422400,2022-09-06 00:00:00,ELA/USDT,1.7534,1.7622,1.6867,1.7061,8661.1218,14964.57993337
1662336000,2022-09-05 00:00:00,ELA/USDT,1.7842,1.7842,1.73,1.7462,8240.4167,14403.26811172
1662249600,2022-09-04 00:00:00,ELA/USDT,1.77,1.7925,1.7122,1.7809,4082.0484,7141.75070907
1662163200,2022-09-03 00:00:00,ELA/USDT,1.7144,1.7978,1.6867,1.77,7331.8685,12751.44863357
1662076800,2022-09-02 00:00:00,ELA/USDT,1.8023,1.8118,1.7143,1.7383,7903.3987,13900.6156718
1661990400,2022-09-01 00:00:00,ELA/USDT,1.8056,1.8078,1.7464,1.7883,6522.3236,11665.89218972
1661904000,2022-08-31 00:00:00,ELA/USDT,1.8013,1.9778,1.8006,1.8056,11770.4822,21584.41050159
1661817600,2022-08-30 00:00:00,ELA/USDT,1.7611,1.8025,1.7316,1.7938,20172.7331,35646.7990181
1661731200,2022-08-29 00:00:00,ELA/USDT,1.686,1.7946,1.6803,1.7611,10118.9609,17765.42985453
1661644800,2022-08-28 00:00:00,ELA/USDT,1.7541,1.768,1.6804,1.687,9596.1196,16461.01550697
1661558400,2022-08-27 00:00:00,ELA/USDT,1.7708,1.784,1.688,1.7543,16845.33490934,29166.363054647128
1661472000,2022-08-26 00:00:00,ELA/USDT,1.893,1.903,1.7708,1.7708,10757.0493,19871.66991024
1661385600,2022-08-25 00:00:00,ELA/USDT,1.8294,1.9063,1.8236,1.8941,18417.8259,34652.56904746
1661299200,2022-08-24 00:00:00,ELA/USDT,1.8629,1.8864,1.8007,1.8364,11813.7558,21771.84950561
1661212800,2022-08-23 00:00:00,ELA/USDT,1.8462,1.8613,1.8008,1.85,12430.4342,22664.11281564
1661126400,2022-08-22 00:00:00,ELA/USDT,1.8737,1.9483,1.7654,1.846,30014.0028,55903.7427074
1661040000,2022-08-21 00:00:00,ELA/USDT,1.8594,1.9438,1.8318,1.8854,9136.1561,17222.18992121
1660953600,2022-08-20 00:00:00,ELA/USDT,1.87,1.9163,1.8359,1.8809,4321.2748,8085.65441848
1660867200,2022-08-19 00:00:00,ELA/USDT,2.0466,2.0782,1.794,1.87,87560.4093,168086.44177651
1660780800,2022-08-18 00:00:00,ELA/USDT,2.0016,2.0897,1.9873,2.0566,8757.6612,17902.89786492
1660694400,2022-08-17 00:00:00,ELA/USDT,2.0731,2.1823,1.9532,2.0019,21062.9938,43358.88712931
1660608000,2022-08-16 00:00:00,ELA/USDT,2.012,2.0815,1.9998,2.058,27909.1929,56654.97426389
1660521600,2022-08-15 00:00:00,ELA/USDT,2.0523,2.1788,1.9347,2.0004,45093.8896,91697.28563049
1660435200,2022-08-14 00:00:00,ELA/USDT,2.1299,2.1658,2.0098,2.0482,14585.9284,30487.61297292
1660348800,2022-08-13 00:00:00,ELA/USDT,2.0683,2.1475,2.0666,2.1131,14421.6232,30436.15172381
1660262400,2022-08-12 00:00:00,ELA/USDT,2.1,2.1359,2.0269,2.0825,21407.4127,44455.43852034
1660176000,2022-08-11 00:00:00,ELA/USDT,2.1069,2.17,2.0784,2.1,12535.6917,26631.89174
1660089600,2022-08-10 00:00:00,ELA/USDT,2.1132,2.2136,2.0607,2.105,19943.9751,42711.21020267
