https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume FLUX,Volume BTC
1663459200,2022-09-18 00:00:00,FLUX/BTC,0.00005463,0.00005467,0.00005296,0.00005296,7732.9447,0.41674137418
1663372800,2022-09-17 00:00:00,FLUX/BTC,0.00005382,0.00005553,0.00005341,0.00005454,84176.783,4.598570974239
1663286400,2022-09-16 00:00:00,FLUX/BTC,0.00005961,0.00005961,0.00005247,0.00005378,180295.6418,9.959407721359
1663200000,2022-09-15 00:00:00,FLUX/BTC,0.00006244,0.00006263,0.00005745,0.00005975,169565.6703,10.092415038333
1663113600,2022-09-14 00:00:00,FLUX/BTC,0.00005665,0.00006466,0.0000545,0.00006248,290146.3458,17.515161829076
1663027200,2022-09-13 00:00:00,FLUX/BTC,0.00005527,0.00005662,0.00005011,0.00005662,111833.4013,5.982343732357
1662940800,2022-09-12 00:00:00,FLUX/BTC,0.00006028,0.00006028,0.00005268,0.00005526,144714.2349,8.138303147293
1662854400,2022-09-11 00:00:00,FLUX/BTC,0.00006022,0.00006179,0.00005945,0.00006019,90454.4668,5.47003273213
1662768000,2022-09-10 00:00:00,FLUX/BTC,0.00006303,0.00006398,0.00005949,0.00005994,107507.2819,6.706907312963
1662681600,2022-09-09 00:00:00,FLUX/BTC,0.00006427,0.0000652,0.0000589,0.00006271,237639.095,14.853533040392
1662595200,2022-09-08 00:00:00,FLUX/BTC,0.0000656,0.000068,0.00006382,0.00006417,79594.09,5.253222839758
1662508800,2022-09-07 00:00:00,FLUX/BTC,0.00006146,0.00007042,0.00005939,0.00006557,170428.7553,11.155761100124
1662422400,2022-09-06 00:00:00,FLUX/BTC,0.00006798,0.00007078,0.00006132,0.00006132,162556.3698,10.891258189343
1662336000,2022-09-05 00:00:00,FLUX/BTC,0.0000603,0.00007366,0.0000551,0.00006789,409189.1569,25.887981792074
1662249600,2022-09-04 00:00:00,FLUX/BTC,0.00005078,0.00006051,0.00005078,0.0000603,238578.035,13.559848189505
1662163200,2022-09-03 00:00:00,FLUX/BTC,0.00004981,0.00005252,0.00004951,0.00005065,42329.5658,2.151663118744
1662076800,2022-09-02 00:00:00,FLUX/BTC,0.00004765,0.00005052,0.00004765,0.00004983,53854.6258,2.656364824162
1661990400,2022-09-01 00:00:00,FLUX/BTC,0.00004919,0.00004932,0.00004616,0.00004757,46445.6969,2.212537345633
1661904000,2022-08-31 00:00:00,FLUX/BTC,0.00004926,0.00005202,0.00004838,0.00004919,63154.8242,3.13828509736
1661817600,2022-08-30 00:00:00,FLUX/BTC,0.000051,0.00005104,0.00004801,0.00004927,58829.65296655,2.9168477191202285
1661731200,2022-08-29 00:00:00,FLUX/BTC,0.00005165,0.00005505,0.00005003,0.00005092,154240.8633,8.116258115407
1661644800,2022-08-28 00:00:00,FLUX/BTC,0.00004983,0.00005547,0.00004787,0.00005166,226056.88835748,11.608759876216668
1661558400,2022-08-27 00:00:00,FLUX/BTC,0.00004451,0.00005273,0.0000442,0.00004981,314842.0122,15.375292032405
1661472000,2022-08-26 00:00:00,FLUX/BTC,0.0000452,0.00004604,0.00004222,0.00004447,101634.4811,4.483397501379
1661385600,2022-08-25 00:00:00,FLUX/BTC,0.00003964,0.00004622,0.00003964,0.00004506,213838.6985,9.327771686822
1661299200,2022-08-24 00:00:00,FLUX/BTC,0.00003963,0.00004048,0.00003851,0.0000396,23523.084,0.926850399023
1661212800,2022-08-23 00:00:00,FLUX/BTC,0.00003987,0.00004032,0.00003883,0.00003963,21272.0902,0.843758182121
1661126400,2022-08-22 00:00:00,FLUX/BTC,0.00004131,0.00004131,0.00003903,0.00003987,49376.6525,1.965775772541
1661040000,2022-08-21 00:00:00,FLUX/BTC,0.00004325,0.00004528,0.00004072,0.00004132,111775.1083,4.713439678248
1660953600,2022-08-20 00:00:00,FLUX/BTC,0.00003997,0.0000446,0.00003972,0.00004322,264150.6087,11.199562780216
1660867200,2022-08-19 00:00:00,FLUX/BTC,0.00004221,0.00004272,0.0000384,0.00003984,161758.4849,6.486568983755
1660780800,2022-08-18 00:00:00,FLUX/BTC,0.00004563,0.0000492,0.00004093,0.00004218,214567.8483,9.628525608378
1660694400,2022-08-17 00:00:00,FLUX/BTC,0.00003986,0.00004763,0.00003951,0.00004563,319540.0222,13.922270375934
