https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume MANA,Volume USDT
1663462800,2022-09-18 01:00:00,MANA/USDT,0.7479,0.74844,0.7478,0.74782,341.15564952,255.1182404702906
1663459200,2022-09-18 00:00:00,MANA/USDT,0.75192,0.7528,0.74713,0.7479,37710.3261654,28251.3782682499723
1663455600,2022-09-17 23:00:00,MANA/USDT,0.75093,0.75407,0.74999,0.75177,39139.72559039,29437.5411280377843
1663452000,2022-09-17 22:00:00,MANA/USDT,0.74847,0.75174,0.7474,0.75147,28607.20229072,21458.1126054097242
1663448400,2022-09-17 21:00:00,MANA/USDT,0.74954,0.75169,0.74744,0.74819,38112.49697943,28567.5924327646038
1663444800,2022-09-17 20:00:00,MANA/USDT,0.74608,0.75,0.74546,0.74953,44660.14751916,33352.7207301862992
1663441200,2022-09-17 19:00:00,MANA/USDT,0.74652,0.74652,0.74345,0.74583,48435.97465729,36082.7322461314628
1663437600,2022-09-17 18:00:00,MANA/USDT,0.74868,0.74976,0.74616,0.74651,38933.49232062,29126.4311193354862
1663434000,2022-09-17 17:00:00,MANA/USDT,0.7496,0.75043,0.747,0.7488,27399.45258235,20507.6914220310429
1663430400,2022-09-17 16:00:00,MANA/USDT,0.747,0.75135,0.74665,0.74832,69462.96543399,52057.1164261712089
1663426800,2022-09-17 15:00:00,MANA/USDT,0.74737,0.74774,0.74518,0.74661,41019.32529162,30608.9108657952705
1663423200,2022-09-17 14:00:00,MANA/USDT,0.74288,0.74823,0.74244,0.74781,34257.5148952,25559.2764478498585
1663419600,2022-09-17 13:00:00,MANA/USDT,0.73809,0.74402,0.73761,0.74233,58681.84801177,43537.5692095041917
1663416000,2022-09-17 12:00:00,MANA/USDT,0.73402,0.7384,0.73372,0.73822,55410.08159284,40804.2586331085483
1663412400,2022-09-17 11:00:00,MANA/USDT,0.73564,0.73631,0.73342,0.73401,53847.87530912,39583.2545185076075
1663408800,2022-09-17 10:00:00,MANA/USDT,0.73817,0.73877,0.73332,0.73554,19773.85697451,14552.0811325440281
1663405200,2022-09-17 09:00:00,MANA/USDT,0.73918,0.73985,0.73755,0.73822,13580.39109588,10030.0096398287698
1663401600,2022-09-17 08:00:00,MANA/USDT,0.73917,0.74105,0.73861,0.73939,17156.099384,12690.9849615442966
1663398000,2022-09-17 07:00:00,MANA/USDT,0.73917,0.73917,0.73637,0.73873,15043.37386799,11091.6951913124646
1663394400,2022-09-17 06:00:00,MANA/USDT,0.73785,0.74018,0.7375,0.73856,10442.15446616,7713.1107649422411
