https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume EUR,Volume XEM
1663545600000,2022-09-19 00:00:00,XEM/EUR,0.0398547,0.04054642,0.03892088,0.04020936,839.1693432,20870.0
1663459200000,2022-09-18 00:00:00,XEM/EUR,0.04239186,0.04339745,0.03891497,0.03990509,15387.81295356876,385610.28063259
1663372800000,2022-09-17 00:00:00,XEM/EUR,0.04205611,0.0431985,0.04141487,0.04249398,16340.438901055204,384535.38362505
1663286400000,2022-09-16 00:00:00,XEM/EUR,0.04123577,0.04369849,0.041,0.04190488,16195.11304842573,386473.19950387
1663200000000,2022-09-15 00:00:00,XEM/EUR,0.04298864,0.0435,0.04100002,0.04126336,15219.213977683745,368831.18528602
1663113600000,2022-09-14 00:00:00,XEM/EUR,0.04299595,0.0439846,0.04217341,0.04285409,13647.732584350055,318469.77929878
1663027200000,2022-09-13 00:00:00,XEM/EUR,0.0463463,0.04829426,0.04259155,0.04292646,14608.025215550293,340303.51479135
1662940800000,2022-09-12 00:00:00,XEM/EUR,0.0471961,0.04969988,0.04517365,0.04635768,17265.087763212283,372432.0924432
1662854400000,2022-09-11 00:00:00,XEM/EUR,0.0459843,0.04969999,0.04461034,0.04645544,17833.50342488567,383884.07094811
1662768000000,2022-09-10 00:00:00,XEM/EUR,0.04661212,0.04825655,0.04461033,0.04575449,17953.79616876321,392394.19276148
1662681600000,2022-09-09 00:00:00,XEM/EUR,0.04362053,0.0497,0.04299883,0.04748231,17996.851995056986,379022.25049828
1662595200000,2022-09-08 00:00:00,XEM/EUR,0.04258756,0.04474379,0.04236318,0.04449961,16761.595137919077,376668.36041752
1662508800000,2022-09-07 00:00:00,XEM/EUR,0.04163464,0.04351986,0.04149043,0.04254903,15905.972712989638,373826.91715862
1662422400000,2022-09-06 00:00:00,XEM/EUR,0.04386612,0.04501025,0.04124753,0.0416729,15559.258162787468,373366.34030239
1662336000000,2022-09-05 00:00:00,XEM/EUR,0.04448549,0.04519925,0.04330725,0.04389142,15792.355506163925,359805.07138215
1662249600000,2022-09-04 00:00:00,XEM/EUR,0.04386049,0.04530419,0.04341978,0.0444726,16704.866499429543,375621.53999158
1662163200000,2022-09-03 00:00:00,XEM/EUR,0.04438913,0.0446808,0.0433346,0.04369723,16904.99338439077,386866.47607619
1662076800000,2022-09-02 00:00:00,XEM/EUR,0.04431785,0.04581565,0.04304847,0.04430595,16520.135269601215,372864.93731883
1661990400000,2022-09-01 00:00:00,XEM/EUR,0.04419633,0.05099999,0.04235971,0.0443536,16967.71137660827,382555.44931208
1661904000000,2022-08-31 00:00:00,XEM/EUR,0.04414779,0.04877878,0.04280182,0.04400893,15904.38721269956,361389.99999999
1661817600000,2022-08-30 00:00:00,XEM/EUR,0.04447639,0.05189999,0.04276162,0.04334082,16414.63082583423,378733.73936705
1661731200000,2022-08-29 00:00:00,XEM/EUR,0.04364907,0.05189999,0.04276765,0.04447767,16815.02954075038,378055.53979672
1661644800000,2022-08-28 00:00:00,XEM/EUR,0.04481951,0.04595138,0.04327475,0.04372615,16500.52636221966,377360.60371699
1661558400000,2022-08-27 00:00:00,XEM/EUR,0.04546833,0.04642091,0.04315376,0.04516506,17393.733631716903,385114.81290442
1661472000000,2022-08-26 00:00:00,XEM/EUR,0.04810046,0.05212078,0.04303178,0.04516344,16977.8424432328,375920.04602025
1661385600000,2022-08-25 00:00:00,XEM/EUR,0.04689134,0.055,0.04678234,0.04785296,17898.01182703504,374020.99738522
1661299200000,2022-08-24 00:00:00,XEM/EUR,0.04738383,0.05399999,0.04584311,0.04681346,17716.89953833936,378457.38252074
1661212800000,2022-08-23 00:00:00,XEM/EUR,0.04617766,0.0523,0.04413401,0.04723342,17746.082523597193,375710.30265429
1661126400000,2022-08-22 00:00:00,XEM/EUR,0.04641353,0.04690138,0.04584176,0.04612171,918.2832461,19910.0
1661040000000,2022-08-21 00:00:00,XEM/EUR,0.04521025,0.04935823,0.04236065,0.04676843,17589.47374028756,376097.16084734
1660953600000,2022-08-20 00:00:00,XEM/EUR,0.04537542,0.04679236,0.04351193,0.04512692,16677.49417771632,369568.63392663
1660867200000,2022-08-19 00:00:00,XEM/EUR,0.04882974,0.04888988,0.04236008,0.04555628,17460.464011826465,383272.38334268
1660780800000,2022-08-18 00:00:00,XEM/EUR,0.0495037,0.05179884,0.04856964,0.0488754,18201.23130735261,372400.661833
1660694400000,2022-08-17 00:00:00,XEM/EUR,0.05095633,0.05394104,0.0494014,0.04952919,18288.09801155894,369238.78649255
1660608000000,2022-08-16 00:00:00,XEM/EUR,0.05224656,0.05239563,0.04981164,0.05071317,19281.997097166193,380216.75823393
1660521600000,2022-08-15 00:00:00,XEM/EUR,0.05263898,0.05384818,0.04996516,0.05221395,19986.66628544294,382784.03157476
1660435200000,2022-08-14 00:00:00,XEM/EUR,0.05341136,0.0594,0.05232274,0.05266243,19957.602236016402,378972.30029105
1660348800000,2022-08-13 00:00:00,XEM/EUR,0.05730242,0.05745395,0.05,0.05325266,20058.489203463,376666.42762001
1660262400000,2022-08-12 00:00:00,XEM/EUR,0.05182928,0.05730887,0.05068845,0.05452367,20808.618405074827,381643.75958322
1660176000000,2022-08-11 00:00:00,XEM/EUR,0.05056396,0.05692094,0.04793227,0.05122883,17650.862498654682,344549.39725648
