https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DEFIBEAR,Volume USDT
1663545600000.0,2022-09-19 00:00:00,DEFIBEAR/USDT,0.000293,0.00029655,0.0002853,0.0002853,0.0,0.0
1663542000000.0,2022-09-18 23:00:00,DEFIBEAR/USDT,0.0002896,0.00029655,0.0002856,0.000293,0.0,0.0
1663538400000.0,2022-09-18 22:00:00,DEFIBEAR/USDT,0.000291,0.00029655,0.0002892,0.0002896,0.0,0.0
1663534800000.0,2022-09-18 21:00:00,DEFIBEAR/USDT,0.0002653,0.00029655,0.00026465,0.000291,15011658.762886597,4368.3927
1663531200000.0,2022-09-18 20:00:00,DEFIBEAR/USDT,0.00026005,0.00026705,0.00025735,0.0002653,0.0,0.0
1663527600000.0,2022-09-18 19:00:00,DEFIBEAR/USDT,0.00026205,0.0002648,0.00025735,0.00026005,0.0,0.0
1663524000000.0,2022-09-18 18:00:00,DEFIBEAR/USDT,0.0002636,0.0002661,0.00025735,0.00026205,0.0,0.0
1663520400000.0,2022-09-18 17:00:00,DEFIBEAR/USDT,0.00026045,0.0002666,0.0002546,0.0002636,0.0,0.0
1663516800000.0,2022-09-18 16:00:00,DEFIBEAR/USDT,0.00024855,0.0002614,0.000247,0.00026045,0.0,0.0
1663513200000.0,2022-09-18 15:00:00,DEFIBEAR/USDT,0.00024775,0.0002515,0.0002456,0.00024855,0.0,0.0
1663509600000.0,2022-09-18 14:00:00,DEFIBEAR/USDT,0.0002408,0.0002515,0.0002408,0.00024775,10089154.793138245,2499.5881
1663506000000.0,2022-09-18 13:00:00,DEFIBEAR/USDT,0.0002397,0.00024455,0.00023935,0.0002408,0.0,0.0
1663502400000.0,2022-09-18 12:00:00,DEFIBEAR/USDT,0.00024205,0.0002473,0.0002395,0.0002397,0.0,0.0
1663498800000.0,2022-09-18 11:00:00,DEFIBEAR/USDT,0.0002421,0.0002445,0.0002399,0.00024205,0.0,0.0
1663495200000.0,2022-09-18 10:00:00,DEFIBEAR/USDT,0.00024485,0.00024955,0.00023815,0.0002421,0.0,0.0
1663491600000.0,2022-09-18 09:00:00,DEFIBEAR/USDT,0.0002311,0.0002504,0.00022975,0.00024485,0.0,0.0
1663488000000.0,2022-09-18 08:00:00,DEFIBEAR/USDT,0.00023215,0.00023445,0.0002295,0.0002311,0.0,0.0
1663484400000.0,2022-09-18 07:00:00,DEFIBEAR/USDT,0.00023105,0.00023445,0.00022995,0.00023215,0.0,0.0
