https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ETH,Volume AUD,tradecount
1663545600000,2022-09-19 00:00:00,ETH/AUD,1984.54000000,1992.39000000,1980.07000000,1982.98000000,75.75580000,150348.63525200,292
1663459200000,2022-09-18 00:00:00,ETH/AUD,2188.00000000,2188.00000000,1978.00000000,1985.20000000,2296.50230000,4735175.97917100,9589
1663372800000,2022-09-17 00:00:00,ETH/AUD,2133.89000000,2200.00000000,2101.45000000,2188.82000000,1156.44590000,2485391.31297700,6139
1663286400000,2022-09-16 00:00:00,ETH/AUD,2204.30000000,2215.72000000,2101.78000000,2133.62000000,3269.98970000,7114976.92345700,12555
1663200000000,2022-09-15 00:00:00,ETH/AUD,2429.82000000,2454.00000000,2176.91000000,2203.64000000,6154.98040000,14389481.43086400,21648
1663113600000,2022-09-14 00:00:00,ETH/AUD,2334.00000000,2442.03000000,2307.21000000,2429.66000000,2896.13690000,6879369.01519500,12197
1663027200000,2022-09-13 00:00:00,ETH/AUD,2490.38000000,2548.93000000,2322.65000000,2334.00000000,3911.87680000,9530848.47344300,15447
1662940800000,2022-09-12 00:00:00,ETH/AUD,2584.68000000,2601.98000000,2461.50000000,2489.37000000,2052.33140000,5191830.94984200,8911
1662854400000,2022-09-11 00:00:00,ETH/AUD,2598.97000000,2617.26000000,2521.00000000,2582.56000000,1260.94170000,3249607.44200600,5829
1662768000000,2022-09-10 00:00:00,ETH/AUD,2511.69000000,2620.00000000,2494.70000000,2598.64000000,1651.32100000,4193092.71753300,6823
1662681600000,2022-09-09 00:00:00,ETH/AUD,2414.30000000,2540.25000000,2402.39000000,2512.39000000,3970.57830000,9879648.57268800,13333
1662595200000,2022-09-08 00:00:00,ETH/AUD,2415.33000000,2461.81000000,2363.95000000,2416.19000000,3093.61050000,7471809.28554900,11461
1662508800000,2022-09-07 00:00:00,ETH/AUD,2316.29000000,2447.82000000,2220.60000000,2413.84000000,3818.78490000,8791429.77847600,13662
1662422400000,2022-09-06 00:00:00,ETH/AUD,2374.34000000,2490.63000000,2312.55000000,2314.79000000,4317.29440000,10391883.25877500,14344
1662336000000,2022-09-05 00:00:00,ETH/AUD,2327.39000000,2389.78000000,2293.53000000,2371.60000000,2842.42690000,6608392.35553500,9589
1662249600000,2022-09-04 00:00:00,ETH/AUD,2293.88000000,2332.50000000,2268.83000000,2326.87000000,1209.58720000,2784146.13374500,5082
1662163200000,2022-09-03 00:00:00,ETH/AUD,2316.24000000,2326.21000000,2258.33000000,2294.87000000,946.22180000,2165386.20264100,4704
1662076800000,2022-09-02 00:00:00,ETH/AUD,2333.19000000,2408.25000000,2277.32000000,2319.25000000,2249.16130000,5276184.15949800,10060
1661990400000,2022-09-01 00:00:00,ETH/AUD,2278.24000000,2349.13000000,2231.45000000,2334.69000000,2543.51260000,5821120.18012100,9366
1661904000000,2022-08-31 00:00:00,ETH/AUD,2230.47000000,2356.61000000,2228.84000000,2277.90000000,3528.38540000,8134574.69220200,13121
1661817600000,2022-08-30 00:00:00,ETH/AUD,2248.40000000,2317.55000000,2155.64000000,2224.02000000,3644.75020000,8227035.06543100,11583
1661731200000,2022-08-29 00:00:00,ETH/AUD,2083.14000000,2263.00000000,2073.05000000,2249.97000000,3405.81280000,7304393.74007700,9755
1661644800000,2022-08-28 00:00:00,ETH/AUD,2169.34000000,2197.54000000,2078.76000000,2081.08000000,1625.91470000,3500694.08601800,5874
1661558400000,2022-08-27 00:00:00,ETH/AUD,2192.61000000,2209.37000000,2105.28000000,2168.88000000,2992.05130000,6487360.66257900,9414
1661472000000,2022-08-26 00:00:00,ETH/AUD,2434.75000000,2439.35000000,2165.01000000,2193.86000000,4626.44920000,10813947.89227200,14573
1661385600000,2022-08-25 00:00:00,ETH/AUD,2401.02000000,2472.98000000,2396.43000000,2438.15000000,2438.99770000,5947205.57412000,7480
1661299200000,2022-08-24 00:00:00,ETH/AUD,2408.35000000,2456.96000000,2331.32000000,2401.64000000,2398.58580000,5734627.10660300,6373
1661212800000,2022-08-23 00:00:00,ETH/AUD,2364.37000000,2417.26000000,2281.00000000,2407.39000000,3232.08570000,7616096.79065600,7989
1661126400000,2022-08-22 00:00:00,ETH/AUD,2355.65000000,2370.68000000,2225.00000000,2365.69000000,3543.12340000,8097587.29626400,9080
1661040000000,2022-08-21 00:00:00,ETH/AUD,2297.00000000,2397.47000000,2275.00000000,2355.23000000,2137.58570000,5002688.25127500,6851
1660953600000,2022-08-20 00:00:00,ETH/AUD,2345.91000000,2413.19000000,2224.95000000,2295.91000000,2827.93380000,6634708.87682800,8493
