https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume XVS,Volume USDT
1663459200,2022-09-18 00:00:00,XVS/USDT,4.549,4.549,4.5026,4.5026,87.5845,398.27406954
1663372800,2022-09-17 00:00:00,XVS/USDT,4.376,4.5587,4.376,4.5563,2569.4695,11470.31984578
1663286400,2022-09-16 00:00:00,XVS/USDT,4.4879,4.5086,4.2979,4.36,1126.2043,4938.04609896
1663200000,2022-09-15 00:00:00,XVS/USDT,4.6689,4.6689,4.4082,4.4845,1198.641,5413.8442729
1663113600,2022-09-14 00:00:00,XVS/USDT,4.669,4.78,4.6,4.6789,1391.1061,6471.05866398
1663027200,2022-09-13 00:00:00,XVS/USDT,4.974,4.9879,4.6149,4.669,8737.4908,41559.20329466
1662940800,2022-09-12 00:00:00,XVS/USDT,5.0852,5.14,4.982,4.9878,1588.1154,8029.63882113
1662854400,2022-09-11 00:00:00,XVS/USDT,5.1149,5.1586,5.0123,5.1095,1710.6928,8696.86895219
1662768000,2022-09-10 00:00:00,XVS/USDT,5.0018,5.2759,4.9719,5.1186,2859.8812,14558.6697259
1662681600,2022-09-09 00:00:00,XVS/USDT,4.8219,5.1521,4.8022,5.0199,13057.0794,65524.73855209
1662595200,2022-09-08 00:00:00,XVS/USDT,4.817,4.8372,4.69,4.8209,753.4424,3588.04893645
1662508800,2022-09-07 00:00:00,XVS/USDT,4.5353,4.9621,4.4752,4.8192,1706.1426,8017.19486211
1662422400,2022-09-06 00:00:00,XVS/USDT,4.9481,5.0596,4.5426,4.544,2635.6674,12757.57965699
1662336000,2022-09-05 00:00:00,XVS/USDT,4.931,5.007,4.8321,4.9146,764.3503,3747.19432107
1662249600,2022-09-04 00:00:00,XVS/USDT,4.826,4.9294,4.815,4.909,935.0311,4561.93210807
1662163200,2022-09-03 00:00:00,XVS/USDT,4.86,4.8971,4.82,4.8492,330.5274,1605.79107957
1662076800,2022-09-02 00:00:00,XVS/USDT,4.907,5.129,4.7884,4.844,3245.9609,15855.88835034
1661990400,2022-09-01 00:00:00,XVS/USDT,4.865,4.917,4.6987,4.9038,1548.7214,7434.97872858
1661904000,2022-08-31 00:00:00,XVS/USDT,4.898,5.0596,4.8176,4.865,3461.2441,17030.85605559
1661817600,2022-08-30 00:00:00,XVS/USDT,5.065,5.22,4.8049,4.8739,2279.3587,11228.7289125
1661731200,2022-08-29 00:00:00,XVS/USDT,4.832,5.2136,4.6861,5.0994,12623.6821,61105.99870955
1661644800,2022-08-28 00:00:00,XVS/USDT,4.8793,5.6307,4.796,4.796,9246.8083,47946.21427855
1661558400,2022-08-27 00:00:00,XVS/USDT,5.1459,5.393,4.544,4.8893,9160.3656,44904.3379194
1661472000,2022-08-26 00:00:00,XVS/USDT,5.635,5.64,5.1401,5.1401,3094.45,16654.78551285
1661385600,2022-08-25 00:00:00,XVS/USDT,5.74,5.8408,5.5734,5.674,1151.313,6564.66628083
1661299200,2022-08-24 00:00:00,XVS/USDT,5.7307,5.85,5.6009,5.7411,2814.7392,16201.05943225
1661212800,2022-08-23 00:00:00,XVS/USDT,5.641,5.8505,5.5709,5.745,2179.5213,12462.52680203
1661126400,2022-08-22 00:00:00,XVS/USDT,5.895,5.895,5.5174,5.66,3889.94847397,21997.701825112078
1661040000,2022-08-21 00:00:00,XVS/USDT,5.8904,5.9531,5.7806,5.927,3007.587,17670.13358945
1660953600,2022-08-20 00:00:00,XVS/USDT,5.818,6.6,5.66,5.9039,9338.3516,57172.04413551
1660867200,2022-08-19 00:00:00,XVS/USDT,6.265,6.265,5.5051,5.81,5962.325,34751.83446385
1660780800,2022-08-18 00:00:00,XVS/USDT,6.0048,6.622,5.983,6.2857,5075.3845,32431.6568208
1660694400,2022-08-17 00:00:00,XVS/USDT,5.97,6.36,5.8804,5.9929,4951.2881,30264.68840215
1660608000,2022-08-16 00:00:00,XVS/USDT,6.2997,6.312,5.834,5.9784,3153.36294297,19122.83719003698
1660521600,2022-08-15 00:00:00,XVS/USDT,6.3996,6.6784,6.1899,6.2897,1651.1338,10604.69934686
1660435200,2022-08-14 00:00:00,XVS/USDT,6.659,6.703,6.321,6.4222,1607.3281,10525.91899936
1660348800,2022-08-13 00:00:00,XVS/USDT,6.6392,6.7342,6.6292,6.659,4514.1986,30117.74624295
1660262400,2022-08-12 00:00:00,XVS/USDT,6.615,6.663,6.431,6.663,9033.9267,59464.92428657
1660176000,2022-08-11 00:00:00,XVS/USDT,6.69,6.8925,6.5642,6.615,2612.3929,17698.80276194
1660089600,2022-08-10 00:00:00,XVS/USDT,6.5224,6.8906,6.401,6.705,2336.8913,15373.83504249
1660003200,2022-08-09 00:00:00,XVS/USDT,6.8989,6.9621,6.411,6.498,3186.9713,21043.36898133
1659916800,2022-08-08 00:00:00,XVS/USDT,6.8436,7.866,6.7985,6.9079,12642.0948,90798.8221222
1659830400,2022-08-07 00:00:00,XVS/USDT,6.6316,6.9756,6.381,6.843,4593.5308,30440.15795894
1659744000,2022-08-06 00:00:00,XVS/USDT,6.64,7.0343,6.5142,6.6316,3217.6158,21775.99594273
1659657600,2022-08-05 00:00:00,XVS/USDT,6.4162,6.6946,6.4162,6.6191,1440.6489,9474.79891257
1659571200,2022-08-04 00:00:00,XVS/USDT,6.4235,6.622,6.2523,6.405,2007.5241,12909.81525803
