https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume KP3R,Volume USDT
1663459200,2022-09-18 00:00:00,KP3R/USDT,103.194,103.194,102.346,102.346,11.7092,1200.3865345
1663455600,2022-09-17 23:00:00,KP3R/USDT,103.193,104.589,103.193,104.438,0.5136,53.4373519
1663452000,2022-09-17 22:00:00,KP3R/USDT,102.439,103.167,101.828,103.167,21.8525,2231.0084487
1663448400,2022-09-17 21:00:00,KP3R/USDT,102.828,102.828,102.557,102.557,5.6816,583.8293923
1663444800,2022-09-17 20:00:00,KP3R/USDT,102.698,102.698,102.698,102.698,0,0
1663441200,2022-09-17 19:00:00,KP3R/USDT,102.698,102.698,102.698,102.698,0.001,0.102698
1663437600,2022-09-17 18:00:00,KP3R/USDT,103.079,103.079,103.079,103.079,0.2046,21.0899634
1663434000,2022-09-17 17:00:00,KP3R/USDT,102.938,102.938,102.938,102.938,0.4078,41.9781164
1663430400,2022-09-17 16:00:00,KP3R/USDT,102.68,103.169,102.68,103.169,1.7719,181.9396211
1663426800,2022-09-17 15:00:00,KP3R/USDT,102.671,102.898,102.671,102.68,4.7434,487.1765416
1663423200,2022-09-17 14:00:00,KP3R/USDT,102.439,103.599,102.439,102.76,1.3904,143.1630363
1663419600,2022-09-17 13:00:00,KP3R/USDT,101.883,101.946,101.855,101.856,2.1591,220.0212872
1663416000,2022-09-17 12:00:00,KP3R/USDT,101.684,102.2,101.116,101.116,0.8476,86.614792
1663412400,2022-09-17 11:00:00,KP3R/USDT,101.111,101.124,100.356,100.356,1.9224,193.5912036
1663408800,2022-09-17 10:00:00,KP3R/USDT,101.051,101.354,100.406,100.527,6.8499,691.9279016
1663405200,2022-09-17 09:00:00,KP3R/USDT,101.325,101.683,101.325,101.683,2.2226,225.8793554
1663401600,2022-09-17 08:00:00,KP3R/USDT,100.306,100.306,100.266,100.266,4,401.147324
1663398000,2022-09-17 07:00:00,KP3R/USDT,100.389,100.894,100.195,100.195,2.0053,201.6150845
1663394400,2022-09-17 06:00:00,KP3R/USDT,100.601,100.601,100.601,100.601,0.0099,0.9959499
1663390800,2022-09-17 05:00:00,KP3R/USDT,101.325,101.325,101.325,101.325,3.9476,399.99057
1663387200,2022-09-17 04:00:00,KP3R/USDT,101.094,101.094,101.094,101.094,0,0
1663383600,2022-09-17 03:00:00,KP3R/USDT,101.094,101.094,101.094,101.094,0.0019,0.1920786
1663380000,2022-09-17 02:00:00,KP3R/USDT,101.562,101.562,101.235,101.325,14.3466,1453.5123048
1663376400,2022-09-17 01:00:00,KP3R/USDT,101,101.628,101,101.628,18.1722,1839.1593559
1663372800,2022-09-17 00:00:00,KP3R/USDT,100.929,100.929,100.929,100.929,0.0079,0.7973391
1663369200,2022-09-16 23:00:00,KP3R/USDT,100.211,100.211,100.211,100.211,0.0299,2.9963089
1663365600,2022-09-16 22:00:00,KP3R/USDT,100.731,100.835,100.189,100.553,1.6069,161.8237025
1663362000,2022-09-16 21:00:00,KP3R/USDT,100.236,100.4,100.236,100.275,0.6709,67.3556796
1663358400,2022-09-16 20:00:00,KP3R/USDT,99.594,100.746,98.859,100.553,46.3948,4604.9424636
1663354800,2022-09-16 19:00:00,KP3R/USDT,99.881,99.881,99.881,99.881,0.2229,22.2634749
1663351200,2022-09-16 18:00:00,KP3R/USDT,98.9,99.802,98.51,99.802,2.828,280.3542161
1663347600,2022-09-16 17:00:00,KP3R/USDT,99.17,99.171,99.12,99.171,0.4335,42.9896713
1663344000,2022-09-16 16:00:00,KP3R/USDT,100.174,100.174,99.22,99.982,0.1722,17.1749027
1663340400,2022-09-16 15:00:00,KP3R/USDT,100.573,100.573,100.573,100.573,0.0011,0.1106303
1663336800,2022-09-16 14:00:00,KP3R/USDT,100.174,101.195,100.174,101.195,1.1009,110.869781
1663333200,2022-09-16 13:00:00,KP3R/USDT,100.174,100.174,99.301,99.301,0.6316,63.0826824
1663329600,2022-09-16 12:00:00,KP3R/USDT,100.873,100.873,100.873,100.873,0.0014,0.1412222
1663326000,2022-09-16 11:00:00,KP3R/USDT,101.285,101.651,100.946,101.651,5.858,591.8715771
1663322400,2022-09-16 10:00:00,KP3R/USDT,101.091,101.091,100.174,100.929,3.4537,348.3695438
1663318800,2022-09-16 09:00:00,KP3R/USDT,100.929,102.253,100.929,101.124,8.0017,815.9614766
1663315200,2022-09-16 08:00:00,KP3R/USDT,101.684,101.684,100.168,100.168,7.478,749.9171796
1663311600,2022-09-16 07:00:00,KP3R/USDT,101.761,101.957,101.761,101.957,1.1442,116.560925
1663308000,2022-09-16 06:00:00,KP3R/USDT,102.487,102.763,101.809,102.527,34.2023,3505.3153459
