https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume SMART
1663423200000,2022-09-17 14:00:00,SMART/BTC,3e-08,3e-08,3e-08,3e-08,9.99999999999e-05,3333.33333333
1663419600000,2022-09-17 13:00:00,SMART/BTC,3e-08,3e-08,3e-08,3e-08,0.00015011999999999998,5004.0
1663390800000,2022-09-17 05:00:00,SMART/BTC,2e-08,2e-08,2e-08,2e-08,0.0011618904,58094.52
1663354800000,2022-09-16 19:00:00,SMART/BTC,3e-08,3e-08,3e-08,3e-08,8.999999999999999e-06,300.0
1663351200000,2022-09-16 18:00:00,SMART/BTC,2e-08,2e-08,2e-08,2e-08,4.8000000012e-06,240.00000006
1663326000000,2022-09-16 11:00:00,SMART/BTC,3e-08,3e-08,3e-08,3e-08,0.00045563999999999994,15188.0
1663300800000,2022-09-16 04:00:00,SMART/BTC,3e-08,3e-08,3e-08,3e-08,0.00286755,95585.0
1663264800000,2022-09-15 18:00:00,SMART/BTC,3e-08,3e-08,3e-08,3e-08,0.0017604399999998999,58681.33333333
1663257600000,2022-09-15 16:00:00,SMART/BTC,3e-08,3e-08,3e-08,3e-08,0.0024085335270839997,80284.4509028
1662847200000,2022-09-10 22:00:00,SMART/BTC,3e-08,3e-08,2e-08,2e-08,4.8158e-05,2407.9
1662836400000,2022-09-10 19:00:00,SMART/BTC,2e-08,2e-08,2e-08,2e-08,6.70098e-05,3350.49
1662832800000,2022-09-10 18:00:00,SMART/BTC,3e-08,3e-08,3e-08,3e-08,0.0001015299999999,3384.33333333
1662829200000,2022-09-10 17:00:00,SMART/BTC,3e-08,3e-08,3e-08,3e-08,2.3999999999999997e-05,800.0
1662768000000,2022-09-10 00:00:00,SMART/BTC,2e-08,2e-08,2e-08,2e-08,0.00200199994,100099.997
1662739200000,2022-09-09 16:00:00,SMART/BTC,2e-08,2e-08,2e-08,2e-08,5.7047895e-05,2852.39475
1662692400000,2022-09-09 03:00:00,SMART/BTC,2e-08,2e-08,2e-08,2e-08,0.0001994,9970.0
1662645600000,2022-09-08 14:00:00,SMART/BTC,2e-08,2e-08,2e-08,2e-08,9.1909802106e-06,459.54901053
1662606000000,2022-09-08 03:00:00,SMART/BTC,2e-08,2e-08,2e-08,2e-08,0.0066666666666664,333333.33333332
1662588000000,2022-09-07 22:00:00,SMART/BTC,3e-08,3e-08,3e-08,3e-08,0.0030468999999998998,101563.33333333
1662519600000,2022-09-07 03:00:00,SMART/BTC,2e-08,2e-08,2e-08,2e-08,0.0001067301587176,5336.50793588
1662487200000,2022-09-06 18:00:00,SMART/BTC,3e-08,3e-08,3e-08,3e-08,0.0007987199999999999,26624.0
