https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume GAFI,Volume USDT
1663459200,2022-09-18 00:00:00,GAFI/USDT,9.168,9.184,9.104,9.138,328.0375,3000.4354
1663372800,2022-09-17 00:00:00,GAFI/USDT,9.08,9.438,8.95,9.153,10400.1401,95923.443215
1663286400,2022-09-16 00:00:00,GAFI/USDT,9.45,9.64,8.925,9.037,11014.6894,102469.4862031
1663200000,2022-09-15 00:00:00,GAFI/USDT,9.544,9.589,9.196,9.45,9252.1959,86967.9925045
1663113600,2022-09-14 00:00:00,GAFI/USDT,9.309,9.932,9.123,9.545,12628.565,119669.4281318
1663027200,2022-09-13 00:00:00,GAFI/USDT,9.466,9.798,8.951,9.278,13176.9976,124617.2213339
1662940800,2022-09-12 00:00:00,GAFI/USDT,9.062,9.798,9.028,9.466,12248.0508,115401.1313332
1662854400,2022-09-11 00:00:00,GAFI/USDT,9.14,9.654,9.025,9.062,11090.6804,102694.1280859
1662768000,2022-09-10 00:00:00,GAFI/USDT,9.305,9.526,8.992,9.14,10268.1823,94786.104726
1662681600,2022-09-09 00:00:00,GAFI/USDT,9.016,9.829,8.871,9.305,12926.4848,119365.2847485
1662595200,2022-09-08 00:00:00,GAFI/USDT,9.317,9.511,8.808,9.068,11385.1967,104774.9114963
1662508800,2022-09-07 00:00:00,GAFI/USDT,9.297,9.762,9,9.317,9564.5114,88946.9132106
1662422400,2022-09-06 00:00:00,GAFI/USDT,9.664,10.173,9.239,9.298,9692.8751,93959.5920948
1662336000,2022-09-05 00:00:00,GAFI/USDT,10.069,10.221,9.61,9.695,8668.1909,86565.9705872
1662249600,2022-09-04 00:00:00,GAFI/USDT,10.153,10.561,9.926,10.096,9979.7598,101534.2255811
1662163200,2022-09-03 00:00:00,GAFI/USDT,10.169,10.618,9.901,10.096,9539.1613,95976.4234806
1662076800,2022-09-02 00:00:00,GAFI/USDT,10.456,11.273,9.872,10.161,12164.7986,124126.1740298
1661990400,2022-09-01 00:00:00,GAFI/USDT,10.444,30,10.111,10.463,18632.96826689,217832.40003706158
1661904000,2022-08-31 00:00:00,GAFI/USDT,10.822,10.935,10.353,10.435,9245.5721,98454.2391986
1661817600,2022-08-30 00:00:00,GAFI/USDT,10.819,11.335,10.7,10.834,9193.0874,100165.4426179
1661731200,2022-08-29 00:00:00,GAFI/USDT,11.206,11.316,10.694,10.834,8914.9627,98451.9092467
