https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume UST,Volume BTC
1663545600000,2022-09-19 00:00:00,BTC/UST,19418,19508,19394,19453,26126.886607499997,1.3430775
1663542000000,2022-09-18 23:00:00,BTC/UST,19441,19517,19387,19419,117296.11983819,6.04027601
1663538400000,2022-09-18 22:00:00,BTC/UST,19459,19472,19342,19441,287119.71181039,14.76877279
1663534800000,2022-09-18 21:00:00,BTC/UST,19716,19724,19417,19461,750418.2405755101,38.56010691
1663531200000,2022-09-18 20:00:00,BTC/UST,19720,19746,19681,19727,26877.12492898,1.36245374
1663527600000,2022-09-18 19:00:00,BTC/UST,19643,19738,19595,19728,350442.24894,17.76369875
1663524000000,2022-09-18 18:00:00,BTC/UST,19633,19714,19573,19644,192807.23861591998,9.81507018
1663520400000,2022-09-18 17:00:00,BTC/UST,19742,19756,19620,19628,175258.92193544,8.92902598
1663516800000,2022-09-18 16:00:00,BTC/UST,19814,19877,19651,19740,283516.9602594,14.36256131
1663513200000,2022-09-18 15:00:00,BTC/UST,19802,19868,19783,19814,112042.02131951999,5.65468968
1663509600000,2022-09-18 14:00:00,BTC/UST,19965,19966,19723,19805,212054.31790710002,10.70711022
1663506000000,2022-09-18 13:00:00,BTC/UST,20004,20007,19949,19966,7506.191145219999,0.37594867
1663502400000,2022-09-18 12:00:00,BTC/UST,19931,20027,19864,19996,220189.62006664,11.01168334
1663498800000,2022-09-18 11:00:00,BTC/UST,19913,19943,19886,19925,20803.423114,1.04408648
1663495200000,2022-09-18 10:00:00,BTC/UST,19824,20031,19777,19905,19989.782361750003,1.00425935
1663491600000,2022-09-18 09:00:00,BTC/UST,20053,20069,19821,19832,115703.62077904,5.83418822
1663488000000,2022-09-18 08:00:00,BTC/UST,20052,20094,20033,20048,25309.24535664,1.26243243
1663484400000,2022-09-18 07:00:00,BTC/UST,20040,20081,20040,20052,19590.83327592,0.97700146
1663480800000,2022-09-18 06:00:00,BTC/UST,20071,20088,20039,20039,12413.038316,0.619444
1663477200000,2022-09-18 05:00:00,BTC/UST,20009,20078,20003,20072,3776.09738792,0.18812761
1663473600000,2022-09-18 04:00:00,BTC/UST,19994,20029,19963,20011,104687.68797777001,5.23150707
1663470000000,2022-09-18 03:00:00,BTC/UST,20028,20036,19946,19991,20412.672162100003,1.0210931
1663466400000,2022-09-18 02:00:00,BTC/UST,19997,20038,19996,20034,2784.02000184,0.13896476
1663462800000,2022-09-18 01:00:00,BTC/UST,19981,20049,19979,19995,3799.1419769999998,0.1900046
1663459200000,2022-09-18 00:00:00,BTC/UST,20120,20120,19963,19981,56445.163904090005,2.8249418900000003
1663455600000,2022-09-17 23:00:00,BTC/UST,20132,20138,20084,20119,214655.68894989998,10.6693021
