https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume VELO,Volume USDT
1663462800,2022-09-18 01:00:00,VELO/USDT,0.005901,0.005936,0.005893,0.005907,46068.421,272.1309076467
1663459200,2022-09-18 00:00:00,VELO/USDT,0.005928,0.006115,0.005866,0.005902,1234761.40377484,7326.64896379146354
1663455600,2022-09-17 23:00:00,VELO/USDT,0.005923,0.006074,0.005881,0.005915,1669327.49901867,9970.9475236990357
1663452000,2022-09-17 22:00:00,VELO/USDT,0.005867,0.006145,0.005857,0.005923,733936.12329183,4347.04192596611131
1663448400,2022-09-17 21:00:00,VELO/USDT,0.005888,0.006,0.005853,0.005876,438086.71362141,2584.70732905925506
1663444800,2022-09-17 20:00:00,VELO/USDT,0.005901,0.006359,0.005841,0.00589,1861679.22104001,11112.61210323640404
1663441200,2022-09-17 19:00:00,VELO/USDT,0.005975,0.006,0.00586,0.00586,1095255.52495227,6506.15005888268865
1663437600,2022-09-17 18:00:00,VELO/USDT,0.005984,0.006001,0.005968,0.005978,272040.90348561,1626.92308520767626
1663434000,2022-09-17 17:00:00,VELO/USDT,0.00601,0.006119,0.005983,0.005983,723432.55198662,4356.29849283027361
1663430400,2022-09-17 16:00:00,VELO/USDT,0.006024,0.006068,0.006,0.00601,771872.56751063,4639.85348861624265
1663426800,2022-09-17 15:00:00,VELO/USDT,0.006032,0.0061,0.005993,0.006019,376146.43097936,2267.36591222313807
1663423200,2022-09-17 14:00:00,VELO/USDT,0.005989,0.006158,0.005983,0.006056,508933.03973965,3091.74594776175483
1663419600,2022-09-17 13:00:00,VELO/USDT,0.005973,0.006037,0.005947,0.005995,348060.57470691,2084.73967806349296
1663416000,2022-09-17 12:00:00,VELO/USDT,0.00594,0.006041,0.005895,0.005984,1059433.91399491,6331.66349526809054
1663412400,2022-09-17 11:00:00,VELO/USDT,0.005951,0.006138,0.005878,0.005935,1702107.6680318,10120.20784726636736
1663408800,2022-09-17 10:00:00,VELO/USDT,0.005968,0.005999,0.005909,0.00592,643956.79488367,3829.93744728229448
1663405200,2022-09-17 09:00:00,VELO/USDT,0.005925,0.006137,0.005917,0.005963,423637.35097974,2541.72031217974181
1663401600,2022-09-17 08:00:00,VELO/USDT,0.005974,0.005985,0.005863,0.005927,689102.41099233,4080.1784316683192
1663398000,2022-09-17 07:00:00,VELO/USDT,0.006037,0.006095,0.005918,0.005973,1197902.17055459,7178.59955044008889
1663394400,2022-09-17 06:00:00,VELO/USDT,0.006095,0.006171,0.006006,0.006025,854150.53776933,5214.40740657295966
1663390800,2022-09-17 05:00:00,VELO/USDT,0.006141,0.00615,0.006053,0.006082,1515087.36392391,9233.74660012043354
1663387200,2022-09-17 04:00:00,VELO/USDT,0.006111,0.006183,0.006079,0.006152,992749.36507611,6092.6874307554049
1663383600,2022-09-17 03:00:00,VELO/USDT,0.006213,0.006265,0.006079,0.0061,926868.48533239,5705.48541120723577
