https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume APL,Volume BTC
1663459200,2022-09-18 00:00:00,APL/BTC,0.0000000398,0.0000000405,0.0000000398,0.0000000398,121609.314,0.00488681696913
1663372800,2022-09-17 00:00:00,APL/BTC,0.0000000428,0.0000000428,0.000000039,0.00000004,4485643.8686,0.18249057766141
1663286400,2022-09-16 00:00:00,APL/BTC,0.0000000436,0.000000044,0.0000000419,0.0000000428,3812545.1012,0.16302954135712
1663200000,2022-09-15 00:00:00,APL/BTC,0.000000043,0.0000000462,0.0000000425,0.0000000439,4676637.1518,0.20444322250588
1663113600,2022-09-14 00:00:00,APL/BTC,0.0000000429,0.0000000437,0.000000041,0.0000000433,5061369.8893,0.21401748737761
1663027200,2022-09-13 00:00:00,APL/BTC,0.0000000438,0.0000000453,0.0000000406,0.0000000429,7530440.548,0.32553559465777
1662940800,2022-09-12 00:00:00,APL/BTC,0.000000045,0.0000000457,0.0000000428,0.0000000438,6324023.2458,0.2775453221952
1662854400,2022-09-11 00:00:00,APL/BTC,0.0000000451,0.0000000461,0.0000000438,0.0000000446,12235502.4938,0.55486566171454
1662768000,2022-09-10 00:00:00,APL/BTC,0.0000000463,0.0000000473,0.000000041,0.000000045,27960235.7987,1.24628409202018
1662681600,2022-09-09 00:00:00,APL/BTC,0.0000000545,0.0000000558,0.000000046,0.0000000463,40621450.2219,2.03694400124269
1662595200,2022-09-08 00:00:00,APL/BTC,0.0000000546,0.0000000555,0.0000000491,0.0000000548,86259819.9271,4.50416047523565
1662508800,2022-09-07 00:00:00,APL/BTC,0.0000000579,0.0000000584,0.0000000527,0.0000000541,55615142.3388,3.0682624984887
1662422400,2022-09-06 00:00:00,APL/BTC,0.0000000561,0.0000000639,0.0000000552,0.0000000579,89569088.1796,5.12067786221374
1662336000,2022-09-05 00:00:00,APL/BTC,0.0000000503,0.0000000567,0.0000000501,0.0000000561,112440521.1086,5.89845697203576
