https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume TRU,Volume USDT
1663545600000.0,2022-09-19 00:00:00,TRU/USDT,0.056175,0.056425,0.055925,0.0561,904.2651515151516,50.729275
1663542000000.0,2022-09-18 23:00:00,TRU/USDT,0.05615,0.0566,0.05605,0.056175,6381.855362705829,358.500725
1663538400000.0,2022-09-18 22:00:00,TRU/USDT,0.05655,0.05655,0.055525,0.05615,2224.5280498664292,124.90725
1663534800000.0,2022-09-18 21:00:00,TRU/USDT,0.0585,0.0585,0.055875,0.05655,3820.6534040671972,216.05795
1663531200000.0,2022-09-18 20:00:00,TRU/USDT,0.0588,0.0588,0.058425,0.0585,35.03205128205128,2.049375
1663527600000.0,2022-09-18 19:00:00,TRU/USDT,0.0588,0.0589,0.0585,0.0588,385.7750850340136,22.683575
1663524000000.0,2022-09-18 18:00:00,TRU/USDT,0.058575,0.0591,0.058575,0.0588,245.32738095238096,14.42525
1663520400000.0,2022-09-18 17:00:00,TRU/USDT,0.05925,0.05925,0.058575,0.058575,569.674775928297,33.3687
1663516800000.0,2022-09-18 16:00:00,TRU/USDT,0.0614,0.0614,0.059125,0.05925,3554.9092827004224,210.628375
1663513200000.0,2022-09-18 15:00:00,TRU/USDT,0.059875,0.066,0.059875,0.0614,43152.832247557,2649.5839
1663509600000.0,2022-09-18 14:00:00,TRU/USDT,0.06025,0.06025,0.059275,0.059875,12374.090605427977,740.898675
1663506000000.0,2022-09-18 13:00:00,TRU/USDT,0.0601,0.06025,0.0601,0.06025,39.933609958506224,2.406
1663502400000.0,2022-09-18 12:00:00,TRU/USDT,0.06015,0.06015,0.059525,0.0601,4678.9517470881865,281.205
1663498800000.0,2022-09-18 11:00:00,TRU/USDT,0.05985,0.060375,0.05985,0.06015,75.11845386533665,4.518375
1663495200000.0,2022-09-18 10:00:00,TRU/USDT,0.06015,0.060675,0.05985,0.05985,3419.9135338345864,204.681825
1663491600000.0,2022-09-18 09:00:00,TRU/USDT,0.0607,0.0609,0.0601,0.06015,4137.895677472984,248.894425
1663488000000.0,2022-09-18 08:00:00,TRU/USDT,0.06105,0.06105,0.0607,0.0607,1003.1898682042834,60.893625
1663484400000.0,2022-09-18 07:00:00,TRU/USDT,0.0617,0.0618,0.06105,0.06105,8476.680589680589,517.50135
1663480800000.0,2022-09-18 06:00:00,TRU/USDT,0.061425,0.061825,0.061225,0.0617,22955.783630470018,1416.37185
1663477200000.0,2022-09-18 05:00:00,TRU/USDT,0.06135,0.061425,0.0612,0.061425,191.3272283272283,11.752275
1663473600000.0,2022-09-18 04:00:00,TRU/USDT,0.0615,0.0615,0.061325,0.06135,1652.8634881825592,101.403175
1663470000000.0,2022-09-18 03:00:00,TRU/USDT,0.06245,0.062525,0.0615,0.0615,1480.2243902439025,91.0338
1663466400000.0,2022-09-18 02:00:00,TRU/USDT,0.061275,0.06245,0.061275,0.06245,28914.395116092874,1805.703975
1663462800000.0,2022-09-18 01:00:00,TRU/USDT,0.060975,0.061275,0.0608,0.061275,661.5414116687066,40.53595
1663459200000.0,2022-09-18 00:00:00,TRU/USDT,0.061525,0.061525,0.060975,0.060975,3519.190651906519,214.58265
1663455600000.0,2022-09-17 23:00:00,TRU/USDT,0.061725,0.061725,0.0615,0.061525,3139.741974806989,193.172625
1663452000000.0,2022-09-17 22:00:00,TRU/USDT,0.0612,0.061725,0.0612,0.061725,403.31510733090323,24.894625
