https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume MXW,Volume USDT
1663459200,2022-09-18 00:00:00,MXW/USDT,0.004498,0.004498,0.004498,0.004498,11440.8,51.4607184
1663455600,2022-09-17 23:00:00,MXW/USDT,0.004498,0.004498,0.004498,0.004498,20297.3,91.2972554
1663452000,2022-09-17 22:00:00,MXW/USDT,0.004471,0.004498,0.004471,0.004498,6550.3,29.3266392
1663448400,2022-09-17 21:00:00,MXW/USDT,0.004407,0.004498,0.004407,0.004472,82713.4,370.3286376
1663444800,2022-09-17 20:00:00,MXW/USDT,0.004359,0.004407,0.004353,0.004407,452436.5,1976.2966659
1663441200,2022-09-17 19:00:00,MXW/USDT,0.00436,0.00436,0.004342,0.004342,1272.6,5.5340786
1663437600,2022-09-17 18:00:00,MXW/USDT,0.004327,0.004381,0.004327,0.004381,458000.7,2006.0872793
1663434000,2022-09-17 17:00:00,MXW/USDT,0.004327,0.004367,0.004327,0.004327,39097.3,169.4293548
1663430400,2022-09-17 16:00:00,MXW/USDT,0.004368,0.004379,0.00431,0.004327,145643.9,633.105629
1663426800,2022-09-17 15:00:00,MXW/USDT,0.004338,0.004367,0.004303,0.004367,114937.3,496.1844741
1663423200,2022-09-17 14:00:00,MXW/USDT,0.004343,0.004354,0.004325,0.004354,2929.5,12.682853
1663419600,2022-09-17 13:00:00,MXW/USDT,0.00437,0.00437,0.004325,0.004343,142022.8,615.1927344
1663416000,2022-09-17 12:00:00,MXW/USDT,0.004508,0.004508,0.004345,0.004389,128632.4,568.763521
1663412400,2022-09-17 11:00:00,MXW/USDT,0.004482,0.004514,0.004432,0.004514,55763.3,247.8781395
1663408800,2022-09-17 10:00:00,MXW/USDT,0.004485,0.004485,0.004485,0.004485,0,0
1663405200,2022-09-17 09:00:00,MXW/USDT,0.004485,0.004485,0.004485,0.004485,25687.9,115.2102315
1663401600,2022-09-17 08:00:00,MXW/USDT,0.004547,0.004547,0.004487,0.004488,144053,646.981935
1663398000,2022-09-17 07:00:00,MXW/USDT,0.004486,0.004594,0.004485,0.004549,283911.2,1279.6893448
1663394400,2022-09-17 06:00:00,MXW/USDT,0.004514,0.004544,0.004487,0.004487,30295.9,137.3652294
1663390800,2022-09-17 05:00:00,MXW/USDT,0.004503,0.00457,0.004486,0.004493,87951.2,400.7017479
1663387200,2022-09-17 04:00:00,MXW/USDT,0.004583,0.004583,0.004504,0.004508,30389877.5,137213.4796815
1663383600,2022-09-17 03:00:00,MXW/USDT,0.004514,0.004623,0.004481,0.004599,316576.4,1437.4721611
1663380000,2022-09-17 02:00:00,MXW/USDT,0.004553,0.004579,0.004498,0.004514,10854.5,49.3309679
1663376400,2022-09-17 01:00:00,MXW/USDT,0.004447,0.004575,0.004447,0.004575,120664,539.2439792
1663372800,2022-09-17 00:00:00,MXW/USDT,0.004434,0.004675,0.004434,0.004466,297229.4,1375.0527864
1663369200,2022-09-16 23:00:00,MXW/USDT,0.004525,0.004525,0.004402,0.004423,120862.6,541.8230163
1663365600,2022-09-16 22:00:00,MXW/USDT,0.004519,0.004519,0.004519,0.004519,0,0
1663362000,2022-09-16 21:00:00,MXW/USDT,0.004605,0.004616,0.004519,0.004519,10724,48.873856
1663358400,2022-09-16 20:00:00,MXW/USDT,0.004599,0.004698,0.004475,0.004627,218147.6,1000.5271973
1663354800,2022-09-16 19:00:00,MXW/USDT,0.004311,0.004699,0.004311,0.0046,610131.1,2806.6495212
1663351200,2022-09-16 18:00:00,MXW/USDT,0.004342,0.004351,0.004284,0.004309,86454.8,371.2347262
1663347600,2022-09-16 17:00:00,MXW/USDT,0.004801,0.004846,0.0043,0.004342,1617887.1,7193.3047646
1663344000,2022-09-16 16:00:00,MXW/USDT,0.004442,0.004846,0.004441,0.0048,742305.1,3511.0872658
1663340400,2022-09-16 15:00:00,MXW/USDT,0.004449,0.004466,0.004438,0.004439,83098.5,368.9722379
1663336800,2022-09-16 14:00:00,MXW/USDT,0.00442,0.004722,0.004415,0.004442,553521.1,2554.4313065
1663333200,2022-09-16 13:00:00,MXW/USDT,0.004537,0.004537,0.004417,0.00442,162995.9,722.7111149
1663329600,2022-09-16 12:00:00,MXW/USDT,0.004436,0.004691,0.004408,0.004548,430004.3,1969.6276623
1663326000,2022-09-16 11:00:00,MXW/USDT,0.004547,0.004772,0.004426,0.004439,1041231,4778.7295157
1663322400,2022-09-16 10:00:00,MXW/USDT,0.004176,0.004874,0.004176,0.004551,1947368.96311493,8834.67742403192186
1663318800,2022-09-16 09:00:00,MXW/USDT,0.004116,0.004212,0.004108,0.004157,119356.1,497.0315685
1663315200,2022-09-16 08:00:00,MXW/USDT,0.004131,0.004131,0.004126,0.004126,417,1.721566
1663311600,2022-09-16 07:00:00,MXW/USDT,0.004111,0.00415,0.004111,0.00415,3063,12.6526172
1663308000,2022-09-16 06:00:00,MXW/USDT,0.0041,0.0041,0.004094,0.004094,86774.3,355.31851
1663304400,2022-09-16 05:00:00,MXW/USDT,0.004146,0.004146,0.004087,0.004094,16292.4,66.780769
1663300800,2022-09-16 04:00:00,MXW/USDT,0.004146,0.004165,0.004146,0.00415,35061609.3,145556.95701
1663297200,2022-09-16 03:00:00,MXW/USDT,0.004071,0.004165,0.004071,0.004165,13217.1,54.5282846
1663293600,2022-09-16 02:00:00,MXW/USDT,0.004076,0.004077,0.004051,0.004066,25978.4,105.7637007
1663290000,2022-09-16 01:00:00,MXW/USDT,0.004071,0.004071,0.004071,0.004071,0,0
1663286400,2022-09-16 00:00:00,MXW/USDT,0.00405,0.004071,0.004036,0.004071,9581.7,38.712228
1663282800,2022-09-15 23:00:00,MXW/USDT,0.004251,0.004251,0.004044,0.004044,69331.1,284.5598836
1663279200,2022-09-15 22:00:00,MXW/USDT,0.004186,0.004276,0.004181,0.004276,7202.6,30.4833021
1663275600,2022-09-15 21:00:00,MXW/USDT,0.004192,0.004202,0.004192,0.004202,3500,14.696
1663272000,2022-09-15 20:00:00,MXW/USDT,0.004141,0.004399,0.004141,0.004201,299085.5,1274.9918196
1663268400,2022-09-15 19:00:00,MXW/USDT,0.004236,0.004236,0.004125,0.004125,47251.4,196.6692008
1663264800,2022-09-15 18:00:00,MXW/USDT,0.004231,0.004259,0.004212,0.004259,43296.5,183.8621329
1663261200,2022-09-15 17:00:00,MXW/USDT,0.004143,0.004247,0.004143,0.004231,111371.1,470.6858872
1663257600,2022-09-15 16:00:00,MXW/USDT,0.004044,0.004143,0.004009,0.004143,582352.8,2379.0124712
1663254000,2022-09-15 15:00:00,MXW/USDT,0.004131,0.004131,0.004041,0.004041,13270.5,53.9747052
1663250400,2022-09-15 14:00:00,MXW/USDT,0.004068,0.004149,0.004068,0.004149,12039.9,49.4818596
1663246800,2022-09-15 13:00:00,MXW/USDT,0.004155,0.004155,0.004027,0.004068,374673.2,1519.6156413
1663243200,2022-09-15 12:00:00,MXW/USDT,0.004111,0.004155,0.004111,0.004155,468749.9,1945.4085176
1663239600,2022-09-15 11:00:00,MXW/USDT,0.004101,0.004129,0.004101,0.004129,2111.6,8.6999984
1663236000,2022-09-15 10:00:00,MXW/USDT,0.004101,0.004108,0.004081,0.004081,962.2,3.9383496
1663232400,2022-09-15 09:00:00,MXW/USDT,0.004093,0.004111,0.004081,0.004101,80095.4,327.2241809
1663228800,2022-09-15 08:00:00,MXW/USDT,0.004186,0.004186,0.004086,0.004086,268703.8,1101.1283964
1663225200,2022-09-15 07:00:00,MXW/USDT,0.004111,0.004186,0.004086,0.004177,4045812.6,16897.1248125
1663221600,2022-09-15 06:00:00,MXW/USDT,0.004126,0.00413,0.004095,0.004111,64389.2,264.6984651
1663218000,2022-09-15 05:00:00,MXW/USDT,0.004126,0.004131,0.004126,0.004127,25091.6,103.5748763
1663214400,2022-09-15 04:00:00,MXW/USDT,0.004163,0.004163,0.004107,0.00412,32325036.8,133179.8102088
1663210800,2022-09-15 03:00:00,MXW/USDT,0.004167,0.00418,0.004165,0.004165,149659.5,623.6433399
1663207200,2022-09-15 02:00:00,MXW/USDT,0.004238,0.004238,0.004165,0.004165,9065.1,38.0322625
1663203600,2022-09-15 01:00:00,MXW/USDT,0.004246,0.004246,0.004238,0.004239,751.9,3.1881771
1663200000,2022-09-15 00:00:00,MXW/USDT,0.004247,0.004247,0.004247,0.004247,4289.4,18.2170818
1663196400,2022-09-14 23:00:00,MXW/USDT,0.004262,0.004262,0.004262,0.004262,5912.7,25.1999274
1663192800,2022-09-14 22:00:00,MXW/USDT,0.00428,0.00428,0.004187,0.004264,114718.7,483.6452618
1663189200,2022-09-14 21:00:00,MXW/USDT,0.004176,0.00428,0.004176,0.00428,824380.7,3525.6630859
1663185600,2022-09-14 20:00:00,MXW/USDT,0.00412,0.004183,0.00412,0.004161,715774.2,2978.1189105
1663182000,2022-09-14 19:00:00,MXW/USDT,0.004099,0.004119,0.004,0.004119,673051,2755.4817572
1663178400,2022-09-14 18:00:00,MXW/USDT,0.004222,0.004222,0.004,0.0041,1243759.2,5003.8283014
1663174800,2022-09-14 17:00:00,MXW/USDT,0.004306,0.004306,0.004147,0.004241,1014113.6,4235.9133164
1663171200,2022-09-14 16:00:00,MXW/USDT,0.004359,0.004397,0.004306,0.004306,339974.5,1470.3242921
1663167600,2022-09-14 15:00:00,MXW/USDT,0.004519,0.004519,0.00434,0.00434,68234.4,301.1204702
1663164000,2022-09-14 14:00:00,MXW/USDT,0.004466,0.004547,0.004466,0.004522,258042.1,1170.5485771
1663160400,2022-09-14 13:00:00,MXW/USDT,0.00473,0.00473,0.004334,0.004446,1480489.4,6598.0760019
1663156800,2022-09-14 12:00:00,MXW/USDT,0.004735,0.004774,0.004701,0.00473,11936.1,56.5792225
