https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USDC,Volume EUR
1663545600,2022-09-19 00:00:00,USDC/EUR,0.99768,0.99768,0.99768,0.99768,225.72000,225.1963296
1663459200,2022-09-18 00:00:00,USDC/EUR,0.99894,0.99914,0.99817,0.99838,252727.37041,252317.95206993583
1663372800,2022-09-17 00:00:00,USDC/EUR,0.99838,0.99920,0.99828,0.99874,230524.23569,230233.77515303058
1663286400,2022-09-16 00:00:00,USDC/EUR,1.00087,1.00464,0.99684,0.99867,663421.82724,662539.4762097708
1663200000,2022-09-15 00:00:00,USDC/EUR,1.00192,1.00412,0.99831,1.00088,245396.97066,245612.9199941808
1663113600,2022-09-14 00:00:00,USDC/EUR,1.00213,1.00380,0.99744,1.00108,808640.15714,809513.4885097112
1663027200,2022-09-13 00:00:00,USDC/EUR,0.98724,1.00427,0.97716,1.00228,2187006.50028,2191992.8751006383
1662940800,2022-09-12 00:00:00,USDC/EUR,0.99243,0.99291,0.98090,0.98762,1515839.28472,1497073.1943751667
1662854400,2022-09-11 00:00:00,USDC/EUR,0.99407,0.99472,0.98989,0.99262,485699.78044,482115.3160603528
1662768000,2022-09-10 00:00:00,USDC/EUR,0.99486,0.99486,0.99394,0.99409,109450.51322,108803.6606868698
1662681600,2022-09-09 00:00:00,USDC/EUR,0.99690,0.99692,0.98663,0.99471,1876957.02512,1867027.922457115
1662595200,2022-09-08 00:00:00,USDC/EUR,1.00039,1.00590,0.99731,0.99914,1298357.72318,1297241.135538065
1662508800,2022-09-07 00:00:00,USDC/EUR,1.01023,1.01224,0.99800,1.00052,430975.65904,431199.7663827008
1662422400,2022-09-06 00:00:00,USDC/EUR,1.00443,1.01299,1.00138,1.01059,837562.78876,846432.5786929685
1662336000,2022-09-05 00:00:00,USDC/EUR,1.00875,1.01166,1.00160,1.00491,371159.59438,372981.9879884058
1662249600,2022-09-04 00:00:00,USDC/EUR,1.00450,1.00894,1.00410,1.00852,755029.64305,761462.495608786
1662163200,2022-09-03 00:00:00,USDC/EUR,1.00384,1.00475,0.98804,1.00442,1446784.98317,1453179.7727956115
1662076800,2022-09-02 00:00:00,USDC/EUR,1.00357,1.00516,0.99638,1.00439,655158.44753,658034.5931146566
