https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume EUR,Volume USD
1663545600,2022-09-19 00:00:00,EUR/USD,1.00205,1.00205,1.00172,1.00172,62.94497,63.053235348399994
1663459200,2022-09-18 00:00:00,EUR/USD,1.00114,1.00249,1.00039,1.00194,289458.21015,290019.759077691
1663372800,2022-09-17 00:00:00,EUR/USD,1.00139,1.00162,1.00076,1.00122,233865.56579,234150.8817802638
1663286400,2022-09-16 00:00:00,EUR/USD,0.99882,1.00317,0.99501,1.00162,740960.88524,742161.2418740888
1663200000,2022-09-15 00:00:00,EUR/USD,0.99776,1.00168,0.99586,0.99869,1075709.06111,1074299.8822399457
1663113600,2022-09-14 00:00:00,EUR/USD,0.99800,1.00257,0.99620,0.99825,1507093.54160,1504456.1279022
1663027200,2022-09-13 00:00:00,EUR/USD,1.01301,1.01892,0.99580,0.99732,3651615.34030,3641829.011187996
1662940800,2022-09-12 00:00:00,EUR/USD,1.00747,1.01979,1.00662,1.01267,1506475.58682,1525562.6325050094
1662854400,2022-09-11 00:00:00,EUR/USD,1.00571,1.01015,1.00522,1.00752,978372.21667,985729.5757393583
1662768000,2022-09-10 00:00:00,EUR/USD,1.00531,1.00610,1.00512,1.00596,380084.65378,382349.95831652876
1662681600,2022-09-09 00:00:00,EUR/USD,1.00079,1.01120,1.00079,1.00538,2262795.68770,2274969.528499826
1662595200,2022-09-08 00:00:00,EUR/USD,0.99982,1.00247,0.99381,1.00080,1280841.51093,1281866.184138744
1662508800,2022-09-07 00:00:00,EUR/USD,0.98946,1.00126,0.98804,1.00061,461767.79519,462049.47354506585
1662422400,2022-09-06 00:00:00,EUR/USD,0.99534,0.99882,0.98716,0.98968,841974.97232,833285.7906056575
1662336000,2022-09-05 00:00:00,EUR/USD,0.99202,0.99509,0.98814,0.99509,409812.65756,407800.47741138045
1662249600,2022-09-04 00:00:00,EUR/USD,0.99533,0.99608,0.99089,0.99105,512523.32351,507936.2397645855
1662163200,2022-09-03 00:00:00,EUR/USD,0.99544,0.99629,0.99482,0.99598,178886.92425,178167.798814515
1662076800,2022-09-02 00:00:00,EUR/USD,0.99676,1.00340,0.99452,0.99598,399915.40087,398307.7409585026
1661990400,2022-09-01 00:00:00,EUR/USD,1.00282,1.00410,0.99201,0.99525,306582.74440,305126.4763641
1661904000,2022-08-31 00:00:00,EUR/USD,1.00251,1.00717,0.99764,1.00375,227301.60543,228153.98645036248
1661817600,2022-08-30 00:00:00,EUR/USD,1.00068,1.00575,0.99827,1.00216,322304.29363,323000.47090424073
1661731200,2022-08-29 00:00:00,EUR/USD,0.99384,1.00282,0.99150,1.00005,390979.49394,390999.042914697
1661644800,2022-08-28 00:00:00,EUR/USD,0.99555,0.99649,0.99376,0.99386,163842.75099,162836.7564989214
1661558400,2022-08-27 00:00:00,EUR/USD,0.99611,0.99675,0.99462,0.99555,106982.73539,106506.6622175145
1661472000,2022-08-26 00:00:00,EUR/USD,0.99789,1.00825,0.99547,0.99619,601687.71460,599395.284407374
1661385600,2022-08-25 00:00:00,EUR/USD,0.99642,1.00304,0.99536,0.99710,281750.72986,280933.652743406
1661299200,2022-08-24 00:00:00,EUR/USD,0.99704,0.99978,0.99155,0.99742,657050.66016,655355.4694567871
1661212800,2022-08-23 00:00:00,EUR/USD,0.99400,1.00111,0.98700,0.99638,676637.60379,674188.1756642802
1661126400,2022-08-22 00:00:00,EUR/USD,1.00264,1.00451,0.99268,0.99433,711757.25109,707721.5874763197
1661040000,2022-08-21 00:00:00,EUR/USD,1.00348,1.00401,1.00246,1.00355,292012.17585,293048.81907426746
