https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume FSN,Volume USDT
1663459200,2022-09-18 00:00:00,FSN/USDT,0.1988,0.1995,0.1986,0.1993,39514.1213,7863.63991202
1663372800,2022-09-17 00:00:00,FSN/USDT,0.19,0.2117,0.1841,0.1987,939593.0627,181840.49049274
1663286400,2022-09-16 00:00:00,FSN/USDT,0.1859,0.1918,0.184,0.19,869886.0437,164601.95609673
1663200000,2022-09-15 00:00:00,FSN/USDT,0.1914,0.1962,0.1839,0.1859,742749.5963,140955.17417035
1663113600,2022-09-14 00:00:00,FSN/USDT,0.1985,0.2003,0.1902,0.1915,881848.2109,174262.06879787
1663027200,2022-09-13 00:00:00,FSN/USDT,0.2085,0.209,0.1974,0.1994,906239.2899,184431.03531132
1662940800,2022-09-12 00:00:00,FSN/USDT,0.2042,0.223,0.2013,0.2085,857559.9357,175707.20280629
1662854400,2022-09-11 00:00:00,FSN/USDT,0.2003,0.2092,0.1968,0.2042,892411.4514,180698.589304
1662768000,2022-09-10 00:00:00,FSN/USDT,0.1954,0.2081,0.1907,0.2004,836616.8852,167838.08076754
1662681600,2022-09-09 00:00:00,FSN/USDT,0.2013,0.21,0.1901,0.1954,846399.7501,171535.26018344
1662595200,2022-09-08 00:00:00,FSN/USDT,0.1931,0.2026,0.1931,0.2013,879008.1376,173199.57672741
1662508800,2022-09-07 00:00:00,FSN/USDT,0.1877,0.2021,0.1808,0.1932,139490.6412,26496.15549538
1662422400,2022-09-06 00:00:00,FSN/USDT,0.1946,0.1958,0.1865,0.1878,384290.0612,73516.69567942
1662336000,2022-09-05 00:00:00,FSN/USDT,0.204,0.2099,0.193,0.1945,394151.9878,79672.32810816
1662249600,2022-09-04 00:00:00,FSN/USDT,0.2061,0.2095,0.2006,0.2041,254910.3489,52261.46077481
1662163200,2022-09-03 00:00:00,FSN/USDT,0.2085,0.2095,0.2044,0.206,379153.525,78940.28591067
1662076800,2022-09-02 00:00:00,FSN/USDT,0.2082,0.2192,0.2068,0.2084,399681.5788,83714.12449803
1661990400,2022-09-01 00:00:00,FSN/USDT,0.2105,0.2161,0.2055,0.2081,392692.151,81790.86770378
1661904000,2022-08-31 00:00:00,FSN/USDT,0.2055,0.2246,0.203,0.2104,392911.9841,82911.42745438
1661817600,2022-08-30 00:00:00,FSN/USDT,0.2139,0.2214,0.201,0.2056,637167.9116,134300.0987526
1661731200,2022-08-29 00:00:00,FSN/USDT,0.211,0.2158,0.2098,0.2138,490051.1213,104452.70290684
1661644800,2022-08-28 00:00:00,FSN/USDT,0.2241,0.226,0.2084,0.2116,420581.1611,90675.0840548
1661558400,2022-08-27 00:00:00,FSN/USDT,0.2309,0.2328,0.2195,0.2241,746379.739,171692.57886034
1661472000,2022-08-26 00:00:00,FSN/USDT,0.2351,0.2356,0.2301,0.2309,1209637.2687,281724.4322703
1661385600,2022-08-25 00:00:00,FSN/USDT,0.2346,0.2374,0.2251,0.2352,1150964.8808,270422.36267212
1661299200,2022-08-24 00:00:00,FSN/USDT,0.2384,0.2409,0.2329,0.2346,1208971.1843,285650.93385831
1661212800,2022-08-23 00:00:00,FSN/USDT,0.2293,0.2416,0.2262,0.2383,1156966.1185,269546.57922796
1661126400,2022-08-22 00:00:00,FSN/USDT,0.2395,0.2413,0.2268,0.2294,1144069.1297,268057.2485479
1661040000,2022-08-21 00:00:00,FSN/USDT,0.2333,0.2474,0.23,0.2395,1210218.0489,289453.12318541
1660953600,2022-08-20 00:00:00,FSN/USDT,0.2291,0.2437,0.2271,0.2335,1137234.8332,268683.69579118
1660867200,2022-08-19 00:00:00,FSN/USDT,0.2493,0.2493,0.2246,0.229,547872.9741,129919.50637919
1660780800,2022-08-18 00:00:00,FSN/USDT,0.2451,0.2553,0.2395,0.2492,792692.3605,197679.60082351
1660694400,2022-08-17 00:00:00,FSN/USDT,0.2573,0.2706,0.2434,0.2448,832307.3579,214262.5548334
1660608000,2022-08-16 00:00:00,FSN/USDT,0.2713,0.2763,0.2563,0.2572,609408.2953,163344.76337201
1660521600,2022-08-15 00:00:00,FSN/USDT,0.2722,0.275,0.2682,0.2713,1009871.0613,274212.09316906
1660435200,2022-08-14 00:00:00,FSN/USDT,0.2908,0.292,0.2716,0.2722,749155.2523,211221.59408792
1660348800,2022-08-13 00:00:00,FSN/USDT,0.2934,0.3013,0.2847,0.2909,1128439.5098,329429.09737502
1660262400,2022-08-12 00:00:00,FSN/USDT,0.2951,0.3036,0.2889,0.2934,1137573.7507,336270.1893294
1660176000,2022-08-11 00:00:00,FSN/USDT,0.2982,0.3065,0.2934,0.2951,1074195.591,321626.12267427
1660089600,2022-08-10 00:00:00,FSN/USDT,0.2789,0.32,0.2737,0.2983,1106989.2127,319296.90674584
1660003200,2022-08-09 00:00:00,FSN/USDT,0.2901,0.2934,0.2687,0.2789,1131853.3247,315730.59902893
1659916800,2022-08-08 00:00:00,FSN/USDT,0.2736,0.2992,0.2717,0.2903,1068498.4688,302287.77121254
1659830400,2022-08-07 00:00:00,FSN/USDT,0.2947,0.2956,0.27,0.2735,1143666.1875,325056.47460078
1659744000,2022-08-06 00:00:00,FSN/USDT,0.2704,0.3305,0.2688,0.2947,1219626.7737,347021.35801482
1659657600,2022-08-05 00:00:00,FSN/USDT,0.2599,0.2795,0.2588,0.2704,1074165.4446,284604.86778235
1659571200,2022-08-04 00:00:00,FSN/USDT,0.2572,0.281,0.255,0.26,1108370.213,291497.43662054
1659484800,2022-08-03 00:00:00,FSN/USDT,0.2557,0.2648,0.2487,0.2571,1132155.513,290819.41735914
1659398400,2022-08-02 00:00:00,FSN/USDT,0.2387,0.316,0.2373,0.2559,1248923.71905375,310400.4570449405
1659312000,2022-08-01 00:00:00,FSN/USDT,0.2431,0.2497,0.236,0.2387,1119221.7124,270266.21222715
1659225600,2022-07-31 00:00:00,FSN/USDT,0.2492,0.2623,0.2427,0.2432,1225770.7391,305881.6394556
1659139200,2022-07-30 00:00:00,FSN/USDT,0.2326,0.2546,0.2251,0.2492,1269704.4806,299002.34368974
1659052800,2022-07-29 00:00:00,FSN/USDT,0.2444,0.25,0.2273,0.2326,1168206.1299,275900.25762263
1658966400,2022-07-28 00:00:00,FSN/USDT,0.2487,0.2762,0.2379,0.2443,1269007.78539345,314410.18401839089
1658880000,2022-07-27 00:00:00,FSN/USDT,0.2283,0.2537,0.2268,0.2487,1231925.441,289120.62918697
1658793600,2022-07-26 00:00:00,FSN/USDT,0.2301,0.2301,0.2213,0.2283,1239276.133,280711.06219522
1658707200,2022-07-25 00:00:00,FSN/USDT,0.2361,0.2375,0.2285,0.2289,1308689.337,303435.38604681
1658620800,2022-07-24 00:00:00,FSN/USDT,0.2306,0.25,0.2295,0.2361,1283605.7365,299847.56256945
1658534400,2022-07-23 00:00:00,FSN/USDT,0.2355,0.2445,0.227,0.2305,1266602.7583,295511.98221465
1658448000,2022-07-22 00:00:00,FSN/USDT,0.245,0.2488,0.2326,0.2353,1132349.1029,272888.96457193
1658361600,2022-07-21 00:00:00,FSN/USDT,0.2463,0.266,0.2317,0.245,89255.8252058,21357.83922709104
1658275200,2022-07-20 00:00:00,FSN/USDT,0.248,0.2553,0.2423,0.245,24034.54900892,5978.772670476338
1658188800,2022-07-19 00:00:00,FSN/USDT,0.2487,0.2588,0.2438,0.2508,481509.86088588,120956.995452185256
1658102400,2022-07-18 00:00:00,FSN/USDT,0.241,0.2767,0.2348,0.2485,1386653.92525178,341741.785978293708
1658016000,2022-07-17 00:00:00,FSN/USDT,0.227,0.2587,0.2267,0.2411,1165129.6306127,278120.987106125318
1657929600,2022-07-16 00:00:00,FSN/USDT,0.2267,0.235,0.2135,0.227,1285174.24920672,289697.931491818093
1657843200,2022-07-15 00:00:00,FSN/USDT,0.2288,0.2489,0.2165,0.2268,1356083.6337495,312944.605351780725
1657756800,2022-07-14 00:00:00,FSN/USDT,0.2149,0.2382,0.2134,0.2287,1231204.58011549,273711.6127890144
1657670400,2022-07-13 00:00:00,FSN/USDT,0.2123,0.2183,0.208,0.215,1239796.63794044,264643.731235297008
1657584000,2022-07-12 00:00:00,FSN/USDT,0.2275,0.233,0.2059,0.212,1184802.99508805,263255.8548527172
1657497600,2022-07-11 00:00:00,FSN/USDT,0.2383,0.2492,0.2247,0.2274,1239784.57452902,293979.377931164922
1657411200,2022-07-10 00:00:00,FSN/USDT,0.2274,0.2531,0.2254,0.2384,1268517.8404473,294279.736348960422
1657324800,2022-07-09 00:00:00,FSN/USDT,0.2361,0.2363,0.2236,0.2274,1223975.34644254,281163.404880125464
