https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ETH,Volume USD
1663545600000.0,2022-09-19 00:00:00,ETH/USD,1334.8,1342.6,1331.3,1340.7,11810.812182814947,15834755.8935
1663542000000.0,2022-09-18 23:00:00,ETH/USD,1340.7,1355.2,1329.8,1334.6,21478.785283530648,28665586.8394
1663538400000.0,2022-09-18 22:00:00,ETH/USD,1333.3,1342.6,1326.6,1340.7,34965.53355657492,46878290.8393
1663534800000.0,2022-09-18 21:00:00,ETH/USD,1371.5,1372.0,1325.5,1333.4,62792.05296332682,83726923.4213
1663531200000.0,2022-09-18 20:00:00,ETH/USD,1380.8,1381.6,1367.0,1371.5,12780.765932263947,17528820.4761
1663527600000.0,2022-09-18 19:00:00,ETH/USD,1374.1,1387.1,1368.3,1380.8,10575.500230953072,14602650.7189
1663524000000.0,2022-09-18 18:00:00,ETH/USD,1377.3,1386.9,1366.8,1374.1,26801.106362200717,36827400.2523
1663520400000.0,2022-09-18 17:00:00,ETH/USD,1396.2,1397.7,1372.3,1377.3,25476.65257627242,35088993.5933
1663516800000.0,2022-09-18 16:00:00,ETH/USD,1416.8,1424.1,1381.7,1396.2,45663.90843066896,63755948.9509
1663513200000.0,2022-09-18 15:00:00,ETH/USD,1420.0,1425.9,1412.0,1416.8,13211.08318217109,18717462.6525
1663509600000.0,2022-09-18 14:00:00,ETH/USD,1434.8,1435.3,1407.7,1420.0,26687.132445140844,37895728.0721
1663506000000.0,2022-09-18 13:00:00,ETH/USD,1437.8,1438.8,1431.3,1434.8,5035.246611235016,7224571.8378
1663502400000.0,2022-09-18 12:00:00,ETH/USD,1433.6,1439.4,1425.7,1437.8,8828.29308603422,12693319.7991
1663498800000.0,2022-09-18 11:00:00,ETH/USD,1431.4,1435.0,1430.2,1433.6,5856.90562639509,8396459.906
1663495200000.0,2022-09-18 10:00:00,ETH/USD,1423.7,1443.4,1417.0,1431.4,20251.608167039263,28988151.9303
1663491600000.0,2022-09-18 09:00:00,ETH/USD,1455.2,1458.1,1422.7,1423.7,20104.780828264382,28623176.4652
1663488000000.0,2022-09-18 08:00:00,ETH/USD,1453.4,1459.1,1452.2,1455.1,3913.297842003986,5694239.6899
1663484400000.0,2022-09-18 07:00:00,ETH/USD,1454.2,1457.2,1452.3,1453.4,3296.2697791385717,4790798.497
1663480800000.0,2022-09-18 06:00:00,ETH/USD,1457.8,1459.3,1450.5,1454.2,4986.995724109476,7252089.182
1663477200000.0,2022-09-18 05:00:00,ETH/USD,1453.1,1459.9,1451.9,1457.8,4995.095264096584,7281849.876
1663473600000.0,2022-09-18 04:00:00,ETH/USD,1451.6,1456.4,1448.5,1453.1,4603.730652260684,6689681.0108
1663470000000.0,2022-09-18 03:00:00,ETH/USD,1455.2,1455.8,1446.1,1451.6,3708.706954326261,5383559.0149
1663466400000.0,2022-09-18 02:00:00,ETH/USD,1451.9,1456.5,1451.1,1455.2,3598.281312946674,5236218.9666
1663462800000.0,2022-09-18 01:00:00,ETH/USD,1451.3,1457.1,1449.9,1451.9,6126.566416006612,8895161.7794
1663459200000.0,2022-09-18 00:00:00,ETH/USD,1469.3,1469.8,1448.8,1451.3,12259.408985874734,17792080.2612
1663455600000.0,2022-09-17 23:00:00,ETH/USD,1465.2,1473.2,1461.8,1469.3,6501.980692846934,9553360.232
1663452000000.0,2022-09-17 22:00:00,ETH/USD,1452.4,1467.2,1450.4,1465.2,9021.246604968605,13217930.5256
1663448400000.0,2022-09-17 21:00:00,ETH/USD,1462.4,1463.0,1446.2,1452.4,5854.859968259433,8503598.6179
1663444800000.0,2022-09-17 20:00:00,ETH/USD,1464.5,1468.3,1461.0,1462.4,3964.6319115836973,5797877.7075
1663441200000.0,2022-09-17 19:00:00,ETH/USD,1468.0,1468.8,1457.8,1464.5,6820.249614817344,9988255.5609
1663437600000.0,2022-09-17 18:00:00,ETH/USD,1470.5,1475.8,1465.5,1468.0,6017.593624182562,8833827.4403
1663434000000.0,2022-09-17 17:00:00,ETH/USD,1466.4,1475.4,1462.9,1470.5,9254.694720095205,13609028.5859
1663430400000.0,2022-09-17 16:00:00,ETH/USD,1444.3,1469.5,1442.5,1466.4,19486.897316693943,28575586.2252
1663426800000.0,2022-09-17 15:00:00,ETH/USD,1445.2,1450.7,1436.9,1444.3,8914.622907498442,12875389.8653
1663423200000.0,2022-09-17 14:00:00,ETH/USD,1422.6,1445.2,1422.0,1445.2,10908.773936064212,15765360.0924
1663419600000.0,2022-09-17 13:00:00,ETH/USD,1424.7,1427.0,1419.3,1422.6,6066.772041051596,8630589.9056
1663416000000.0,2022-09-17 12:00:00,ETH/USD,1419.7,1427.7,1409.0,1424.7,14535.90357373482,20709301.8215
1663412400000.0,2022-09-17 11:00:00,ETH/USD,1426.6,1427.6,1418.9,1419.7,6733.162876241459,9559071.3354
1663408800000.0,2022-09-17 10:00:00,ETH/USD,1431.9,1433.0,1416.5,1426.6,8256.247083625403,11778362.0895
