https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume PRQ,Volume USDT
1663459200,2022-09-18 00:00:00,PRQ/USDT,0.1157,0.1165,0.1154,0.1165,3031.5889,352.24538066
1663372800,2022-09-17 00:00:00,PRQ/USDT,0.1116,0.1283,0.11,0.1158,605266.1462,71682.36355049
1663286400,2022-09-16 00:00:00,PRQ/USDT,0.1179,0.1237,0.1079,0.1124,830357.436,95397.46272787
1663200000,2022-09-15 00:00:00,PRQ/USDT,0.1408,0.1557,0.1153,0.118,2110716.3797,279863.78101757
1663113600,2022-09-14 00:00:00,PRQ/USDT,0.1103,0.1447,0.1066,0.1408,1679969.88151819,214700.75958507841
1663027200,2022-09-13 00:00:00,PRQ/USDT,0.1211,0.1225,0.1079,0.1103,424728.9848,47980.11675203
1662940800,2022-09-12 00:00:00,PRQ/USDT,0.1232,0.1259,0.1156,0.1214,321443.3161,38480.40407161
1662854400,2022-09-11 00:00:00,PRQ/USDT,0.1165,0.1464,0.1165,0.1223,656750.3306,84716.97126762
1662768000,2022-09-10 00:00:00,PRQ/USDT,0.1132,0.121,0.1112,0.1166,255828.3972,29748.80694868
1662681600,2022-09-09 00:00:00,PRQ/USDT,0.1114,0.1228,0.1106,0.1121,541358.3231,62644.72065617
1662595200,2022-09-08 00:00:00,PRQ/USDT,0.1074,0.1162,0.1071,0.1104,663302.8086,74838.9353252
1662508800,2022-09-07 00:00:00,PRQ/USDT,0.1059,0.1142,0.1037,0.1075,402999.779,43761.1802536
1662422400,2022-09-06 00:00:00,PRQ/USDT,0.1129,0.1165,0.1047,0.1059,342060.842,37627.17836568
1662336000,2022-09-05 00:00:00,PRQ/USDT,0.1126,0.1152,0.1075,0.1129,318907.9751,35758.12362088
1662249600,2022-09-04 00:00:00,PRQ/USDT,0.1136,0.1165,0.1059,0.1135,228673.9972,25506.66166742
1662163200,2022-09-03 00:00:00,PRQ/USDT,0.1122,0.1154,0.1094,0.1135,279708.1987,31336.60419599
1662076800,2022-09-02 00:00:00,PRQ/USDT,0.1117,0.1172,0.1111,0.1119,244945.2244,27904.09440055
1661990400,2022-09-01 00:00:00,PRQ/USDT,0.119,0.1192,0.1103,0.112,137210.5563,15588.63768333
1661904000,2022-08-31 00:00:00,PRQ/USDT,0.1159,0.1207,0.115,0.1192,138037.9695,16294.69679584
1661817600,2022-08-30 00:00:00,PRQ/USDT,0.1175,0.1219,0.102,0.116,589882.5817,67010.17609844
1661731200,2022-08-29 00:00:00,PRQ/USDT,0.112,0.1416,0.1105,0.1175,774457.6447,96754.64376916
1661644800,2022-08-28 00:00:00,PRQ/USDT,0.1172,0.1189,0.1101,0.1123,273537.2223,31644.29105266
1661558400,2022-08-27 00:00:00,PRQ/USDT,0.1192,0.1223,0.112,0.1178,518021.935,61080.6239955
1661472000,2022-08-26 00:00:00,PRQ/USDT,0.1325,0.1325,0.1181,0.1203,814925.4535,100196.69974879
1661385600,2022-08-25 00:00:00,PRQ/USDT,0.1309,0.1411,0.1258,0.1325,670836.7739,88912.1514145
1661299200,2022-08-24 00:00:00,PRQ/USDT,0.1296,0.1322,0.125,0.1313,159645.2454,20691.89371537
1661212800,2022-08-23 00:00:00,PRQ/USDT,0.1306,0.1339,0.1269,0.1296,375920.8869,49001.59411985
1661126400,2022-08-22 00:00:00,PRQ/USDT,0.1318,0.1445,0.1287,0.1306,983010.1411,133372.32147792
1661040000,2022-08-21 00:00:00,PRQ/USDT,0.1217,0.1776,0.1184,0.1318,3130165.1102,467484.29446241
1660953600,2022-08-20 00:00:00,PRQ/USDT,0.1201,0.1262,0.1161,0.1227,186562.6445,22549.14054211
1660867200,2022-08-19 00:00:00,PRQ/USDT,0.1334,0.1339,0.1169,0.1201,607387.7941,75664.64789046
1660780800,2022-08-18 00:00:00,PRQ/USDT,0.1378,0.1418,0.1334,0.1334,223548.7239,30800.83720725
1660694400,2022-08-17 00:00:00,PRQ/USDT,0.147,0.1491,0.1341,0.1376,498845.408,70049.676746
1660608000,2022-08-16 00:00:00,PRQ/USDT,0.1465,0.1483,0.1441,0.146,93873.5388,13765.22304105
1660521600,2022-08-15 00:00:00,PRQ/USDT,0.1482,0.1519,0.145,0.1459,235885.7474,34995.78302426
1660435200,2022-08-14 00:00:00,PRQ/USDT,0.1531,0.1565,0.1454,0.1483,414959.5904,62719.79742503
1660348800,2022-08-13 00:00:00,PRQ/USDT,0.1556,0.1595,0.1501,0.1531,286153.1573,44302.52203389
1660262400,2022-08-12 00:00:00,PRQ/USDT,0.1498,0.1568,0.149,0.1552,190814.6975,29103.93691998
1660176000,2022-08-11 00:00:00,PRQ/USDT,0.1589,0.1768,0.1467,0.1496,951747.8542,153087.79449127
1660089600,2022-08-10 00:00:00,PRQ/USDT,0.1467,0.1609,0.1433,0.1589,486085.2132,73686.25704962
1660003200,2022-08-09 00:00:00,PRQ/USDT,0.1566,0.1589,0.1453,0.148,748764.915,112241.95056236
1659916800,2022-08-08 00:00:00,PRQ/USDT,0.1524,0.16,0.1447,0.157,832987.78,128365.54678631
1659830400,2022-08-07 00:00:00,PRQ/USDT,0.1531,0.1543,0.1364,0.151,1478144.8222,216963.90904408
1659744000,2022-08-06 00:00:00,PRQ/USDT,0.1569,0.1634,0.1511,0.153,537643.3252,84285.44791042
1659657600,2022-08-05 00:00:00,PRQ/USDT,0.1586,0.166,0.1535,0.1569,593681.4272,93975.48914743
