https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume HT,Volume USDT
1663462800,2022-09-18 01:00:00,HT/USDT,4.6086,4.6086,4.6086,4.6086,9.9596,45.89981256
1663459200,2022-09-18 00:00:00,HT/USDT,4.6143,4.6143,4.6142,4.6142,60.9076,281.03986294
1663455600,2022-09-17 23:00:00,HT/USDT,4.619,4.6224,4.619,4.6224,0.5466,2.52619856
1663452000,2022-09-17 22:00:00,HT/USDT,4.6106,4.6231,4.6106,4.6231,4.1494,19.15837989
1663448400,2022-09-17 21:00:00,HT/USDT,4.6094,4.6094,4.6017,4.6029,9.4033,43.28298266
1663444800,2022-09-17 20:00:00,HT/USDT,4.6115,4.6181,4.6115,4.6181,5.5976,25.81449664
1663441200,2022-09-17 19:00:00,HT/USDT,4.5957,4.6027,4.5909,4.599,250.0629,1148.3635908
1663437600,2022-09-17 18:00:00,HT/USDT,4.6087,4.624,4.6087,4.624,16.9607,78.27170225
1663434000,2022-09-17 17:00:00,HT/USDT,4.6131,4.6256,4.6079,4.62,22.9677,105.99068635
1663430400,2022-09-17 16:00:00,HT/USDT,4.6182,4.6254,4.6182,4.6254,1.2454,5.75849748
1663426800,2022-09-17 15:00:00,HT/USDT,4.6039,4.6071,4.6038,4.6063,2.9182,13.4413481
1663423200,2022-09-17 14:00:00,HT/USDT,4.6008,4.6039,4.5917,4.5923,41.4281,190.27232421
1663419600,2022-09-17 13:00:00,HT/USDT,4.6008,4.6083,4.6008,4.6039,22.4567,103.38599233
1663416000,2022-09-17 12:00:00,HT/USDT,4.5892,4.5924,4.5862,4.5924,0.5058,2.32139938
1663412400,2022-09-17 11:00:00,HT/USDT,4.5974,4.5974,4.5854,4.596,59.9079,275.24040326
1663408800,2022-09-17 10:00:00,HT/USDT,4.5852,4.5852,4.5839,4.5839,1.505,6.89922948
1663405200,2022-09-17 09:00:00,HT/USDT,4.5785,4.5946,4.5714,4.5839,334.5156,1530.4331562
1663401600,2022-09-17 08:00:00,HT/USDT,4.5796,4.5884,4.5728,4.5786,98.0492,448.92886241
1663398000,2022-09-17 07:00:00,HT/USDT,4.588,4.588,4.5743,4.5743,1.1504,5.2643352
1663394400,2022-09-17 06:00:00,HT/USDT,4.5944,4.5944,4.5876,4.5876,5.9013,27.109836
1663390800,2022-09-17 05:00:00,HT/USDT,4.5883,4.5883,4.5752,4.5785,0.7208,3.30287819
1663387200,2022-09-17 04:00:00,HT/USDT,4.6029,4.6043,4.5844,4.5939,6.8946,31.65636574
1663383600,2022-09-17 03:00:00,HT/USDT,4.6064,4.6064,4.6026,4.6026,0.6731,3.09866138
1663380000,2022-09-17 02:00:00,HT/USDT,4.62,4.62,4.5889,4.5889,27.5514,126.7387377
1663376400,2022-09-17 01:00:00,HT/USDT,4.6192,4.62,4.6095,4.62,20.1538,93.08939676
1663372800,2022-09-17 00:00:00,HT/USDT,4.603,4.6146,4.603,4.6146,85.4596,394.19283104
1663369200,2022-09-16 23:00:00,HT/USDT,4.578,4.578,4.5779,4.578,0.5184,2.37322396
1663365600,2022-09-16 22:00:00,HT/USDT,4.5881,4.5881,4.5767,4.5767,2.5424,11.63929434
1663362000,2022-09-16 21:00:00,HT/USDT,4.5842,4.5842,4.5704,4.5704,4.1128,18.81339156
1663358400,2022-09-16 20:00:00,HT/USDT,4.5827,4.5843,4.5713,4.5713,5.3225,24.37243946
1663354800,2022-09-16 19:00:00,HT/USDT,4.5797,4.5837,4.5737,4.5837,0.9451,4.32962967
1663351200,2022-09-16 18:00:00,HT/USDT,4.5739,4.5739,4.5646,4.5646,0.548,2.50304411
1663347600,2022-09-16 17:00:00,HT/USDT,4.5755,4.5755,4.5592,4.5619,18.6155,85.02562321
1663344000,2022-09-16 16:00:00,HT/USDT,4.5681,4.5745,4.5587,4.5745,1.8239,8.32445971
1663340400,2022-09-16 15:00:00,HT/USDT,4.5751,4.5751,4.5658,4.5703,10.3325,47.22280807
1663336800,2022-09-16 14:00:00,HT/USDT,4.5734,4.5734,4.5586,4.5647,5.7571,26.30903573
1663333200,2022-09-16 13:00:00,HT/USDT,4.5701,4.5879,4.5638,4.5776,3.7708,17.27511435
1663329600,2022-09-16 12:00:00,HT/USDT,4.5864,4.5864,4.5715,4.5715,0.6867,3.14600645
1663326000,2022-09-16 11:00:00,HT/USDT,4.5743,4.5891,4.5743,4.5854,12.041,55.19728737
1663322400,2022-09-16 10:00:00,HT/USDT,4.5802,4.5867,4.5715,4.5867,329.52,1507.15582964
1663318800,2022-09-16 09:00:00,HT/USDT,4.5712,4.574,4.5712,4.574,0.2317,1.05945868
1663315200,2022-09-16 08:00:00,HT/USDT,4.5849,4.5903,4.5638,4.5692,26.5972,121.75138976
1663311600,2022-09-16 07:00:00,HT/USDT,4.5911,4.5911,4.57,4.57,95.2717,436.11831347
1663308000,2022-09-16 06:00:00,HT/USDT,4.5713,4.5816,4.5713,4.5763,2.7341,12.51447807
1663304400,2022-09-16 05:00:00,HT/USDT,4.5843,4.591,4.5843,4.5849,0.7125,3.26779807
1663300800,2022-09-16 04:00:00,HT/USDT,4.5903,4.5912,4.5574,4.5899,315.527,1439.22910404
1663297200,2022-09-16 03:00:00,HT/USDT,4.5863,4.5863,4.5863,4.5863,0,0
1663293600,2022-09-16 02:00:00,HT/USDT,4.5875,4.5883,4.5818,4.5863,11.8007,54.1182786
1663290000,2022-09-16 01:00:00,HT/USDT,4.6051,4.6051,4.5881,4.5881,1.1769,5.41563669
1663286400,2022-09-16 00:00:00,HT/USDT,4.5758,4.6014,4.572,4.5911,12.5143,57.25748476
1663282800,2022-09-15 23:00:00,HT/USDT,4.58,4.58,4.5721,4.5721,9.5887,43.85646859
1663279200,2022-09-15 22:00:00,HT/USDT,4.5884,4.5884,4.58,4.58,0.544,2.49257924
1663275600,2022-09-15 21:00:00,HT/USDT,4.6186,4.6297,4.6094,4.6094,574.6706,2658.76975406
1663272000,2022-09-15 20:00:00,HT/USDT,4.6,4.6045,4.5909,4.6045,5.0284,23.13468539
1663268400,2022-09-15 19:00:00,HT/USDT,4.5893,4.5893,4.5893,4.5893,0.1167,0.53557131
1663264800,2022-09-15 18:00:00,HT/USDT,4.6043,4.6043,4.5993,4.5993,0.7005,3.22272225
1663261200,2022-09-15 17:00:00,HT/USDT,4.6183,4.6253,4.6009,4.6009,3.9474,18.1841187
1663257600,2022-09-15 16:00:00,HT/USDT,4.6131,4.6173,4.5959,4.6166,5.4982,25.3356303
1663254000,2022-09-15 15:00:00,HT/USDT,4.5928,4.6236,4.5851,4.6098,24.2182,111.30463868
1663250400,2022-09-15 14:00:00,HT/USDT,4.6447,4.6447,4.5877,4.5877,4.6162,21.22077374
1663246800,2022-09-15 13:00:00,HT/USDT,4.6436,4.6459,4.63,4.63,0.6138,2.84900059
1663243200,2022-09-15 12:00:00,HT/USDT,4.6358,4.6358,4.6358,4.6358,10.765,49.904387
1663239600,2022-09-15 11:00:00,HT/USDT,4.6121,4.6328,4.6121,4.625,677.4782,3137.34281712
1663236000,2022-09-15 10:00:00,HT/USDT,4.6114,4.6396,4.6114,4.6396,79.0908,366.5896825
1663232400,2022-09-15 09:00:00,HT/USDT,4.5977,4.6279,4.5886,4.6152,311.3726,1431.51996472
1663228800,2022-09-15 08:00:00,HT/USDT,4.6292,4.6292,4.6048,4.6048,3.2027,14.76540564
1663225200,2022-09-15 07:00:00,HT/USDT,4.6106,4.6301,4.6083,4.63,13.8899,64.15501558
1663221600,2022-09-15 06:00:00,HT/USDT,4.6088,4.6123,4.5827,4.5827,3.6238,16.66391328
1663218000,2022-09-15 05:00:00,HT/USDT,4.6295,4.6295,4.6149,4.6149,2.2713,10.48436861
1663214400,2022-09-15 04:00:00,HT/USDT,4.6008,4.6229,4.6008,4.6099,11.0507,51.06127734
1663210800,2022-09-15 03:00:00,HT/USDT,4.6084,4.6128,4.5999,4.6018,7.4087,34.15144661
1663207200,2022-09-15 02:00:00,HT/USDT,4.6164,4.6284,4.5999,4.6105,5.5904,25.77590184
1663203600,2022-09-15 01:00:00,HT/USDT,4.5963,4.621,4.5917,4.6077,159.7307,736.01045217
1663200000,2022-09-15 00:00:00,HT/USDT,4.6136,4.6274,4.5864,4.5963,103.0145,473.56270936
1663196400,2022-09-14 23:00:00,HT/USDT,4.6009,4.6135,4.6009,4.6135,1.9357,8.92027157
1663192800,2022-09-14 22:00:00,HT/USDT,4.6233,4.6249,4.6009,4.6144,8.3255,38.42289391
