https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume AERGO,Volume BTC
1663459200,2022-09-18 00:00:00,AERGO/BTC,0.00000728,0.0000074,0.00000728,0.00000738,1795.9706,0.013202914164
1663372800,2022-09-17 00:00:00,AERGO/BTC,0.00000738,0.00000781,0.00000709,0.00000723,380221.553,2.772401931567
1663286400,2022-09-16 00:00:00,AERGO/BTC,0.00000873,0.00000928,0.00000717,0.00000736,407669.5766,3.106762110519
1663200000,2022-09-15 00:00:00,AERGO/BTC,0.00001008,0.00001086,0.00000825,0.00000876,384354.4626,3.609515825818
1663113600,2022-09-14 00:00:00,AERGO/BTC,0.00000975,0.00001522,0.00000876,0.00001009,579717.7621,6.556786539729
1663027200,2022-09-13 00:00:00,AERGO/BTC,0.00000967,0.00001152,0.00000826,0.00000975,442066.6786,4.24235335573
1662940800,2022-09-12 00:00:00,AERGO/BTC,0.00001187,0.00001391,0.00000962,0.00000964,483090.1697,5.283678199788
1662854400,2022-09-11 00:00:00,AERGO/BTC,0.00000799,0.00001644,0.00000758,0.00001194,1379956.4716,16.462587707654
1662768000,2022-09-10 00:00:00,AERGO/BTC,0.00000652,0.00001212,0.00000613,0.00000807,684563.6503,6.463479323473
1662681600,2022-09-09 00:00:00,AERGO/BTC,0.00000845,0.00000889,0.00000612,0.00000651,426916.9925,3.041025812253
1662595200,2022-09-08 00:00:00,AERGO/BTC,0.00000614,0.0000116,0.00000614,0.00000832,800799.3652,6.79318807961
1662508800,2022-09-07 00:00:00,AERGO/BTC,0.00000615,0.0000062,0.00000604,0.00000613,9088.5915,0.055616258824
1662422400,2022-09-06 00:00:00,AERGO/BTC,0.00000618,0.0000063,0.00000602,0.00000613,20598.3028,0.126529933457
1662336000,2022-09-05 00:00:00,AERGO/BTC,0.0000061,0.00000626,0.00000603,0.00000619,48153.2339,0.292769848742
1662249600,2022-09-04 00:00:00,AERGO/BTC,0.00000611,0.00000675,0.00000607,0.0000061,34928.9535,0.217511153765
1662163200,2022-09-03 00:00:00,AERGO/BTC,0.00000608,0.00000615,0.00000602,0.00000611,2462.5931,0.014977366814
1662076800,2022-09-02 00:00:00,AERGO/BTC,0.00000619,0.00000622,0.00000601,0.0000061,9581.4935,0.058377096765
1661990400,2022-09-01 00:00:00,AERGO/BTC,0.00000614,0.00000617,0.00000584,0.00000615,47832.8507,0.285276833342
1661904000,2022-08-31 00:00:00,AERGO/BTC,0.00000616,0.00000625,0.0000061,0.00000617,10750.1452,0.066265193852
1661817600,2022-08-30 00:00:00,AERGO/BTC,0.00000606,0.00000625,0.00000603,0.00000621,18726.3025,0.114529459313
1661731200,2022-08-29 00:00:00,AERGO/BTC,0.00000599,0.00000605,0.00000594,0.00000604,37410.7718,0.223757225006
1661644800,2022-08-28 00:00:00,AERGO/BTC,0.00000595,0.00000631,0.00000594,0.00000603,36161.6107,0.223078398478
1661558400,2022-08-27 00:00:00,AERGO/BTC,0.000006,0.00000606,0.00000589,0.00000594,16594.5141,0.099377688983
1661472000,2022-08-26 00:00:00,AERGO/BTC,0.0000061,0.00000611,0.00000589,0.00000597,19038.4761,0.114682901701
1661385600,2022-08-25 00:00:00,AERGO/BTC,0.00000587,0.00000633,0.00000584,0.0000061,60732.3291,0.367146099962
1661299200,2022-08-24 00:00:00,AERGO/BTC,0.00000574,0.00000598,0.00000569,0.0000058,43839.2278,0.255133284119
1661212800,2022-08-23 00:00:00,AERGO/BTC,0.00000574,0.00000585,0.00000567,0.00000569,13780.9032,0.079101141855
1661126400,2022-08-22 00:00:00,AERGO/BTC,0.00000576,0.00000585,0.00000557,0.00000569,55319.418,0.311799263446
1661040000,2022-08-21 00:00:00,AERGO/BTC,0.00000577,0.0000058,0.00000563,0.00000575,46319.1429,0.265828580647
1660953600,2022-08-20 00:00:00,AERGO/BTC,0.00000584,0.00000593,0.00000565,0.00000577,36777.576,0.213166344589
1660867200,2022-08-19 00:00:00,AERGO/BTC,0.00000582,0.00000604,0.00000558,0.00000584,39635.6829,0.227936948565
1660780800,2022-08-18 00:00:00,AERGO/BTC,0.00000591,0.00000624,0.00000578,0.00000584,80023.0711,0.474646911735
1660694400,2022-08-17 00:00:00,AERGO/BTC,0.00000603,0.00000607,0.00000578,0.00000594,98040.8922,0.578039556613
1660608000,2022-08-16 00:00:00,AERGO/BTC,0.00000608,0.00000615,0.00000595,0.00000601,43378.9363,0.261320035774
1660521600,2022-08-15 00:00:00,AERGO/BTC,0.00000604,0.00000648,0.00000598,0.00000607,114576.2091,0.702137786197
1660435200,2022-08-14 00:00:00,AERGO/BTC,0.00000614,0.00000617,0.00000602,0.00000604,47885.935,0.2903320705
1660348800,2022-08-13 00:00:00,AERGO/BTC,0.00000629,0.0000063,0.0000061,0.00000617,10348.6051,0.063762498481
1660262400,2022-08-12 00:00:00,AERGO/BTC,0.00000616,0.00000666,0.00000615,0.00000628,164161.7432,1.034802331007
