https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume AVAX,Volume BTC
1663545600000.0,2022-09-19 00:00:00,AVAX/BTC,0.0008609,0.0008625,0.0008586,0.0008586,26.812823200559045,0.02302149
1663459200000.0,2022-09-18 00:00:00,AVAX/BTC,0.0009185,0.0009361,0.0008361,0.0008609,10758.980288070625,9.26240613
1663372800000.0,2022-09-17 00:00:00,AVAX/BTC,0.0009125,0.0009253,0.000912,0.0009185,2047.821186717474,1.88092376
1663286400000.0,2022-09-16 00:00:00,AVAX/BTC,0.0009224,0.000925,0.0008974,0.0009125,10059.014246575342,9.1788505
1663200000000.0,2022-09-15 00:00:00,AVAX/BTC,0.0009455,0.0009542,0.0009212,0.0009224,5537.4870229835215,5.10777803
1663113600000.0,2022-09-14 00:00:00,AVAX/BTC,0.0009367,0.0009501,0.0009316,0.0009455,4462.271031200423,4.21907726
1663027200000.0,2022-09-13 00:00:00,AVAX/BTC,0.0009551,0.0009779,0.0009275,0.0009367,11906.051894950358,11.15239881
1662940800000.0,2022-09-12 00:00:00,AVAX/BTC,0.0009486,0.0009818,0.0009293,0.0009551,10418.397256831746,9.95061122
1662854400000.0,2022-09-11 00:00:00,AVAX/BTC,0.0009445,0.0009658,0.0009341,0.0009486,3461.1500210837025,3.28324691
1662768000000.0,2022-09-10 00:00:00,AVAX/BTC,0.0009551,0.0009937,0.0009413,0.0009445,4575.61252514558,4.32166603
1662681600000.0,2022-09-09 00:00:00,AVAX/BTC,0.0009907,0.0010194,0.0009476,0.0009551,5432.002209192755,5.18810531
1662595200000.0,2022-09-08 00:00:00,AVAX/BTC,0.0009858,0.0009908,0.0009667,0.0009907,3450.0936004845057,3.41800773
1662508800000.0,2022-09-07 00:00:00,AVAX/BTC,0.0009684,0.0009958,0.0009589,0.0009858,3641.253317102861,3.58954752
1662422400000.0,2022-09-06 00:00:00,AVAX/BTC,0.0009804,0.0010196,0.0009654,0.0009684,16802.641584056175,16.27167811
1662336000000.0,2022-09-05 00:00:00,AVAX/BTC,0.0009501,0.0009819,0.0009382,0.0009804,7398.275897592819,7.25326969
1662249600000.0,2022-09-04 00:00:00,AVAX/BTC,0.0009519,0.0009636,0.00095,0.0009501,3517.5681822966003,3.34204153
1662163200000.0,2022-09-03 00:00:00,AVAX/BTC,0.0009448,0.0009542,0.0009357,0.0009519,2007.5671289000945,1.91100315
1662076800000.0,2022-09-02 00:00:00,AVAX/BTC,0.0009602,0.0009666,0.0009406,0.0009448,2450.249629551228,2.31499585
1661990400000.0,2022-09-01 00:00:00,AVAX/BTC,0.0009528,0.0009663,0.0009307,0.0009602,3005.574880233285,2.885953
1661904000000.0,2022-08-31 00:00:00,AVAX/BTC,0.0009791,0.0009925,0.000951,0.0009528,3944.830142737196,3.75863416
1661817600000.0,2022-08-30 00:00:00,AVAX/BTC,0.0009527,0.0010079,0.0009435,0.0009791,17271.04178327035,16.91007701
1661731200000.0,2022-08-29 00:00:00,AVAX/BTC,0.0009458,0.0009588,0.0008848,0.0009527,20061.654697176447,19.11273843
1661644800000.0,2022-08-28 00:00:00,AVAX/BTC,0.0009991,0.001021,0.000917,0.0009458,38185.65358426729,36.11599116
1661558400000.0,2022-08-27 00:00:00,AVAX/BTC,0.0010193,0.001028,0.0009953,0.0009991,8257.27414673206,8.2498426
1661472000000.0,2022-08-26 00:00:00,AVAX/BTC,0.0010661,0.0010695,0.0010098,0.0010193,19045.847797508097,19.41343266
1661385600000.0,2022-08-25 00:00:00,AVAX/BTC,0.0010762,0.0010893,0.0010547,0.0010661,6293.685742425664,6.70969837
1661299200000.0,2022-08-24 00:00:00,AVAX/BTC,0.0010929,0.0010961,0.001071,0.0010762,2889.743328377625,3.10994177
1661212800000.0,2022-08-23 00:00:00,AVAX/BTC,0.0010542,0.0010997,0.0010421,0.0010929,6403.534220880227,6.99842255
1661126400000.0,2022-08-22 00:00:00,AVAX/BTC,0.0010669,0.0010678,0.0010327,0.0010542,1612.9343483210018,1.70035539
1661040000000.0,2022-08-21 00:00:00,AVAX/BTC,0.0010544,0.0010848,0.0010514,0.0010669,11198.054203767926,11.94720403
1660953600000.0,2022-08-20 00:00:00,AVAX/BTC,0.001078,0.0010867,0.0010358,0.0010544,3152.674696509863,3.3241802
1660867200000.0,2022-08-19 00:00:00,AVAX/BTC,0.0010448,0.0010876,0.0009937,0.001078,8200.294378478664,8.83991734
1660780800000.0,2022-08-18 00:00:00,AVAX/BTC,0.0010939,0.0011156,0.0010343,0.0010448,2738.109686064319,2.860777
1660694400000.0,2022-08-17 00:00:00,AVAX/BTC,0.0011361,0.0011603,0.0010848,0.0010939,6586.496407349849,7.20496842
1660608000000.0,2022-08-16 00:00:00,AVAX/BTC,0.0011563,0.0011771,0.0011325,0.0011361,6864.0826423730305,7.79828429
1660521600000.0,2022-08-15 00:00:00,AVAX/BTC,0.001159,0.001178,0.0011339,0.0011563,2953.455037619995,3.41508006
1660435200000.0,2022-08-14 00:00:00,AVAX/BTC,0.0011924,0.0012014,0.0011512,0.001159,2461.8940465918895,2.8533352
1660348800000.0,2022-08-13 00:00:00,AVAX/BTC,0.0012014,0.0012331,0.0011871,0.0011924,3475.395110701107,4.14406113
1660262400000.0,2022-08-12 00:00:00,AVAX/BTC,0.0011919,0.0012189,0.0011812,0.0012014,2957.0236474113535,3.55256821
1660176000000.0,2022-08-11 00:00:00,AVAX/BTC,0.0012174,0.0012243,0.0011827,0.0011919,4380.020001677993,5.22054584
1660089600000.0,2022-08-10 00:00:00,AVAX/BTC,0.0011837,0.0012541,0.0011725,0.0012174,12375.49611467061,15.06592897
1660003200000.0,2022-08-09 00:00:00,AVAX/BTC,0.0011728,0.0012141,0.0011593,0.0011837,13064.399425530117,15.4643296
1659916800000.0,2022-08-08 00:00:00,AVAX/BTC,0.0012042,0.0012801,0.0011728,0.0011728,15820.800792974078,18.55463517
1659830400000.0,2022-08-07 00:00:00,AVAX/BTC,0.0011613,0.0012234,0.0011261,0.0012042,18190.946155123733,21.90553736
1659744000000.0,2022-08-06 00:00:00,AVAX/BTC,0.0010712,0.0011716,0.0010625,0.0011613,16179.9699130285,18.78979906
1659657600000.0,2022-08-05 00:00:00,AVAX/BTC,0.0010336,0.0010726,0.0010221,0.0010712,8201.752137789395,8.78571689
1659571200000.0,2022-08-04 00:00:00,AVAX/BTC,0.0010097,0.0010351,0.0010071,0.0010336,3463.105427631579,3.57946577
1659484800000.0,2022-08-03 00:00:00,AVAX/BTC,0.0009933,0.0010314,0.0009815,0.0010097,3681.088154897494,3.71679471
1659398400000.0,2022-08-02 00:00:00,AVAX/BTC,0.0010146,0.0010241,0.0009773,0.0009933,2958.094734722642,2.9382755
1659312000000.0,2022-08-01 00:00:00,AVAX/BTC,0.0010185,0.0010371,0.001001,0.0010141,5127.371728626368,5.19966767
1659225600000.0,2022-07-31 00:00:00,AVAX/BTC,0.0010247,0.0010491,0.001013,0.0010185,7099.871310751104,7.23121893
1659139200000.0,2022-07-30 00:00:00,AVAX/BTC,0.0010301,0.0010507,0.001012,0.0010247,6337.03407826681,6.49355882
1659052800000.0,2022-07-29 00:00:00,AVAX/BTC,0.0010158,0.0010478,0.0009997,0.0010301,4749.135870303854,4.89208486
1658966400000.0,2022-07-28 00:00:00,AVAX/BTC,0.0010197,0.0010244,0.000985,0.0010158,8373.851673557787,8.50615853
1658880000000.0,2022-07-27 00:00:00,AVAX/BTC,0.0009737,0.001025,0.0009601,0.0010197,5725.578876140042,5.83837278
1658793600000.0,2022-07-26 00:00:00,AVAX/BTC,0.0009797,0.000988,0.0009374,0.0009737,17100.955859094174,16.65120072
1658707200000.0,2022-07-25 00:00:00,AVAX/BTC,0.001055,0.0010558,0.0009796,0.0009797,16010.913892007758,15.68589234
1658620800000.0,2022-07-24 00:00:00,AVAX/BTC,0.0010516,0.0010665,0.0010437,0.0010549,1599.1098871930992,1.68690102
1658534400000.0,2022-07-23 00:00:00,AVAX/BTC,0.0010412,0.0010792,0.0010331,0.0010516,3728.302995435527,3.92068343
1658448000000.0,2022-07-22 00:00:00,AVAX/BTC,0.0010801,0.0010912,0.0010368,0.0010412,9361.547013061852,9.74724275
