https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume XLM,Volume EUR
1663545600,2022-09-19 00:00:00,XLM/EUR,0.10702,0.10702,0.10691,0.10698,7268.63240000,777.5982941520001
1663542000,2022-09-18 23:00:00,XLM/EUR,0.10774,0.10834,0.10653,0.10653,59746.54295259,6364.799220739413
1663538400,2022-09-18 22:00:00,XLM/EUR,0.10920,0.10927,0.10632,0.10770,701443.35250124,75545.44906438355
1663534800,2022-09-18 21:00:00,XLM/EUR,0.11360,0.11366,0.10948,0.10948,499509.55694577,54686.306294422895
1663531200,2022-09-18 20:00:00,XLM/EUR,0.11417,0.11478,0.11365,0.11368,122687.59187279,13947.125444098767
1663527600,2022-09-18 19:00:00,XLM/EUR,0.11399,0.11452,0.11399,0.11441,15686.63136093,1794.7074940040013
1663524000,2022-09-18 18:00:00,XLM/EUR,0.11339,0.11454,0.11267,0.11423,334697.54750572,38232.50085157839
1663520400,2022-09-18 17:00:00,XLM/EUR,0.11157,0.11303,0.11151,0.11268,239455.53394145,26981.84956452259
1663516800,2022-09-18 16:00:00,XLM/EUR,0.11202,0.11234,0.11098,0.11234,290446.26935871,32628.733899757477
1663513200,2022-09-18 15:00:00,XLM/EUR,0.11191,0.11233,0.11191,0.11233,27408.33634318,3078.7784214294093
1663509600,2022-09-18 14:00:00,XLM/EUR,0.11189,0.11189,0.11123,0.11149,98453.99862284,10976.636306460432
1663506000,2022-09-18 13:00:00,XLM/EUR,0.11214,0.11254,0.11213,0.11221,111987.35333576,12566.10091780563
1663502400,2022-09-18 12:00:00,XLM/EUR,0.11141,0.11236,0.11134,0.11203,29781.06479144,3336.3726885850233
1663498800,2022-09-18 11:00:00,XLM/EUR,0.11188,0.11239,0.11188,0.11204,97748.93172383,10951.790310337914
1663495200,2022-09-18 10:00:00,XLM/EUR,0.11247,0.11332,0.11186,0.11186,333989.59711492,37360.07633327495
1663491600,2022-09-18 09:00:00,XLM/EUR,0.11456,0.11567,0.11265,0.11272,300621.82469144,33886.09207921912
1663488000,2022-09-18 08:00:00,XLM/EUR,0.11383,0.11483,0.11358,0.11409,183898.22957721,20980.94901246389
1663484400,2022-09-18 07:00:00,XLM/EUR,0.11118,0.11400,0.11118,0.11400,884029.66610791,100779.38193630174
1663480800,2022-09-18 06:00:00,XLM/EUR,0.11079,0.11093,0.11068,0.11087,41000.02689842,4545.672982227826
1663477200,2022-09-18 05:00:00,XLM/EUR,0.11031,0.11108,0.11020,0.11108,84666.55807182,9404.761270617766
1663473600,2022-09-18 04:00:00,XLM/EUR,0.11066,0.11090,0.11040,0.11040,82331.40990247,9089.387653232687
1663470000,2022-09-18 03:00:00,XLM/EUR,0.11100,0.11100,0.11036,0.11056,6650.00000583,735.2240006445649
1663466400,2022-09-18 02:00:00,XLM/EUR,0.11164,0.11164,0.11096,0.11098,43778.35492000,4858.5218290216
1663462800,2022-09-18 01:00:00,XLM/EUR,0.11131,0.11229,0.11131,0.11148,174016.88226120,19399.402034478575
1663459200,2022-09-18 00:00:00,XLM/EUR,0.11293,0.11293,0.11201,0.11201,61159.36529440,6850.460506625744
1663455600,2022-09-17 23:00:00,XLM/EUR,0.11330,0.11361,0.11323,0.11323,27391.02016144,3101.485212879851
1663452000,2022-09-17 22:00:00,XLM/EUR,0.11337,0.11351,0.11306,0.11351,286788.55837854,32553.369261548072
1663448400,2022-09-17 21:00:00,XLM/EUR,0.11223,0.11378,0.11223,0.11314,69945.71426689,7913.658112155936
1663444800,2022-09-17 20:00:00,XLM/EUR,0.11212,0.11245,0.11212,0.11223,53873.51754024,6046.224873541135
1663441200,2022-09-17 19:00:00,XLM/EUR,0.11260,0.11261,0.11220,0.11220,47552.62521906,5335.404549578531
1663437600,2022-09-17 18:00:00,XLM/EUR,0.11237,0.11270,0.11183,0.11270,70499.94838831,7945.3441833625375
1663434000,2022-09-17 17:00:00,XLM/EUR,0.11133,0.11254,0.11133,0.11226,249546.30133336,28014.067787682994
1663430400,2022-09-17 16:00:00,XLM/EUR,0.11094,0.11169,0.11074,0.11121,79109.91906620,8797.814099352103
1663426800,2022-09-17 15:00:00,XLM/EUR,0.11060,0.11110,0.11045,0.11080,106642.62058117,11816.002360393637
1663423200,2022-09-17 14:00:00,XLM/EUR,0.10939,0.11164,0.10939,0.11056,738583.95379142,81657.8419311794
1663419600,2022-09-17 13:00:00,XLM/EUR,0.10718,0.10967,0.10718,0.10940,484718.17871854,53028.168751808276
1663416000,2022-09-17 12:00:00,XLM/EUR,0.10705,0.10724,0.10705,0.10724,3175.47240882,340.5376611218568
