https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BEPRO,Volume BTC
1663459200,2022-09-18 00:00:00,BEPRO/BTC,0.0000000607,0.0000000607,0.0000000605,0.0000000607,407621.0003,0.02473841096163
1663372800,2022-09-17 00:00:00,BEPRO/BTC,0.000000058,0.0000000616,0.0000000571,0.0000000607,17671242.1145,1.05868366168089
1663286400,2022-09-16 00:00:00,BEPRO/BTC,0.0000000587,0.0000000588,0.0000000569,0.000000058,16818391.6804,0.97147747117666
1663200000,2022-09-15 00:00:00,BEPRO/BTC,0.0000000589,0.0000000597,0.0000000572,0.0000000585,17488889.0211,1.02259004496547
1663113600,2022-09-14 00:00:00,BEPRO/BTC,0.000000061,0.0000000614,0.0000000578,0.0000000589,14933337.1176,0.88586915403884
1663027200,2022-09-13 00:00:00,BEPRO/BTC,0.000000056,0.0000000622,0.0000000556,0.0000000608,27171802.757,1.55655245425265
1662940800,2022-09-12 00:00:00,BEPRO/BTC,0.0000000592,0.0000000596,0.0000000558,0.0000000561,16976938.8227,0.98117897707723
1662854400,2022-09-11 00:00:00,BEPRO/BTC,0.0000000571,0.0000000599,0.0000000559,0.0000000594,14108164.3595,0.81515579359383
1662768000,2022-09-10 00:00:00,BEPRO/BTC,0.0000000556,0.000000058,0.0000000544,0.000000057,14580472.2058,0.81778940587269
1662681600,2022-09-09 00:00:00,BEPRO/BTC,0.0000000588,0.000000059,0.000000055,0.0000000555,15315104.9215,0.86134216240439
1662595200,2022-09-08 00:00:00,BEPRO/BTC,0.0000000574,0.000000059,0.0000000569,0.0000000586,17505620.0723,1.00947238677548
1662508800,2022-09-07 00:00:00,BEPRO/BTC,0.0000000564,0.000000058,0.0000000553,0.0000000576,22315041.9776,1.25927414966416
1662422400,2022-09-06 00:00:00,BEPRO/BTC,0.0000000555,0.0000000568,0.0000000539,0.0000000564,19981381.8919,1.10353515287035
1662336000,2022-09-05 00:00:00,BEPRO/BTC,0.0000000559,0.0000000561,0.0000000523,0.0000000555,27180591.2615,1.45881486917317
