https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume VR,Volume USDT
1663459200,2022-09-18 00:00:00,VR/USDT,0.01337,0.01361,0.01334,0.01343,218848.6033,2949.333035281
1663372800,2022-09-17 00:00:00,VR/USDT,0.0132,0.01381,0.01283,0.01334,4354113.4516,57530.42668685
1663286400,2022-09-16 00:00:00,VR/USDT,0.01288,0.01367,0.01257,0.01318,8825348.4298,114609.787537708
1663200000,2022-09-15 00:00:00,VR/USDT,0.01346,0.0137,0.01214,0.0129,14972054.3646,194488.62822542
1663113600,2022-09-14 00:00:00,VR/USDT,0.01372,0.01493,0.0124,0.01349,26074103.7968,347651.189503273
1663027200,2022-09-13 00:00:00,VR/USDT,0.01378,0.01406,0.0119,0.01372,27328300.0363,357037.427397273
1662940800,2022-09-12 00:00:00,VR/USDT,0.01444,0.01475,0.01326,0.01377,27520581.2166,383496.453488558
1662854400,2022-09-11 00:00:00,VR/USDT,0.01439,0.01544,0.0138,0.01443,23702495.7407,343841.549207219
1662768000,2022-09-10 00:00:00,VR/USDT,0.01357,0.01545,0.01354,0.01438,28593973.7702,416319.049058199
1662681600,2022-09-09 00:00:00,VR/USDT,0.01356,0.01496,0.01266,0.01364,36238923.1395,497963.124680156
1662595200,2022-09-08 00:00:00,VR/USDT,0.01311,0.01426,0.01252,0.0136,29054222.999,383059.754494108
1662508800,2022-09-07 00:00:00,VR/USDT,0.01351,0.01386,0.01232,0.01312,31997366.3166,413065.926115409
1662422400,2022-09-06 00:00:00,VR/USDT,0.01561,0.01629,0.01283,0.01365,32799582.4246,468531.200692934
1662336000,2022-09-05 00:00:00,VR/USDT,0.01594,0.01649,0.01468,0.01561,34779594.7427,536194.146693506
1662249600,2022-09-04 00:00:00,VR/USDT,0.01326,0.01735,0.01259,0.01607,30817446.4295,430581.674763389
1662163200,2022-09-03 00:00:00,VR/USDT,0.01288,0.01556,0.0127,0.01327,34803048.4157,471222.345144163
1662076800,2022-09-02 00:00:00,VR/USDT,0.01216,0.01295,0.01211,0.01281,20695363.6093,255525.443882769
1661990400,2022-09-01 00:00:00,VR/USDT,0.01239,0.01261,0.012,0.01216,22885551.3914,277516.028508439
1661904000,2022-08-31 00:00:00,VR/USDT,0.01147,0.0126,0.01143,0.01239,23075550.78643403,274431.6580833498236
1661817600,2022-08-30 00:00:00,VR/USDT,0.0128,0.01307,0.01146,0.01147,54871643.12847492,667198.9865652641813
1661731200,2022-08-29 00:00:00,VR/USDT,0.0127,0.0129,0.01122,0.01281,77094930.57115513,939059.7650915399429
1661644800,2022-08-28 00:00:00,VR/USDT,0.01405,0.01457,0.01271,0.01271,58589309.65840214,806543.0674242587914
1661558400,2022-08-27 00:00:00,VR/USDT,0.0157,0.01579,0.01402,0.01404,61422169.84720862,923070.6411037050368
1661472000,2022-08-26 00:00:00,VR/USDT,0.01775,0.01789,0.01566,0.01571,4790400.88033906,80738.2946268137991
1661385600,2022-08-25 00:00:00,VR/USDT,0.01828,0.01863,0.01762,0.01775,25801348.5365238,472190.5726724178909
1661299200,2022-08-24 00:00:00,VR/USDT,0.0189,0.01892,0.01824,0.01829,50587017.99750572,938741.6709594593065
1661212800,2022-08-23 00:00:00,VR/USDT,0.01792,0.01905,0.01758,0.01891,49117597.60934665,894048.7693434313557
1661126400,2022-08-22 00:00:00,VR/USDT,0.01887,0.01889,0.01776,0.01793,36127481.1117467,652879.6988198630675
1661040000,2022-08-21 00:00:00,VR/USDT,0.0186,0.0195,0.01849,0.01887,48544407.89250292,909051.8265748588595
1660953600,2022-08-20 00:00:00,VR/USDT,0.0187,0.01928,0.01853,0.0186,33272554.48688011,628641.7511922359553
1660867200,2022-08-19 00:00:00,VR/USDT,0.01907,0.01998,0.01832,0.0187,38368183.35995726,732073.9956565562834
1660780800,2022-08-18 00:00:00,VR/USDT,0.0216,0.02164,0.01908,0.01914,37849351.29354111,779863.261184504085
1660694400,2022-08-17 00:00:00,VR/USDT,0.02167,0.02282,0.02138,0.02161,30601657.62157675,665490.3568426536725
1660608000,2022-08-16 00:00:00,VR/USDT,0.02165,0.02242,0.02134,0.02166,26829240.61845364,579404.6489073921293
1660521600,2022-08-15 00:00:00,VR/USDT,0.02258,0.02283,0.02125,0.02165,38067561.25307605,837652.2240366188246
1660435200,2022-08-14 00:00:00,VR/USDT,0.02347,0.0239,0.02228,0.02259,35834884.43269001,819176.9551262351855
1660348800,2022-08-13 00:00:00,VR/USDT,0.02235,0.02443,0.02207,0.02344,43145854.87269476,992518.2286611955954
