https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume WXT
1663459200000,2022-09-18 00:00:00,WXT/BTC,2.5e-07,2.6e-07,2.5e-07,2.6e-07,0.00038710126711620003,1488.85102737
1663372800000,2022-09-17 00:00:00,WXT/BTC,2.5e-07,2.5e-07,2.5e-07,2.5e-07,0.00032071279011,1282.85116044
1663286400000,2022-09-16 00:00:00,WXT/BTC,2.6e-07,2.6e-07,2.5e-07,2.5e-07,0.033035304725,132141.2189
1663200000000,2022-09-15 00:00:00,WXT/BTC,2.6e-07,2.6e-07,2.5e-07,2.6e-07,0.007274732267465,27979.73949025
1663113600000,2022-09-14 00:00:00,WXT/BTC,2.6e-07,2.6e-07,2.6e-07,2.6e-07,3.90599422954e-05,150.23054729
1663027200000,2022-09-13 00:00:00,WXT/BTC,2.4e-07,2.5e-07,2.4e-07,2.5e-07,0.0157144799904325,62857.91996173
1662940800000,2022-09-12 00:00:00,WXT/BTC,2.4e-07,2.5e-07,2.4e-07,2.4e-07,0.014651758178733598,61048.99241139
1662854400000,2022-09-11 00:00:00,WXT/BTC,2.5e-07,2.5e-07,2.4e-07,2.4e-07,0.0178252014730056,74271.67280419
1662768000000,2022-09-10 00:00:00,WXT/BTC,2.5e-07,2.7e-07,2.4e-07,2.4e-07,0.056552867399347194,235636.94749728
1662681600000,2022-09-09 00:00:00,WXT/BTC,2.7e-07,2.7e-07,2.5e-07,2.5e-07,0.0476877044065,190750.817626
1662595200000,2022-09-08 00:00:00,WXT/BTC,2.7e-07,2.7e-07,2.6e-07,2.7e-07,0.051599028867717604,191107.51432488
1662508800000,2022-09-07 00:00:00,WXT/BTC,2.7e-07,2.7e-07,2.7e-07,2.7e-07,0.01180872,43736
1662422400000,2022-09-06 00:00:00,WXT/BTC,2.7e-07,2.8e-07,2.6e-07,2.7e-07,0.0315226533407328,116750.56792864
1662336000000,2022-09-05 00:00:00,WXT/BTC,2.8e-07,2.9e-07,2.3e-07,2.7e-07,0.0542779558130367,201029.46597421
1662249600000,2022-09-04 00:00:00,WXT/BTC,2.7e-07,3e-07,2.7e-07,2.8e-07,0.020609837114171203,73606.56112204
1662163200000,2022-09-03 00:00:00,WXT/BTC,2.7e-07,2.8e-07,2.6e-07,2.6e-07,0.0094116925934954,36198.81766729
1662076800000,2022-09-02 00:00:00,WXT/BTC,2.6e-07,2.7e-07,2.5e-07,2.6e-07,0.049604992975119395,190788.43451969
1661990400000,2022-09-01 00:00:00,WXT/BTC,2.6e-07,2.7e-07,2.5e-07,2.6e-07,0.0336785021340352,129532.70051552
