https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume C98,Volume USDT
1663459200,2022-09-18 00:00:00,C98/USDT,0.4517,0.4547,0.4429,0.4436,19498.12477787,8764.720637776153
1663372800,2022-09-17 00:00:00,C98/USDT,0.4428,0.4702,0.4352,0.4508,1485236.07385743,669195.536047052788
1663286400,2022-09-16 00:00:00,C98/USDT,0.39,0.4478,0.3875,0.4417,276528.72584844,118117.211242011091
1663200000,2022-09-15 00:00:00,C98/USDT,0.4058,0.4059,0.3831,0.3917,147737.77825156,58388.981654077941
1663113600,2022-09-14 00:00:00,C98/USDT,0.4007,0.4175,0.3915,0.4059,219449.01461814,89240.199762280167
1663027200,2022-09-13 00:00:00,C98/USDT,0.445,0.448,0.4004,0.4022,59948.50542042,25695.942354677263
1662940800,2022-09-12 00:00:00,C98/USDT,0.4419,0.4639,0.435,0.443,92625.42257542,41661.003866532603
1662854400,2022-09-11 00:00:00,C98/USDT,0.4435,0.4556,0.434,0.4431,57271.48127978,25515.147993621139
1662768000,2022-09-10 00:00:00,C98/USDT,0.4539,0.4675,0.436,0.4439,150135.68620826,67194.948416709001
1662681600,2022-09-09 00:00:00,C98/USDT,0.3995,0.455,0.3995,0.4521,134093.60990295,57681.904232699534
1662595200,2022-09-08 00:00:00,C98/USDT,0.403,0.4064,0.3858,0.399,103372.3382915,41046.107332147175
1662508800,2022-09-07 00:00:00,C98/USDT,0.3883,0.4072,0.3875,0.4021,39463.87405501,15697.555598189519
1662422400,2022-09-06 00:00:00,C98/USDT,0.4304,0.441,0.3874,0.3874,70223.4263187,29285.167662233421
1662336000,2022-09-05 00:00:00,C98/USDT,0.4339,0.4384,0.42,0.4301,41596.45424541,17720.765413094459
1662249600,2022-09-04 00:00:00,C98/USDT,0.441,0.4457,0.4288,0.4347,52917.7262,23090.550954865716
1662163200,2022-09-03 00:00:00,C98/USDT,0.437,0.4526,0.4315,0.441,91733.83840891,40346.333227732649
1662076800,2022-09-02 00:00:00,C98/USDT,0.4275,0.4381,0.4115,0.4375,66449.81425136,28036.123342405149
1661990400,2022-09-01 00:00:00,C98/USDT,0.4392,0.4462,0.419,0.4264,159546.07030894,68842.698803489387
1661904000,2022-08-31 00:00:00,C98/USDT,0.4299,0.4528,0.4231,0.4385,198376.17155736,86420.716268983084
1661817600,2022-08-30 00:00:00,C98/USDT,0.4237,0.4474,0.4081,0.4289,388576.44879329,167125.893415213742
1661731200,2022-08-29 00:00:00,C98/USDT,0.3686,0.4315,0.3624,0.4237,202486.13469927,79928.958379488913
1661644800,2022-08-28 00:00:00,C98/USDT,0.3751,0.387,0.3666,0.3672,66661.95460904,25330.512097156904
1661558400,2022-08-27 00:00:00,C98/USDT,0.3871,0.3889,0.3685,0.3744,139109.2308448,52558.031964994766
1661472000,2022-08-26 00:00:00,C98/USDT,0.4254,0.4286,0.385,0.3886,95829.48525957,39197.956961531507
1661385600,2022-08-25 00:00:00,C98/USDT,0.4137,0.4424,0.4127,0.4241,144481.87102977,61665.440916785485
1661299200,2022-08-24 00:00:00,C98/USDT,0.4107,0.4231,0.4015,0.4117,186434.96157586,77151.232731739359
1661212800,2022-08-23 00:00:00,C98/USDT,0.404,0.4153,0.3808,0.4104,195784.48426987,78512.507217495178
1661126400,2022-08-22 00:00:00,C98/USDT,0.431,0.4316,0.3888,0.4028,304922.73457336,125135.578075796847
1661040000,2022-08-21 00:00:00,C98/USDT,0.4115,0.433,0.4066,0.4286,309336.31323249,130467.145890400572
1660953600,2022-08-20 00:00:00,C98/USDT,0.4011,0.4412,0.3923,0.4105,385244.21972824,161578.055883097605
1660867200,2022-08-19 00:00:00,C98/USDT,0.4357,0.4375,0.3799,0.4015,494768.97240935,202286.97130233178
1660780800,2022-08-18 00:00:00,C98/USDT,0.4703,0.478,0.4342,0.4344,187009.2634548,85047.295347842533
1660694400,2022-08-17 00:00:00,C98/USDT,0.5072,0.5233,0.4626,0.4692,110943.6735682,54359.929154090413
1660608000,2022-08-16 00:00:00,C98/USDT,0.5254,0.5306,0.5026,0.505,36915.92667599,18935.668644726679
1660521600,2022-08-15 00:00:00,C98/USDT,0.5352,0.5515,0.5147,0.5229,69342.83921563,36938.243869252033
1660435200,2022-08-14 00:00:00,C98/USDT,0.5593,0.575,0.524,0.5336,172145.78394164,95010.679549766126
1660348800,2022-08-13 00:00:00,C98/USDT,0.56,0.5674,0.5485,0.5585,76574.0751587,42663.579603911068
1660262400,2022-08-12 00:00:00,C98/USDT,0.5544,0.5598,0.532,0.5595,102624.17129543,56030.737991501376
1660176000,2022-08-11 00:00:00,C98/USDT,0.5478,0.5737,0.5411,0.5527,172093.73110354,95863.81848816929
1660089600,2022-08-10 00:00:00,C98/USDT,0.5172,0.5539,0.5101,0.5477,214431.84685287,115152.083453647362
1660003200,2022-08-09 00:00:00,C98/USDT,0.578,0.5825,0.5131,0.5178,280450.29163636,152426.490525088898
1659916800,2022-08-08 00:00:00,C98/USDT,0.59,0.6229,0.57,0.5797,331166.74730524,195006.870964492084
1659830400,2022-08-07 00:00:00,C98/USDT,0.5692,0.615,0.562,0.5892,377276.53236512,220813.235674381008
1659744000,2022-08-06 00:00:00,C98/USDT,0.5976,0.607,0.5688,0.5688,123130.67696491,72270.531195836181
1659657600,2022-08-05 00:00:00,C98/USDT,0.5676,0.6313,0.5606,0.597,791104.7514189,476298.148991157405
