https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ARRR,Volume USDT
1663459200,2022-09-18 00:00:00,ARRR/USDT,0.4288,0.4289,0.4273,0.4273,439.3027,188.33456144
1663372800,2022-09-17 00:00:00,ARRR/USDT,0.4162,0.4333,0.4151,0.4289,28723.3924,12216.78928176
1663286400,2022-09-16 00:00:00,ARRR/USDT,0.4191,0.4229,0.415,0.4153,20438.3102,8549.97721471
1663200000,2022-09-15 00:00:00,ARRR/USDT,0.4324,0.436,0.4183,0.4191,70384.6075,29906.76041302
1663113600,2022-09-14 00:00:00,ARRR/USDT,0.4366,0.4451,0.4131,0.4323,62833.1046,26679.80135609
1663027200,2022-09-13 00:00:00,ARRR/USDT,0.485,0.4902,0.4319,0.4366,61969.8583,28512.86709109
1662940800,2022-09-12 00:00:00,ARRR/USDT,0.4786,0.5358,0.4767,0.4812,104426.3608,51655.32404625
1662854400,2022-09-11 00:00:00,ARRR/USDT,0.4783,0.5167,0.4677,0.4792,68162.5366,32947.56719435
1662768000,2022-09-10 00:00:00,ARRR/USDT,0.4617,0.4788,0.4565,0.4758,35988.4248,16814.00796275
1662681600,2022-09-09 00:00:00,ARRR/USDT,0.4363,0.4694,0.4318,0.4643,81820.7162,37507.38454101
1662595200,2022-09-08 00:00:00,ARRR/USDT,0.4277,0.4398,0.4199,0.4363,27492.4005,11825.03809997
1662508800,2022-09-07 00:00:00,ARRR/USDT,0.4123,0.4363,0.4083,0.4277,39222.9059,16599.55886664
1662422400,2022-09-06 00:00:00,ARRR/USDT,0.4237,0.4336,0.4074,0.4158,62291.1344,26230.88676501
1662336000,2022-09-05 00:00:00,ARRR/USDT,0.4243,0.4342,0.4195,0.4223,58358.1179,24758.97345998
1662249600,2022-09-04 00:00:00,ARRR/USDT,0.4209,0.435,0.417,0.427,18883.2281,8098.43302397
1662163200,2022-09-03 00:00:00,ARRR/USDT,0.4292,0.4329,0.415,0.4247,14559.2643,6141.29112054
1662076800,2022-09-02 00:00:00,ARRR/USDT,0.4292,0.4361,0.4204,0.4287,25246.3516,10822.90404548
1661990400,2022-09-01 00:00:00,ARRR/USDT,0.4232,0.4361,0.4153,0.4292,43880.4314,18621.40527056
1661904000,2022-08-31 00:00:00,ARRR/USDT,0.4253,0.4322,0.4176,0.4232,21806.2459,9266.58365831
1661817600,2022-08-30 00:00:00,ARRR/USDT,0.4301,0.4425,0.4135,0.4219,41149.9843,17581.8437557
1661731200,2022-08-29 00:00:00,ARRR/USDT,0.4117,0.437,0.4054,0.4301,27631.4389,11711.94218751
1661644800,2022-08-28 00:00:00,ARRR/USDT,0.4191,0.4296,0.4087,0.4117,20218.6044,8421.76206684
1661558400,2022-08-27 00:00:00,ARRR/USDT,0.4191,0.4281,0.4025,0.4196,34498.3882,14427.3061972
1661472000,2022-08-26 00:00:00,ARRR/USDT,0.4505,0.4562,0.419,0.4191,36275.5902,15707.00744267
1661385600,2022-08-25 00:00:00,ARRR/USDT,0.447,0.4516,0.4335,0.4506,27037.5139,11981.91485335
1661299200,2022-08-24 00:00:00,ARRR/USDT,0.4502,0.4538,0.4302,0.4471,37931.5272,16752.99107779
1661212800,2022-08-23 00:00:00,ARRR/USDT,0.4385,0.4506,0.4223,0.4506,56246.907,24398.99400948
1661126400,2022-08-22 00:00:00,ARRR/USDT,0.4519,0.4539,0.4301,0.4386,57854.4483,25363.31525094
1661040000,2022-08-21 00:00:00,ARRR/USDT,0.4405,0.4606,0.4341,0.4498,35204.6783,15767.18395884
1660953600,2022-08-20 00:00:00,ARRR/USDT,0.4407,0.4511,0.4297,0.4406,49593.4631,21837.60855792
1660867200,2022-08-19 00:00:00,ARRR/USDT,0.4816,0.4837,0.437,0.4407,103299.0729,47144.52178201
1660780800,2022-08-18 00:00:00,ARRR/USDT,0.4971,0.5088,0.4706,0.4819,126308.93496779,61389.406489335532
1660694400,2022-08-17 00:00:00,ARRR/USDT,0.5114,0.5313,0.489,0.4972,77612.3934,39211.48655558
1660608000,2022-08-16 00:00:00,ARRR/USDT,0.5117,0.531,0.5005,0.5122,80542.9438,41419.64869211
1660521600,2022-08-15 00:00:00,ARRR/USDT,0.5123,0.5306,0.5001,0.5125,81216.4891,41808.53206578
1660435200,2022-08-14 00:00:00,ARRR/USDT,0.5205,0.5341,0.5,0.5133,178337.3977,91841.33184427
1660348800,2022-08-13 00:00:00,ARRR/USDT,0.5285,0.5498,0.52,0.5205,60140.8219,32017.16361057
1660262400,2022-08-12 00:00:00,ARRR/USDT,0.515,0.54,0.506,0.5301,54619.1511,28432.67746042
1660176000,2022-08-11 00:00:00,ARRR/USDT,0.5343,0.5373,0.5052,0.5108,106658.4282,55712.00954183
1660089600,2022-08-10 00:00:00,ARRR/USDT,0.5142,0.5406,0.5049,0.5386,172914.3142,90265.93536731
1660003200,2022-08-09 00:00:00,ARRR/USDT,0.5834,0.6,0.51,0.5184,137761.6317,76260.0890367
1659916800,2022-08-08 00:00:00,ARRR/USDT,0.5278,0.5934,0.5208,0.5834,192447.7391,109259.0044904
1659830400,2022-08-07 00:00:00,ARRR/USDT,0.5045,0.55,0.5006,0.5278,68949.4659,36185.88365792
1659744000,2022-08-06 00:00:00,ARRR/USDT,0.5134,0.5232,0.5024,0.504,18786.1374,9541.34891733
1659657600,2022-08-05 00:00:00,ARRR/USDT,0.4952,0.5174,0.4866,0.5128,55615.3236,27988.38930125
1659571200,2022-08-04 00:00:00,ARRR/USDT,0.5062,0.5251,0.4878,0.4992,77505.2042,39372.46563442
1659484800,2022-08-03 00:00:00,ARRR/USDT,0.5405,0.5571,0.5,0.5074,184799.0451,95830.54112845
1659398400,2022-08-02 00:00:00,ARRR/USDT,0.548,0.5512,0.54,0.5438,29839.4728,16193.58274218
1659312000,2022-08-01 00:00:00,ARRR/USDT,0.5631,0.5718,0.54,0.548,73327.8293,40905.24797748
1659225600,2022-07-31 00:00:00,ARRR/USDT,0.5757,0.576,0.5623,0.563,31217.0067,17829.90463415
1659139200,2022-07-30 00:00:00,ARRR/USDT,0.5727,0.5999,0.5612,0.5757,53239.1012,30827.60796243
1659052800,2022-07-29 00:00:00,ARRR/USDT,0.5726,0.5916,0.55,0.5727,78269.2732,44318.10308786
1658966400,2022-07-28 00:00:00,ARRR/USDT,0.56,0.5758,0.5547,0.5725,60254.6091,34102.86759065
1658880000,2022-07-27 00:00:00,ARRR/USDT,0.5301,0.562,0.524,0.562,82845.29,44934.1699594
1658793600,2022-07-26 00:00:00,ARRR/USDT,0.5435,0.5452,0.51,0.5275,70629.7533,37054.73185956
1658707200,2022-07-25 00:00:00,ARRR/USDT,0.5842,0.589,0.5425,0.5464,56755.4054,31646.16535078
1658620800,2022-07-24 00:00:00,ARRR/USDT,0.556,0.595,0.5538,0.5851,62647.9785,36321.90129957
1658534400,2022-07-23 00:00:00,ARRR/USDT,0.5561,0.6134,0.54,0.5551,85148.14380882,48145.0424138328
1658448000,2022-07-22 00:00:00,ARRR/USDT,0.5855,0.6024,0.55,0.5597,77180.3263,44406.04599965
1658361600,2022-07-21 00:00:00,ARRR/USDT,0.602,0.607,0.5621,0.585,68300.2708,39860.83531959
1658275200,2022-07-20 00:00:00,ARRR/USDT,0.6458,0.6754,0.594,0.6009,262548.22100613,165611.447862040643
1658188800,2022-07-19 00:00:00,ARRR/USDT,0.632,0.674,0.608,0.6459,145751.59084856,94111.32969113046
1658102400,2022-07-18 00:00:00,ARRR/USDT,0.5342,0.67,0.5341,0.632,334493.55111912,202794.463806116758
1658016000,2022-07-17 00:00:00,ARRR/USDT,0.5226,0.5583,0.5198,0.5341,167093.82525024,90401.944144486913
1657929600,2022-07-16 00:00:00,ARRR/USDT,0.5252,0.5544,0.501,0.5249,81419.57022821,42766.24759445097
1657843200,2022-07-15 00:00:00,ARRR/USDT,0.5258,0.5367,0.5091,0.5252,80470.73691454,41886.280925950756
1657756800,2022-07-14 00:00:00,ARRR/USDT,0.492,0.5304,0.4855,0.5257,84299.16727552,42855.918473838037
1657670400,2022-07-13 00:00:00,ARRR/USDT,0.4598,0.4921,0.455,0.4908,97091.46879173,45837.875594061631
1657584000,2022-07-12 00:00:00,ARRR/USDT,0.5062,0.5073,0.4489,0.4598,193783.38347702,94051.875092558955
1657497600,2022-07-11 00:00:00,ARRR/USDT,0.5126,0.5369,0.5035,0.5065,177480.92976592,92343.33157798007
1657411200,2022-07-10 00:00:00,ARRR/USDT,0.5104,0.5269,0.48,0.515,127128.84054435,63722.172053655795
1657324800,2022-07-09 00:00:00,ARRR/USDT,0.5282,0.5399,0.5045,0.5145,57320.46278231,29929.954016427554
1657238400,2022-07-08 00:00:00,ARRR/USDT,0.4481,0.5969,0.4477,0.5282,442565.71325237,231205.193381007557
1657152000,2022-07-07 00:00:00,ARRR/USDT,0.4361,0.454,0.4184,0.4455,61834.8583297,26875.576230739033
1657065600,2022-07-06 00:00:00,ARRR/USDT,0.425,0.44,0.4107,0.4353,52551.9196613,22117.490356389191
1656979200,2022-07-05 00:00:00,ARRR/USDT,0.4207,0.44,0.4145,0.425,94686.6243518,40082.964260548362
1656892800,2022-07-04 00:00:00,ARRR/USDT,0.4187,0.425,0.4023,0.4214,47845.93109628,19659.775938528966
1656806400,2022-07-03 00:00:00,ARRR/USDT,0.4178,0.4283,0.4102,0.4187,42586.41978171,17738.659484575765
1656720000,2022-07-02 00:00:00,ARRR/USDT,0.4147,0.469,0.3941,0.4178,269669.74797184,114057.882285948942
1656633600,2022-07-01 00:00:00,ARRR/USDT,0.4041,0.4349,0.3937,0.4148,211279.67184476,87194.257057581305
1656547200,2022-06-30 00:00:00,ARRR/USDT,0.4332,0.4336,0.39,0.4041,139033.85273932,55999.679259603624
1656460800,2022-06-29 00:00:00,ARRR/USDT,0.456,0.4597,0.426,0.433,76515.68383154,33645.815194646274
1656374400,2022-06-28 00:00:00,ARRR/USDT,0.4645,0.48,0.443,0.4564,138576.80111753,63947.996183689968
1656288000,2022-06-27 00:00:00,ARRR/USDT,0.5318,0.5381,0.4615,0.4658,190207.11852593,95628.878696103867
1656201600,2022-06-26 00:00:00,ARRR/USDT,0.544,0.586,0.5127,0.5318,105309.08277881,56286.68542266246
1656115200,2022-06-25 00:00:00,ARRR/USDT,0.459,0.564,0.459,0.5472,226048.44277891,116390.201561221675
1656028800,2022-06-24 00:00:00,ARRR/USDT,0.4381,0.4699,0.4359,0.459,121726.24091797,55192.566117425429
