https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume GEEQ,Volume USDT
1663459200,2022-09-18 00:00:00,GEEQ/USDT,0.1246,0.125,0.1235,0.1241,169189.5469,21020.23066512
1663372800,2022-09-17 00:00:00,GEEQ/USDT,0.1139,0.1259,0.1137,0.1243,4444077.0081,520860.08508262
1663286400,2022-09-16 00:00:00,GEEQ/USDT,0.1178,0.1228,0.1104,0.1141,4987503.623,567933.50492374
1663200000,2022-09-15 00:00:00,GEEQ/USDT,0.1253,0.1264,0.1041,0.1178,5923059.1349,708885.99395071
1663113600,2022-09-14 00:00:00,GEEQ/USDT,0.1227,0.1289,0.1187,0.1254,6753823.3523,832502.82939031
1663027200,2022-09-13 00:00:00,GEEQ/USDT,0.1255,0.1313,0.1184,0.1222,7819269.4253,969075.84996308
1662940800,2022-09-12 00:00:00,GEEQ/USDT,0.1348,0.1357,0.1213,0.1257,7836216.9561,1007663.96905011
1662854400,2022-09-11 00:00:00,GEEQ/USDT,0.1363,0.1598,0.1313,0.1349,7547223.3264,1049226.68497148
1662768000,2022-09-10 00:00:00,GEEQ/USDT,0.1205,0.1432,0.1175,0.136,7339085.4726,912119.6370369
1662681600,2022-09-09 00:00:00,GEEQ/USDT,0.131,0.1354,0.12,0.1209,6781370.1922,866466.90158033
1662595200,2022-09-08 00:00:00,GEEQ/USDT,0.1372,0.1401,0.1308,0.131,4458304.54,602391.94009471
1662508800,2022-09-07 00:00:00,GEEQ/USDT,0.1384,0.1452,0.1351,0.138,4264860.2849,589058.18853486
1662422400,2022-09-06 00:00:00,GEEQ/USDT,0.1466,0.152,0.1381,0.1384,2115691.8781,303906.601699
1662336000,2022-09-05 00:00:00,GEEQ/USDT,0.1459,0.1587,0.14,0.1459,1642746.5367,242699.34102294
1662249600,2022-09-04 00:00:00,GEEQ/USDT,0.1454,0.1588,0.1411,0.1468,1469763.093,213156.34260296
1662163200,2022-09-03 00:00:00,GEEQ/USDT,0.1481,0.1536,0.1411,0.1441,1693419.6244,248613.52934289
1662076800,2022-09-02 00:00:00,GEEQ/USDT,0.154,0.1595,0.1458,0.1479,1778050.8104,265808.92008688
1661990400,2022-09-01 00:00:00,GEEQ/USDT,0.1467,0.1559,0.1439,0.1548,2145815.1721,316008.31752715
1661904000,2022-08-31 00:00:00,GEEQ/USDT,0.1521,0.1575,0.1458,0.1471,2248753.4237,341180.49765213
1661817600,2022-08-30 00:00:00,GEEQ/USDT,0.152,0.1569,0.1431,0.1512,2349395.7229,353679.26663191
1661731200,2022-08-29 00:00:00,GEEQ/USDT,0.1408,0.1581,0.1407,0.1513,2492841.0756,372031.42375441
1661644800,2022-08-28 00:00:00,GEEQ/USDT,0.1393,0.1575,0.1385,0.141,2308029.912,335911.71003542
1661558400,2022-08-27 00:00:00,GEEQ/USDT,0.1406,0.1435,0.1351,0.1395,1596443.9946,222347.77020141
1661472000,2022-08-26 00:00:00,GEEQ/USDT,0.1578,0.1613,0.1406,0.1406,1836444.7797,275398.04517943
1661385600,2022-08-25 00:00:00,GEEQ/USDT,0.1604,0.1652,0.1526,0.1575,1263340.8733,200359.71687346
1661299200,2022-08-24 00:00:00,GEEQ/USDT,0.1627,0.1646,0.1537,0.1607,1546356.6773,245468.82285171
1661212800,2022-08-23 00:00:00,GEEQ/USDT,0.1423,0.1647,0.1422,0.1621,1740246.8474,260989.2274128
1661126400,2022-08-22 00:00:00,GEEQ/USDT,0.1476,0.1486,0.138,0.1434,1872894.4417,267980.3276097
1661040000,2022-08-21 00:00:00,GEEQ/USDT,0.1524,0.1558,0.1439,0.1483,1948703.288,292426.14137631
1660953600,2022-08-20 00:00:00,GEEQ/USDT,0.1521,0.1699,0.15,0.1528,2355381.5264,378797.50240586
1660867200,2022-08-19 00:00:00,GEEQ/USDT,0.1674,0.1698,0.1513,0.1523,2710642.4203,427990.64889301
1660780800,2022-08-18 00:00:00,GEEQ/USDT,0.164,0.1847,0.14,0.1668,4048011.7552,651603.11936339
1660694400,2022-08-17 00:00:00,GEEQ/USDT,0.1439,0.175,0.1421,0.1629,3614909.5372,566387.04443196
1660608000,2022-08-16 00:00:00,GEEQ/USDT,0.1523,0.1603,0.1362,0.1439,2590187.2536,386807.65555072
1660521600,2022-08-15 00:00:00,GEEQ/USDT,0.1679,0.1717,0.1511,0.153,1875539.8084,300454.361983
