https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume WILD,Volume USDT
1663459200,2022-09-18 00:00:00,WILD/USDT,0.2492,0.2503,0.2476,0.2476,413.938,102.79219094
1663372800,2022-09-17 00:00:00,WILD/USDT,0.2357,0.25,0.232,0.249,142681.5424,34494.77980291
1663286400,2022-09-16 00:00:00,WILD/USDT,0.2386,0.2443,0.2262,0.2354,208293.2222,49073.99221118
1663200000,2022-09-15 00:00:00,WILD/USDT,0.2543,0.2577,0.236,0.237,180533.1114,44176.35986564
1663113600,2022-09-14 00:00:00,WILD/USDT,0.2492,0.26,0.2417,0.2558,257511.7038,64358.04799631
1663027200,2022-09-13 00:00:00,WILD/USDT,0.2819,0.2839,0.2472,0.2472,529400.9855,137226.48262666
1662940800,2022-09-12 00:00:00,WILD/USDT,0.2924,0.3063,0.2687,0.2805,455615.0448012,129808.1570099954
1662854400,2022-09-11 00:00:00,WILD/USDT,0.2794,0.3099,0.2687,0.2915,576015.0607,166493.08658622
1662768000,2022-09-10 00:00:00,WILD/USDT,0.2672,0.2817,0.261,0.2791,236548.669,63636.34950012
1662681600,2022-09-09 00:00:00,WILD/USDT,0.2476,0.2698,0.2446,0.2673,189115.6277,49044.21150551
1662595200,2022-09-08 00:00:00,WILD/USDT,0.2423,0.2512,0.2366,0.2468,159788.9388,38948.97181321
1662508800,2022-09-07 00:00:00,WILD/USDT,0.2338,0.26,0.2247,0.2421,412313.1493,98643.49352911
1662422400,2022-09-06 00:00:00,WILD/USDT,0.2417,0.2554,0.2316,0.2335,403735.2681,97627.77283099
1662336000,2022-09-05 00:00:00,WILD/USDT,0.2398,0.2439,0.2313,0.2416,110604.5053,26278.99835906
1662249600,2022-09-04 00:00:00,WILD/USDT,0.2391,0.2511,0.2297,0.2388,143362.2084,34181.09505836
1662163200,2022-09-03 00:00:00,WILD/USDT,0.2429,0.2494,0.2297,0.2391,141427.7814,33756.69163941
1662076800,2022-09-02 00:00:00,WILD/USDT,0.2482,0.259,0.2403,0.2424,232644.3702,57563.06478458
1661990400,2022-09-01 00:00:00,WILD/USDT,0.2551,0.2646,0.2297,0.2482,273794.6826,67281.73963038
1661904000,2022-08-31 00:00:00,WILD/USDT,0.2548,0.2885,0.2477,0.2546,194941.91027437,51151.961052725298
1661817600,2022-08-30 00:00:00,WILD/USDT,0.2599,0.267,0.2416,0.2531,349472.36489674,89198.629251260003
1661731200,2022-08-29 00:00:00,WILD/USDT,0.2431,0.2656,0.2301,0.2579,437747.62072485,107535.11804383518
1661644800,2022-08-28 00:00:00,WILD/USDT,0.239,0.2752,0.2323,0.2426,439152.25482715,109217.307747079993
1661558400,2022-08-27 00:00:00,WILD/USDT,0.2421,0.2467,0.2297,0.239,395908.50552045,94682.485906001154
1661472000,2022-08-26 00:00:00,WILD/USDT,0.2861,0.2917,0.24,0.2412,754994.09380022,200817.575555277705
1661385600,2022-08-25 00:00:00,WILD/USDT,0.2826,0.2945,0.2779,0.2848,312254.97192887,89978.265961251397
1661299200,2022-08-24 00:00:00,WILD/USDT,0.2892,0.2919,0.2731,0.2813,273148.8567539,77145.379944079393
1661212800,2022-08-23 00:00:00,WILD/USDT,0.2883,0.3011,0.2795,0.2893,211533.3962602,61142.40490627166
1661126400,2022-08-22 00:00:00,WILD/USDT,0.2987,0.3044,0.2701,0.286,288014.81224794,82012.816818255932
1661040000,2022-08-21 00:00:00,WILD/USDT,0.2871,0.3347,0.275,0.2987,578794.29314149,172235.392443192198
1660953600,2022-08-20 00:00:00,WILD/USDT,0.2837,0.3034,0.2685,0.2864,325385.15517704,92564.684775829121
1660867200,2022-08-19 00:00:00,WILD/USDT,0.3298,0.3298,0.277,0.2818,792493.20280211,238924.903609696012
1660780800,2022-08-18 00:00:00,WILD/USDT,0.3476,0.3618,0.3244,0.3298,488533.50374575,168484.061961602025
1660694400,2022-08-17 00:00:00,WILD/USDT,0.367,0.3927,0.342,0.3471,546895.37622312,197792.328325835571
1660608000,2022-08-16 00:00:00,WILD/USDT,0.3808,0.395,0.3518,0.3661,579856.5863379,215675.869480955479
1660521600,2022-08-15 00:00:00,WILD/USDT,0.4311,0.4436,0.3591,0.3786,1141098.76798039,453458.543071469311
1660435200,2022-08-14 00:00:00,WILD/USDT,0.4661,0.4777,0.43,0.4311,351648.44559666,159623.715156186937
1660348800,2022-08-13 00:00:00,WILD/USDT,0.4596,0.4868,0.4551,0.4665,843878.89599029,398869.848299921602
1660262400,2022-08-12 00:00:00,WILD/USDT,0.4478,0.5,0.4386,0.4599,444017.73107528,202835.070190763153
1660176000,2022-08-11 00:00:00,WILD/USDT,0.4669,0.4998,0.4475,0.4478,417032.03135113,198979.178650832935
1660089600,2022-08-10 00:00:00,WILD/USDT,0.4375,0.48,0.415,0.4679,516950.51866231,235118.015751188182
1660003200,2022-08-09 00:00:00,WILD/USDT,0.4574,0.4632,0.4176,0.4401,359374.57459331,155532.243463163431
1659916800,2022-08-08 00:00:00,WILD/USDT,0.4365,0.4899,0.4344,0.4581,559527.75017674,260378.626567055292
1659830400,2022-08-07 00:00:00,WILD/USDT,0.4415,0.4532,0.4265,0.4365,327196.89768737,143886.875571053476
1659744000,2022-08-06 00:00:00,WILD/USDT,0.4489,0.4731,0.4382,0.4415,481369.16951717,218142.842107784535
1659657600,2022-08-05 00:00:00,WILD/USDT,0.4276,0.4685,0.4166,0.449,671445.16455142,299549.243397767969
1659571200,2022-08-04 00:00:00,WILD/USDT,0.4305,0.4553,0.415,0.4275,330920.77486376,143817.622903031181
1659484800,2022-08-03 00:00:00,WILD/USDT,0.4594,0.4932,0.4267,0.4297,806541.90381432,369992.09393925674
1659398400,2022-08-02 00:00:00,WILD/USDT,0.4552,0.521,0.41,0.4583,1037905.10941829,463556.974740018586
1659312000,2022-08-01 00:00:00,WILD/USDT,0.4888,0.5097,0.4205,0.4581,879994.98121536,407428.724888150097
1659225600,2022-07-31 00:00:00,WILD/USDT,0.4383,0.5288,0.4332,0.4872,1050739.36849835,505311.285659373572
1659139200,2022-07-30 00:00:00,WILD/USDT,0.4041,0.4735,0.3889,0.4395,1222509.15104777,529704.9613859176
1659052800,2022-07-29 00:00:00,WILD/USDT,0.3975,0.4145,0.37,0.4064,750276.24748017,292514.577059143943
1658966400,2022-07-28 00:00:00,WILD/USDT,0.3796,0.4109,0.3584,0.3995,706422.58943134,268506.655588552402
1658880000,2022-07-27 00:00:00,WILD/USDT,0.3365,0.3807,0.3265,0.3784,564098.87900919,197978.854994958869
1658793600,2022-07-26 00:00:00,WILD/USDT,0.3506,0.354,0.3073,0.3364,461334.56646467,151396.631779577661
1658707200,2022-07-25 00:00:00,WILD/USDT,0.3725,0.38,0.3378,0.3502,793112.73201052,287274.135307903565
1658620800,2022-07-24 00:00:00,WILD/USDT,0.3749,0.3875,0.3625,0.3742,192917.90838372,72217.830751422691
1658534400,2022-07-23 00:00:00,WILD/USDT,0.3692,0.4034,0.3585,0.3749,411800.02846338,154728.580816226101
1658448000,2022-07-22 00:00:00,WILD/USDT,0.3685,0.4082,0.347,0.3692,727131.47241836,268348.613814688331
1658361600,2022-07-21 00:00:00,WILD/USDT,0.3398,0.3798,0.3242,0.3679,964500.65900877,335387.260647045166
1658275200,2022-07-20 00:00:00,WILD/USDT,0.4069,0.4315,0.3276,0.3422,1564771.5035718,599550.548449571937
1658188800,2022-07-19 00:00:00,WILD/USDT,0.3668,0.4206,0.3335,0.4071,1465251.47365789,552683.957431588628
1658102400,2022-07-18 00:00:00,WILD/USDT,0.3089,0.394,0.298,0.3686,965236.83583131,325053.429673467699
1658016000,2022-07-17 00:00:00,WILD/USDT,0.3496,0.3707,0.2988,0.3089,1000399.56902859,333218.186366049297
1657929600,2022-07-16 00:00:00,WILD/USDT,0.3004,0.3839,0.2769,0.3495,723869.5796617,229413.707283344137
1657843200,2022-07-15 00:00:00,WILD/USDT,0.2937,0.32,0.2893,0.3008,1191482.48812115,363553.087846105086
1657756800,2022-07-14 00:00:00,WILD/USDT,0.2589,0.3,0.2434,0.2935,1594925.87470337,422902.530007733236
1657670400,2022-07-13 00:00:00,WILD/USDT,0.2128,0.2691,0.1893,0.2589,3232419.47815464,729429.563989265361
1657584000,2022-07-12 00:00:00,WILD/USDT,0.2024,0.2188,0.1987,0.2128,396455.3190335,82414.474097593655
1657497600,2022-07-11 00:00:00,WILD/USDT,0.2166,0.2227,0.1995,0.2025,548142.26507046,114977.123990576508
1657411200,2022-07-10 00:00:00,WILD/USDT,0.2284,0.2314,0.205,0.2171,338983.8673295,73605.894335488269
1657324800,2022-07-09 00:00:00,WILD/USDT,0.2146,0.233,0.2144,0.2291,510955.88234482,114002.171575243493
1657238400,2022-07-08 00:00:00,WILD/USDT,0.2394,0.2399,0.2021,0.2161,916810.38518597,198317.846930170926
1657152000,2022-07-07 00:00:00,WILD/USDT,0.2094,0.27,0.2081,0.2388,1876544.61982907,446440.542978862151
1657065600,2022-07-06 00:00:00,WILD/USDT,0.1882,0.2155,0.1828,0.21,417371.02370091,82781.875447754614
1656979200,2022-07-05 00:00:00,WILD/USDT,0.1972,0.1983,0.1842,0.1892,232718.67274331,44040.126273154749
1656892800,2022-07-04 00:00:00,WILD/USDT,0.1845,0.1987,0.1756,0.1985,287661.5776575,53295.250240297464
1656806400,2022-07-03 00:00:00,WILD/USDT,0.1794,0.1845,0.175,0.1843,184303.19751231,33073.951054223359
1656720000,2022-07-02 00:00:00,WILD/USDT,0.183,0.1849,0.1742,0.1792,362450.58033539,64605.483716198328
1656633600,2022-07-01 00:00:00,WILD/USDT,0.1816,0.1952,0.1805,0.1831,746125.85444537,141092.625180788241
1656547200,2022-06-30 00:00:00,WILD/USDT,0.192,0.198,0.1739,0.1816,464872.53414921,85050.510349987688
1656460800,2022-06-29 00:00:00,WILD/USDT,0.2005,0.204,0.1856,0.192,404290.05338425,78054.53930483316
1656374400,2022-06-28 00:00:00,WILD/USDT,0.2126,0.2201,0.1984,0.1994,220160.85378295,45677.574548325324
