https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume UNI3S,Volume USDT
1663459200,2022-09-18 00:00:00,UNI3S/USDT,0.8425,0.861,0.8425,0.849,518.6447,439.19814654
1663372800,2022-09-17 00:00:00,UNI3S/USDT,0.9304,0.9354,0.8326,0.8326,16229.5428,14102.55186848
1663286400,2022-09-16 00:00:00,UNI3S/USDT,0.8981,1.0061,0.8855,0.929,28762.1836,26849.81623866
1663200000,2022-09-15 00:00:00,UNI3S/USDT,0.7893,0.9472,0.7736,0.9009,64578.3794,56159.85254359
1663113600,2022-09-14 00:00:00,UNI3S/USDT,0.8513,0.8845,0.77,0.7861,86266.8443,70277.39096204
1663027200,2022-09-13 00:00:00,UNI3S/USDT,0.6634,0.8603,0.6362,0.848,197563.8485,147877.54979725
1662940800,2022-09-12 00:00:00,UNI3S/USDT,0.7273,0.7599,0.5681,0.6638,170409.8736,107002.07849195
1662854400,2022-09-11 00:00:00,UNI3S/USDT,0.6634,0.7598,0.6535,0.7217,172460.6156,123648.23708067
1662768000,2022-09-10 00:00:00,UNI3S/USDT,0.7137,0.7486,0.6541,0.6684,114770.3735,81239.74647015
1662681600,2022-09-09 00:00:00,UNI3S/USDT,0.8542,0.8614,0.6384,0.7311,160172.67776613,114122.33922732397
1662595200,2022-09-08 00:00:00,UNI3S/USDT,0.8784,0.9529,0.8201,0.8637,80483.4033,71471.27975106
1662508800,2022-09-07 00:00:00,UNI3S/USDT,1.041,1.0998,0.8287,0.89,40371.1416,39621.00856633
1662422400,2022-09-06 00:00:00,UNI3S/USDT,0.7695,1.0523,0.7223,1.0336,132849.60545177,117751.736108737391
1662336000,2022-09-05 00:00:00,UNI3S/USDT,0.8088,0.9227,0.7477,0.776,42956.2749,36132.76505022
1662249600,2022-09-04 00:00:00,UNI3S/USDT,0.8964,0.9223,0.7987,0.8089,88659.556,74960.57948908
1662163200,2022-09-03 00:00:00,UNI3S/USDT,0.8538,0.9268,0.8538,0.8952,29380.4595,26323.01676292
1662076800,2022-09-02 00:00:00,UNI3S/USDT,0.8851,0.9349,0.7403,0.8538,93936.0511,80237.88999596
1661990400,2022-09-01 00:00:00,UNI3S/USDT,0.9816,1.0697,0.8721,0.8888,125030.189,123372.84228567
1661904000,2022-08-31 00:00:00,UNI3S/USDT,0.9691,1.0159,0.862,0.9829,87324.16604832,81480.8768583556
1661817600,2022-08-30 00:00:00,UNI3S/USDT,0.9195,1.1212,0.8473,0.9831,187482.08852446,180015.815492710898
1661731200,2022-08-29 00:00:00,UNI3S/USDT,1.3089,1.3537,0.8731,0.9014,217179.19652443,223811.527940192541
1661644800,2022-08-28 00:00:00,UNI3S/USDT,1.144,1.3268,1.1081,1.309,80888.78091846,96784.550732944766
1661558400,2022-08-27 00:00:00,UNI3S/USDT,1.0969,1.1971,1.0577,1.1316,104323.39521845,116641.280692085752
