https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume SNX,Volume EUR
1663545600,2022-09-19 00:00:00,SNX/EUR,2.42907,2.42907,2.42907,2.42907,46.74873000,113.5559375811
1663542000,2022-09-18 23:00:00,SNX/EUR,2.46345,2.46345,2.46345,2.46345,0.00000000,0.0
1663538400,2022-09-18 22:00:00,SNX/EUR,2.46345,2.46345,2.46345,2.46345,0.00000000,0.0
1663534800,2022-09-18 21:00:00,SNX/EUR,2.50052,2.50052,2.35159,2.46345,990.28804896,2439.5250942105117
1663531200,2022-09-18 20:00:00,SNX/EUR,2.55210,2.55210,2.54860,2.54860,187.91708321,478.92547826900596
1663527600,2022-09-18 19:00:00,SNX/EUR,2.55389,2.55389,2.55389,2.55389,89.42109905,228.37165065280448
1663524000,2022-09-18 18:00:00,SNX/EUR,2.54999,2.54999,2.54999,2.54999,0.00000000,0.0
1663520400,2022-09-18 17:00:00,SNX/EUR,2.56263,2.56263,2.54999,2.54999,14.71673632,37.5275304486368
1663516800,2022-09-18 16:00:00,SNX/EUR,2.55113,2.55686,2.55113,2.55439,155.92547561,398.2944756434279
1663513200,2022-09-18 15:00:00,SNX/EUR,2.59248,2.59249,2.59248,2.59249,860.00000000,2229.5414
1663509600,2022-09-18 14:00:00,SNX/EUR,2.61071,2.61071,2.61071,2.61071,39.53932584,103.2257133637464
1663506000,2022-09-18 13:00:00,SNX/EUR,2.62609,2.62609,2.61884,2.61884,165.91798154,434.5126467762136
1663502400,2022-09-18 12:00:00,SNX/EUR,2.61305,2.61305,2.61305,2.61305,70.36794000,183.874945617
1663498800,2022-09-18 11:00:00,SNX/EUR,2.68780,2.68780,2.68780,2.68780,0.00000000,0.0
1663495200,2022-09-18 10:00:00,SNX/EUR,2.68780,2.68780,2.68780,2.68780,0.00000000,0.0
1663491600,2022-09-18 09:00:00,SNX/EUR,2.68780,2.68780,2.68780,2.68780,0.00000000,0.0
1663488000,2022-09-18 08:00:00,SNX/EUR,2.68780,2.68780,2.68780,2.68780,0.00000000,0.0
1663484400,2022-09-18 07:00:00,SNX/EUR,2.68780,2.68780,2.68780,2.68780,0.00000000,0.0
1663480800,2022-09-18 06:00:00,SNX/EUR,2.68780,2.68780,2.68780,2.68780,0.00000000,0.0
1663477200,2022-09-18 05:00:00,SNX/EUR,2.68780,2.68780,2.68780,2.68780,0.00000000,0.0
1663473600,2022-09-18 04:00:00,SNX/EUR,2.68780,2.68780,2.68780,2.68780,21.48465105,57.74644509219
1663470000,2022-09-18 03:00:00,SNX/EUR,2.70624,2.70624,2.70624,2.70624,0.00000000,0.0
1663466400,2022-09-18 02:00:00,SNX/EUR,2.70624,2.70624,2.70624,2.70624,0.00000000,0.0
1663462800,2022-09-18 01:00:00,SNX/EUR,2.70624,2.70624,2.70624,2.70624,0.00000000,0.0
1663459200,2022-09-18 00:00:00,SNX/EUR,2.70957,2.70957,2.70624,2.70624,269.58033442,729.5490842207809
1663455600,2022-09-17 23:00:00,SNX/EUR,2.73632,2.73632,2.73614,2.73614,185.06465000,506.36279145099996
1663452000,2022-09-17 22:00:00,SNX/EUR,2.70883,2.71039,2.70883,2.71039,100.00000000,271.039
1663448400,2022-09-17 21:00:00,SNX/EUR,2.69220,2.69220,2.69220,2.69220,12.92319000,34.791812118
1663444800,2022-09-17 20:00:00,SNX/EUR,2.70896,2.70896,2.70896,2.70896,0.00000000,0.0
1663441200,2022-09-17 19:00:00,SNX/EUR,2.70896,2.70896,2.70896,2.70896,0.00000000,0.0
1663437600,2022-09-17 18:00:00,SNX/EUR,2.70896,2.70896,2.70896,2.70896,0.00000000,0.0
1663434000,2022-09-17 17:00:00,SNX/EUR,2.70896,2.70896,2.70896,2.70896,68.94000000,186.7557024
1663430400,2022-09-17 16:00:00,SNX/EUR,2.67946,2.67946,2.67946,2.67946,35.51874610,95.17105942510601
1663426800,2022-09-17 15:00:00,SNX/EUR,2.66961,2.66961,2.66961,2.66961,31.46946200,84.01119044982
1663423200,2022-09-17 14:00:00,SNX/EUR,2.62677,2.62677,2.62677,2.62677,0.00000000,0.0
1663419600,2022-09-17 13:00:00,SNX/EUR,2.63099,2.63099,2.62677,2.62677,58.00000000,152.35266000000001
1663416000,2022-09-17 12:00:00,SNX/EUR,2.66597,2.66597,2.66597,2.66597,0.00000000,0.0
1663412400,2022-09-17 11:00:00,SNX/EUR,2.66597,2.66597,2.66597,2.66597,0.00000000,0.0
1663408800,2022-09-17 10:00:00,SNX/EUR,2.66597,2.66597,2.66597,2.66597,0.00000000,0.0
