https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume HAPI,Volume USDT
1663459200,2022-09-18 00:00:00,HAPI/USDT,8.2045,8.2609,8.1586,8.2609,510.8519,4188.03239804
1663372800,2022-09-17 00:00:00,HAPI/USDT,8.1752,8.3326,8.0594,8.215,27260.789,223275.8300064
1663286400,2022-09-16 00:00:00,HAPI/USDT,7.8966,8.2143,7.7807,8.1965,27989.3392,222765.60202768
1663200000,2022-09-15 00:00:00,HAPI/USDT,8.15,8.1999,7.7729,7.9188,27022.4009,217459.51699614
1663113600,2022-09-14 00:00:00,HAPI/USDT,8.0483,8.2899,7.979,8.1872,27336.092,221797.04722519
1663027200,2022-09-13 00:00:00,HAPI/USDT,8.3437,8.3849,7.9775,8.0725,26862.0592,220455.85499504
1662940800,2022-09-12 00:00:00,HAPI/USDT,8.5314,8.614,8.27,8.3688,26415.4194,223805.68724173
1662854400,2022-09-11 00:00:00,HAPI/USDT,8.6283,8.675,8.3916,8.5656,25977.6419,221831.22825804
1662768000,2022-09-10 00:00:00,HAPI/USDT,8.4841,8.8301,8.2195,8.6584,26228.6729,222779.84213277
1662681600,2022-09-09 00:00:00,HAPI/USDT,8.1155,8.6421,8.1004,8.4839,26593.5999,222785.05081615
1662595200,2022-09-08 00:00:00,HAPI/USDT,8.0303,8.2015,7.8129,8.144,27104.2537,218716.34203278
1662508800,2022-09-07 00:00:00,HAPI/USDT,8.0852,8.4206,7.7757,8.0585,27229.699,219519.70937455
1662422400,2022-09-06 00:00:00,HAPI/USDT,8.0342,8.3447,7.8765,8.1136,21479.4711,174290.76162379
1662336000,2022-09-05 00:00:00,HAPI/USDT,8.1911,8.4998,7.9174,8.0195,28308.5176,229791.16660935
1662249600,2022-09-04 00:00:00,HAPI/USDT,8.2349,8.3026,7.6845,8.2248,30437.4129,244208.54935583
1662163200,2022-09-03 00:00:00,HAPI/USDT,8.1889,8.3565,8.0894,8.2646,29640.1355,243774.8406653
1662076800,2022-09-02 00:00:00,HAPI/USDT,8.323,8.4801,8.0501,8.1588,30505.7754,255549.79236272
1661990400,2022-09-01 00:00:00,HAPI/USDT,8.5464,8.6235,8.05,8.3551,30199.9944,252908.86990118
1661904000,2022-08-31 00:00:00,HAPI/USDT,8.8128,8.8997,8.3846,8.5716,31086.3402,267844.70626445
1661817600,2022-08-30 00:00:00,HAPI/USDT,9.0053,9.183,8.3849,8.8437,29423.9933,260286.46365359
1661731200,2022-08-29 00:00:00,HAPI/USDT,8.9711,9.3219,8.7598,9.038,30090.9044,271776.18533604
1661644800,2022-08-28 00:00:00,HAPI/USDT,9.1089,9.5386,8.8519,9,29453.7107,272250.67790849
1661558400,2022-08-27 00:00:00,HAPI/USDT,9.1403,9.4057,8.8898,9.1392,28144.6325,259229.20216649
1661472000,2022-08-26 00:00:00,HAPI/USDT,10.0271,10.1148,8.8778,9.2099,27641.8144,264043.68274544
1661385600,2022-08-25 00:00:00,HAPI/USDT,10.2835,10.3247,9.8549,10.0647,23550.6632,236642.40484341
1661299200,2022-08-24 00:00:00,HAPI/USDT,10.6372,10.7633,10.086,10.3351,22760.3996,235640.134553
1661212800,2022-08-23 00:00:00,HAPI/USDT,10.0295,10.919,9.9392,10.6866,22843.5549,237870.2821646
1661126400,2022-08-22 00:00:00,HAPI/USDT,10.2848,10.485,9.8085,10.0651,23091.1089,233914.29096343
1661040000,2022-08-21 00:00:00,HAPI/USDT,9.614,10.4999,9.49,10.3432,24233.6617,238985.33533281
1660953600,2022-08-20 00:00:00,HAPI/USDT,9.5434,9.8936,9.4009,9.6637,24631.3597,238998.59038913
1660867200,2022-08-19 00:00:00,HAPI/USDT,10.8309,10.9077,9.3719,9.611,23408.0648,230877.4759147
1660780800,2022-08-18 00:00:00,HAPI/USDT,10.7185,11.1488,10.6283,10.8854,21994.9393,238471.02612162
1660694400,2022-08-17 00:00:00,HAPI/USDT,11.029,11.6576,10.6096,10.72,21428.2274,237971.73401081
1660608000,2022-08-16 00:00:00,HAPI/USDT,11.2644,11.3538,11,11.0858,16820.1751,187470.40440229
1660521600,2022-08-15 00:00:00,HAPI/USDT,11.0493,11.7638,10.7,11.3073,17917.3668,199325.15591141
1660435200,2022-08-14 00:00:00,HAPI/USDT,11.3618,11.5469,10.9518,11.0715,17800.1993,200357.24183431
1660348800,2022-08-13 00:00:00,HAPI/USDT,11.6411,12.4524,11.2267,11.2569,17460.65413406,210029.02415097
1660262400,2022-08-12 00:00:00,HAPI/USDT,10.732,11.9174,10.68,11.6302,18879.1469,206463.50342045
1660176000,2022-08-11 00:00:00,HAPI/USDT,10.4257,10.9927,10.4256,10.7331,19046.7881,203938.982444
1660089600,2022-08-10 00:00:00,HAPI/USDT,9.9981,10.5,9.7372,10.4256,17838.6245,180710.72879757
1660003200,2022-08-09 00:00:00,HAPI/USDT,10.0113,10.2455,9.7265,9.9937,26206.7832,260637.49507138
1659916800,2022-08-08 00:00:00,HAPI/USDT,9.1941,10.2278,9.1934,10.0137,21730.8746,214848.50826
1659830400,2022-08-07 00:00:00,HAPI/USDT,9.4529,9.6078,9.1664,9.2376,23685.8908,221729.16816901
1659744000,2022-08-06 00:00:00,HAPI/USDT,9.6913,9.7651,9.1859,9.519,23229.8055,221106.72947499
1659657600,2022-08-05 00:00:00,HAPI/USDT,9.3563,9.6907,9.3268,9.6907,18663.5018,177509.57980432
1659571200,2022-08-04 00:00:00,HAPI/USDT,9.6394,9.8287,9.2105,9.4194,18249.5758,173204.91044846
1659484800,2022-08-03 00:00:00,HAPI/USDT,9.5193,9.9457,9.2476,9.6856,16751.3594,160823.94122921
1659398400,2022-08-02 00:00:00,HAPI/USDT,9.5239,9.7043,9.1664,9.5228,17227.7101,164308.93023227
1659312000,2022-08-01 00:00:00,HAPI/USDT,9.8232,10.1189,9.48,9.5774,15784.7282,153136.64994095
1659225600,2022-07-31 00:00:00,HAPI/USDT,9.836,10.0285,9.6761,9.8358,16689.8386,164200.17277002
1659139200,2022-07-30 00:00:00,HAPI/USDT,9.9441,9.9903,9.556,9.8715,16993.9026,167391.7182521
