https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ATA,Volume USDT
1663459200,2022-09-18 00:00:00,ATA/USDT,0.1472,0.1472,0.1469,0.1469,3812.9524,560.8698776
1663372800,2022-09-17 00:00:00,ATA/USDT,0.1439,0.1483,0.1439,0.1483,100361.8608,14678.62447886
1663286400,2022-09-16 00:00:00,ATA/USDT,0.1445,0.1488,0.1408,0.1433,90415.5848,12987.299722
1663200000,2022-09-15 00:00:00,ATA/USDT,0.1511,0.1511,0.1431,0.1437,62460.0543,9178.10113374
1663113600,2022-09-14 00:00:00,ATA/USDT,0.15,0.1531,0.1462,0.1516,44824.5925,6702.76294032
1663027200,2022-09-13 00:00:00,ATA/USDT,0.1685,0.1686,0.15,0.151,82239.4412,13268.21168352
1662940800,2022-09-12 00:00:00,ATA/USDT,0.1675,0.1718,0.1602,0.1683,55615.5579,9270.3631573
1662854400,2022-09-11 00:00:00,ATA/USDT,0.1682,0.1705,0.1646,0.1675,63043.8914,10606.62073792
1662768000,2022-09-10 00:00:00,ATA/USDT,0.1701,0.1703,0.1645,0.1673,48316.8301,8093.61086617
1662681600,2022-09-09 00:00:00,ATA/USDT,0.155,0.1705,0.155,0.1705,152721.479,25145.59813686
1662595200,2022-09-08 00:00:00,ATA/USDT,0.1526,0.1556,0.149,0.1549,80752.7146,12347.19969344
1662508800,2022-09-07 00:00:00,ATA/USDT,0.1454,0.154,0.1439,0.1518,42342.0067,6348.06211807
1662422400,2022-09-06 00:00:00,ATA/USDT,0.1625,0.1666,0.1452,0.1457,243981.8326,37846.22320888
1662336000,2022-09-05 00:00:00,ATA/USDT,0.157,0.1625,0.1538,0.1622,113535.9674,17919.26230073
1662249600,2022-09-04 00:00:00,ATA/USDT,0.154,0.1609,0.1535,0.157,223222.5669,34738.78150902
1662163200,2022-09-03 00:00:00,ATA/USDT,0.1518,0.1546,0.1509,0.1535,57148.1431,8720.94904087
1662076800,2022-09-02 00:00:00,ATA/USDT,0.1597,0.1612,0.1516,0.1534,47629.2804,7471.2204196
1661990400,2022-09-01 00:00:00,ATA/USDT,0.1635,0.1647,0.1568,0.1596,55091.1897,8782.34448243
1661904000,2022-08-31 00:00:00,ATA/USDT,0.1644,0.1698,0.1625,0.1625,32853.7995,5425.79518311
1661817600,2022-08-30 00:00:00,ATA/USDT,0.1665,0.1686,0.1582,0.1639,20017.3486,3293.89553076
1661731200,2022-08-29 00:00:00,ATA/USDT,0.1556,0.1689,0.1532,0.1674,100920.6774,16154.77353862
1661644800,2022-08-28 00:00:00,ATA/USDT,0.1594,0.1642,0.155,0.1561,86315.781,13941.73808072
1661558400,2022-08-27 00:00:00,ATA/USDT,0.1601,0.1633,0.1561,0.1598,61914.813,9867.19730651
1661472000,2022-08-26 00:00:00,ATA/USDT,0.1727,0.1841,0.159,0.1598,287130.6628,49859.67193319
1661385600,2022-08-25 00:00:00,ATA/USDT,0.1735,0.1785,0.1715,0.1734,32998.9923,5774.46225061
1661299200,2022-08-24 00:00:00,ATA/USDT,0.1734,0.1777,0.1688,0.1725,73091.1505,12765.90632714
1661212800,2022-08-23 00:00:00,ATA/USDT,0.1691,0.1737,0.1645,0.1723,22014.4069,3745.87202901
1661126400,2022-08-22 00:00:00,ATA/USDT,0.1722,0.1733,0.1625,0.1686,167709.7751,27875.61569459
1661040000,2022-08-21 00:00:00,ATA/USDT,0.1726,0.1835,0.1675,0.1723,349035.9865,61135.53175811
1660953600,2022-08-20 00:00:00,ATA/USDT,0.1628,0.2856,0.1628,0.173,2855992.74052264,602592.37547655228
1660867200,2022-08-19 00:00:00,ATA/USDT,0.1831,0.1841,0.1603,0.1625,119782.1708,20134.44205827
1660780800,2022-08-18 00:00:00,ATA/USDT,0.1975,0.2001,0.1764,0.1818,125082.9953,23382.81021045
1660694400,2022-08-17 00:00:00,ATA/USDT,0.2057,0.2148,0.1954,0.1969,92603.2369,18986.32736872
1660608000,2022-08-16 00:00:00,ATA/USDT,0.2068,0.2082,0.2035,0.2043,26918.8241,5532.5341577
1660521600,2022-08-15 00:00:00,ATA/USDT,0.2064,0.2134,0.201,0.2066,124141.0123,25267.14728423
1660435200,2022-08-14 00:00:00,ATA/USDT,0.2135,0.2213,0.206,0.2067,179555.1548,38875.67715546
1660348800,2022-08-13 00:00:00,ATA/USDT,0.2149,0.2193,0.2115,0.2134,35989.1743,7722.87829785
1660262400,2022-08-12 00:00:00,ATA/USDT,0.2112,0.2161,0.208,0.2161,42149.4796,8959.52204948
1660176000,2022-08-11 00:00:00,ATA/USDT,0.217,0.2233,0.2112,0.2124,71245.9408,15469.73455047
1660089600,2022-08-10 00:00:00,ATA/USDT,0.2079,0.2184,0.2034,0.2167,69150.8889,14783.35382584
1660003200,2022-08-09 00:00:00,ATA/USDT,0.2237,0.2276,0.2018,0.2079,57228.8619,12125.59739726
1659916800,2022-08-08 00:00:00,ATA/USDT,0.2189,0.2295,0.2184,0.2242,92563.4728,20822.35937282
1659830400,2022-08-07 00:00:00,ATA/USDT,0.2255,0.2313,0.2165,0.2183,122759.7025,27738.73411332
1659744000,2022-08-06 00:00:00,ATA/USDT,0.222,0.2322,0.2196,0.2249,159945.9015,36119.53632142
1659657600,2022-08-05 00:00:00,ATA/USDT,0.2189,0.25,0.2178,0.2204,386911.7541,90226.72654181
