https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume CCD
1663538400000,2022-09-18 22:00:00,CCD/BTC,6.3e-07,6.3e-07,6.3e-07,6.3e-07,0.010663525209096901,16926.23049063
1663534800000,2022-09-18 21:00:00,CCD/BTC,6.3e-07,6.3e-07,6.3e-07,6.3e-07,0.058682517347808896,93146.85293303
1663531200000,2022-09-18 20:00:00,CCD/BTC,6.3e-07,6.3e-07,6.3e-07,6.3e-07,0.0001536049062576,243.81731151999998
1663524000000,2022-09-18 18:00:00,CCD/BTC,6.3e-07,6.3e-07,6.3e-07,6.3e-07,0.0971133737570514,154148.21231278
1663520400000,2022-09-18 17:00:00,CCD/BTC,6.3e-07,6.3e-07,6.3e-07,6.3e-07,0.022113,35100.0
1663516800000,2022-09-18 16:00:00,CCD/BTC,6.3e-07,6.3e-07,6.3e-07,6.3e-07,0.027468,43600.0
1663509600000,2022-09-18 14:00:00,CCD/BTC,6.2e-07,6.2e-07,6.2e-07,6.2e-07,0.0720636484157468,116231.69099314
1663506000000,2022-09-18 13:00:00,CCD/BTC,6.2e-07,6.2e-07,6.2e-07,6.2e-07,0.012158394967314199,19610.31446341
1663502400000,2022-09-18 12:00:00,CCD/BTC,6.2e-07,6.2e-07,6.2e-07,6.2e-07,0.0124,20000.0
1663498800000,2022-09-18 11:00:00,CCD/BTC,6.2e-07,6.2e-07,6.2e-07,6.2e-07,0.048643026273365995,78456.4939893
1663495200000,2022-09-18 10:00:00,CCD/BTC,6.2e-07,6.2e-07,6.2e-07,6.2e-07,0.048771804242203,78664.20039065
1663491600000,2022-09-18 09:00:00,CCD/BTC,6.2e-07,6.2e-07,6.2e-07,6.2e-07,0.0380629934590304,61391.924933919996
1663480800000,2022-09-18 06:00:00,CCD/BTC,6.2e-07,6.2e-07,6.2e-07,6.2e-07,0.2654940965786598,428216.28480429
1663477200000,2022-09-18 05:00:00,CCD/BTC,6.2e-07,6.2e-07,6.2e-07,6.2e-07,0.012084915447226601,19491.79910843
1663441200000,2022-09-17 19:00:00,CCD/BTC,6.2e-07,6.2e-07,6.2e-07,6.2e-07,0.081628084,131658.2
1663434000000,2022-09-17 17:00:00,CCD/BTC,6.1e-07,6.1e-07,6.1e-07,6.1e-07,0.0096233277372342,15775.94711022
1663430400000,2022-09-17 16:00:00,CCD/BTC,6.1e-07,6.1e-07,6.1e-07,6.1e-07,0.021417541641091904,35110.724001790004
1663405200000,2022-09-17 09:00:00,CCD/BTC,6.2e-07,6.2e-07,6.2e-07,6.2e-07,0.050158,80900.0
1663380000000,2022-09-17 02:00:00,CCD/BTC,6.1e-07,6.1e-07,6.1e-07,6.1e-07,0.0169083491791248,27718.605211680002
1663372800000,2022-09-17 00:00:00,CCD/BTC,6.2e-07,6.2e-07,6.1e-07,6.1e-07,0.17125768086622,280750.296502
1663358400000,2022-09-16 20:00:00,CCD/BTC,6.2e-07,6.2e-07,6.2e-07,6.2e-07,0.036597821843443595,59028.74490878
1663354800000,2022-09-16 19:00:00,CCD/BTC,6.2e-07,6.2e-07,6.2e-07,6.2e-07,0.021551997125282798,34761.28568594
1663351200000,2022-09-16 18:00:00,CCD/BTC,6.2e-07,6.2e-07,6.2e-07,6.2e-07,0.0080085156672196,12916.96075358
1663347600000,2022-09-16 17:00:00,CCD/BTC,6.2e-07,6.2e-07,6.2e-07,6.2e-07,0.024663558591198197,39779.93321161
1663344000000,2022-09-16 16:00:00,CCD/BTC,6.2e-07,6.2e-07,6.2e-07,6.2e-07,0.08738670860915841,140946.30420832
1663340400000,2022-09-16 15:00:00,CCD/BTC,6.2e-07,6.2e-07,6.2e-07,6.2e-07,0.0372,60000.0
1663336800000,2022-09-16 14:00:00,CCD/BTC,6.1e-07,6.1e-07,6.1e-07,6.1e-07,0.07753579652355569,127107.86315337
1663333200000,2022-09-16 13:00:00,CCD/BTC,6.1e-07,6.1e-07,6.1e-07,6.1e-07,0.0863368226481178,141535.77483298
1663329600000,2022-09-16 12:00:00,CCD/BTC,6.1e-07,6.2e-07,6.1e-07,6.1e-07,0.1761137597028122,288711.08148002
1663326000000,2022-09-16 11:00:00,CCD/BTC,6.1e-07,6.1e-07,6.1e-07,6.1e-07,0.015062790814041499,24693.09969515
1663322400000,2022-09-16 10:00:00,CCD/BTC,6.2e-07,6.2e-07,6.2e-07,6.2e-07,0.0750859543122476,121106.37792298
1663318800000,2022-09-16 09:00:00,CCD/BTC,6.2e-07,6.2e-07,6.2e-07,6.2e-07,0.1252440087939478,202006.46579669
1663315200000,2022-09-16 08:00:00,CCD/BTC,6.2e-07,6.2e-07,6.2e-07,6.2e-07,0.0137472153654994,22172.92800887
1663308000000,2022-09-16 06:00:00,CCD/BTC,6.2e-07,6.2e-07,6.2e-07,6.2e-07,0.00014605861268719998,235.57840756
1663300800000,2022-09-16 04:00:00,CCD/BTC,6.2e-07,6.3e-07,6.2e-07,6.2e-07,0.1129511267982432,182179.23677136
1663297200000,2022-09-16 03:00:00,CCD/BTC,6.2e-07,6.2e-07,6.2e-07,6.2e-07,0.0043382283336568005,6997.14247364
1663279200000,2022-09-15 22:00:00,CCD/BTC,6.3e-07,6.3e-07,6.3e-07,6.3e-07,0.0127441958005026,20228.88222302
1663275600000,2022-09-15 21:00:00,CCD/BTC,6.3e-07,6.3e-07,6.3e-07,6.3e-07,0.126,200000.0
1663272000000,2022-09-15 20:00:00,CCD/BTC,6.4e-07,6.4e-07,6.4e-07,6.4e-07,0.0003584,560.0
1663264800000,2022-09-15 18:00:00,CCD/BTC,6.4e-07,6.4e-07,6.4e-07,6.4e-07,0.22411228703294722,350175.44848898
1663261200000,2022-09-15 17:00:00,CCD/BTC,6.5e-07,6.5e-07,6.5e-07,6.5e-07,0.00064474408934,991.9139835999999
1663257600000,2022-09-15 16:00:00,CCD/BTC,6.5e-07,6.5e-07,6.5e-07,6.5e-07,0.118052699951069,181619.53838625998
1663254000000,2022-09-15 15:00:00,CCD/BTC,6.7e-07,6.7e-07,6.6e-07,6.6e-07,0.100275440390004,151932.48543939998
1663250400000,2022-09-15 14:00:00,CCD/BTC,6.6e-07,6.6e-07,6.6e-07,6.6e-07,0.14797728000000002,224208.0
1663246800000,2022-09-15 13:00:00,CCD/BTC,6.5e-07,6.5e-07,6.5e-07,6.5e-07,0.027183072159100003,41820.111014
1663236000000,2022-09-15 10:00:00,CCD/BTC,6.6e-07,6.6e-07,6.6e-07,6.6e-07,0.0035242580405999997,5339.784909999999
1663232400000,2022-09-15 09:00:00,CCD/BTC,6.5e-07,6.5e-07,6.5e-07,6.5e-07,0.1497169729599505,230333.80455377
1663228800000,2022-09-15 08:00:00,CCD/BTC,6.4e-07,6.4e-07,6.4e-07,6.4e-07,0.029563240320000003,46192.563
1663225200000,2022-09-15 07:00:00,CCD/BTC,6.3e-07,6.4e-07,6.3e-07,6.4e-07,0.06267718402494081,97933.10003897
1663221600000,2022-09-15 06:00:00,CCD/BTC,6.4e-07,6.4e-07,6.4e-07,6.4e-07,0.012217213201331201,19089.39562708
1663214400000,2022-09-15 04:00:00,CCD/BTC,6.4e-07,6.4e-07,6.4e-07,6.4e-07,0.0398075780637568,62199.34072462
1663210800000,2022-09-15 03:00:00,CCD/BTC,6.4e-07,6.4e-07,6.4e-07,6.4e-07,0.08860572132641921,138446.43957253
1663192800000,2022-09-14 22:00:00,CCD/BTC,6.3e-07,6.3e-07,6.3e-07,6.3e-07,0.0389501092970262,61825.57031274
1663189200000,2022-09-14 21:00:00,CCD/BTC,6.4e-07,6.4e-07,6.4e-07,6.4e-07,0.011913564478636802,18614.94449787
1663185600000,2022-09-14 20:00:00,CCD/BTC,6.4e-07,6.4e-07,6.4e-07,6.4e-07,0.012224,19100.0
