https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume GBP,Volume EUR
1663545600,2022-09-19 00:00:00,GBP/EUR,1.13991,1.13991,1.13991,1.13991,0.00000,0.0
1663542000,2022-09-18 23:00:00,GBP/EUR,1.13991,1.13991,1.13991,1.13991,0.00000,0.0
1663538400,2022-09-18 22:00:00,GBP/EUR,1.13991,1.13991,1.13991,1.13991,0.00000,0.0
1663534800,2022-09-18 21:00:00,GBP/EUR,1.13952,1.13991,1.13952,1.13991,542.18792,618.0454318871999
1663531200,2022-09-18 20:00:00,GBP/EUR,1.14046,1.14046,1.14046,1.14046,0.00000,0.0
1663527600,2022-09-18 19:00:00,GBP/EUR,1.14046,1.14046,1.14046,1.14046,1191.93689,1359.3563455694
1663524000,2022-09-18 18:00:00,GBP/EUR,1.14019,1.14019,1.14019,1.14019,0.00000,0.0
1663520400,2022-09-18 17:00:00,GBP/EUR,1.14019,1.14019,1.14019,1.14019,0.00000,0.0
1663516800,2022-09-18 16:00:00,GBP/EUR,1.14019,1.14019,1.14019,1.14019,0.00000,0.0
1663513200,2022-09-18 15:00:00,GBP/EUR,1.14019,1.14019,1.14019,1.14019,0.00000,0.0
1663509600,2022-09-18 14:00:00,GBP/EUR,1.14019,1.14019,1.14019,1.14019,0.00000,0.0
1663506000,2022-09-18 13:00:00,GBP/EUR,1.14019,1.14019,1.14019,1.14019,46.98111,53.567391810900006
1663502400,2022-09-18 12:00:00,GBP/EUR,1.14023,1.14023,1.14023,1.14023,0.00000,0.0
1663498800,2022-09-18 11:00:00,GBP/EUR,1.14023,1.14023,1.14023,1.14023,0.00000,0.0
1663495200,2022-09-18 10:00:00,GBP/EUR,1.14023,1.14023,1.14023,1.14023,55.92374,63.76592606020001
1663491600,2022-09-18 09:00:00,GBP/EUR,1.14027,1.14027,1.14027,1.14027,0.00000,0.0
1663488000,2022-09-18 08:00:00,GBP/EUR,1.14027,1.14027,1.14027,1.14027,0.00000,0.0
1663484400,2022-09-18 07:00:00,GBP/EUR,1.14027,1.14027,1.14027,1.14027,0.00000,0.0
