https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume MATIC3S,Volume USDT
1663462800,2022-09-18 01:00:00,MATIC3S/USDT,0.013786,0.013798,0.013752,0.013759,69171.5497,951.487529884
1663459200,2022-09-18 00:00:00,MATIC3S/USDT,0.013396,0.013786,0.013295,0.013786,425623.9892,5784.3381892109
1663455600,2022-09-17 23:00:00,MATIC3S/USDT,0.013591,0.013591,0.013342,0.013448,211029.3119,2846.1943770544
1663452000,2022-09-17 22:00:00,MATIC3S/USDT,0.013778,0.013778,0.013591,0.013591,152665.8144,2092.4213797007
1663448400,2022-09-17 21:00:00,MATIC3S/USDT,0.013682,0.013823,0.013671,0.013822,76545.7438,1051.333079757
1663444800,2022-09-17 20:00:00,MATIC3S/USDT,0.013755,0.013792,0.013683,0.013683,24744.8242,339.6711804414
1663441200,2022-09-17 19:00:00,MATIC3S/USDT,0.013709,0.013804,0.013709,0.013804,117113.2015,1610.9787438604
1663437600,2022-09-17 18:00:00,MATIC3S/USDT,0.013653,0.013754,0.013576,0.013699,202474.6303,2766.1416633907
1663434000,2022-09-17 17:00:00,MATIC3S/USDT,0.01345,0.013704,0.013357,0.01364,495968.0825,6706.3608725871
1663430400,2022-09-17 16:00:00,MATIC3S/USDT,0.013703,0.013703,0.013312,0.01349,387361.5851,5223.9593829943
1663426800,2022-09-17 15:00:00,MATIC3S/USDT,0.01388,0.013948,0.013705,0.013705,337536.7848,4646.8422187457
1663423200,2022-09-17 14:00:00,MATIC3S/USDT,0.014058,0.014096,0.01389,0.01389,186335.8585,2606.037511492
1663419600,2022-09-17 13:00:00,MATIC3S/USDT,0.0141,0.014143,0.014042,0.014059,16174.782,227.5700987107
1663416000,2022-09-17 12:00:00,MATIC3S/USDT,0.014135,0.014151,0.014042,0.0141,89979.8849,1264.6095535269
1663412400,2022-09-17 11:00:00,MATIC3S/USDT,0.014113,0.01419,0.01407,0.014135,77421.4229,1095.5017357238
1663408800,2022-09-17 10:00:00,MATIC3S/USDT,0.01407,0.014204,0.014055,0.014113,63854.9994,902.1529838486
1663405200,2022-09-17 09:00:00,MATIC3S/USDT,0.014118,0.014206,0.014069,0.014079,79702.3355,1127.4194665428
1663401600,2022-09-17 08:00:00,MATIC3S/USDT,0.0144,0.0144,0.014118,0.014118,86586.1904,1232.0605259968
1663398000,2022-09-17 07:00:00,MATIC3S/USDT,0.014421,0.01443,0.014376,0.014403,141974.7205,2041.3431210115
1663394400,2022-09-17 06:00:00,MATIC3S/USDT,0.014395,0.01449,0.014277,0.014421,106900.8206,1538.290860449
1663390800,2022-09-17 05:00:00,MATIC3S/USDT,0.014096,0.014395,0.014096,0.014395,198455.9241,2832.8106704947
1663387200,2022-09-17 04:00:00,MATIC3S/USDT,0.014179,0.014179,0.013994,0.014096,151266.1027,2125.8461627325
1663383600,2022-09-17 03:00:00,MATIC3S/USDT,0.013969,0.014284,0.013808,0.014201,627761.5833,8831.3826881
1663380000,2022-09-17 02:00:00,MATIC3S/USDT,0.013922,0.014048,0.013523,0.013969,3477174.1834,47907.5708415544
1663376400,2022-09-17 01:00:00,MATIC3S/USDT,0.014246,0.014292,0.013775,0.013922,1974878.1033,27706.6500186934
1663372800,2022-09-17 00:00:00,MATIC3S/USDT,0.014626,0.014695,0.014028,0.014316,813469.0537,11609.3527811698
1663369200,2022-09-16 23:00:00,MATIC3S/USDT,0.014626,0.014792,0.014553,0.01457,148134.7734,2176.7944620515
1663365600,2022-09-16 22:00:00,MATIC3S/USDT,0.014515,0.014674,0.014438,0.014626,583489.393,8511.5159243882
1663362000,2022-09-16 21:00:00,MATIC3S/USDT,0.014597,0.014713,0.0144,0.014514,1205702.8052,17497.355188794
1663358400,2022-09-16 20:00:00,MATIC3S/USDT,0.014905,0.014905,0.014542,0.014662,1686178.4195,24793.1388277343
