https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LON,Volume USDT
1663459200,2022-09-18 00:00:00,LON/USDT,0.6075,0.6075,0.6075,0.6075,1.374,0.834705
1663372800,2022-09-17 00:00:00,LON/USDT,0.5964,0.6075,0.5896,0.6075,3958.025,2379.30031976
1663286400,2022-09-16 00:00:00,LON/USDT,0.607,0.607,0.5856,0.5871,4608.064,2732.46023436
1663200000,2022-09-15 00:00:00,LON/USDT,0.6174,0.6334,0.604,0.6045,3971.2333,2467.62065451
1663113600,2022-09-14 00:00:00,LON/USDT,0.6242,0.6242,0.6102,0.618,1756.3762,1086.37109625
1663027200,2022-09-13 00:00:00,LON/USDT,0.62,0.6433,0.6105,0.6242,14636.3149,9108.6337753
1662940800,2022-09-12 00:00:00,LON/USDT,0.6168,0.628,0.6123,0.6206,5725.3984,3561.65377336
1662854400,2022-09-11 00:00:00,LON/USDT,0.6221,0.6271,0.6159,0.6165,7077.7752,4426.15124935
1662768000,2022-09-10 00:00:00,LON/USDT,0.6235,0.6274,0.616,0.6274,5290.2767,3290.31394042
1662681600,2022-09-09 00:00:00,LON/USDT,0.6089,0.6252,0.6042,0.6252,2753.8481,1699.71826164
1662595200,2022-09-08 00:00:00,LON/USDT,0.615,0.6245,0.6024,0.6042,4197.737,2570.41928818
1662508800,2022-09-07 00:00:00,LON/USDT,0.6038,0.615,0.5887,0.6111,687387.5838,409339.22017731
1662422400,2022-09-06 00:00:00,LON/USDT,0.6088,0.6223,0.6037,0.6037,435831.392,268478.9708239
1662336000,2022-09-05 00:00:00,LON/USDT,0.6089,0.623,0.6043,0.6065,502390.3672,306066.29264553
1662249600,2022-09-04 00:00:00,LON/USDT,0.5985,0.6126,0.5985,0.6126,74606.7261,45102.98795716
1662163200,2022-09-03 00:00:00,LON/USDT,0.6046,0.6046,0.597,0.599,197025.6858,118154.66714411
1662076800,2022-09-02 00:00:00,LON/USDT,0.6034,0.6145,0.6001,0.6049,64205.2507,38843.57232501
1661990400,2022-09-01 00:00:00,LON/USDT,0.6086,0.6086,0.593,0.6035,32645.7146,19540.85431274
1661904000,2022-08-31 00:00:00,LON/USDT,0.6108,0.63,0.6075,0.6086,35118.6739,21683.48872702
1661817600,2022-08-30 00:00:00,LON/USDT,0.6077,0.6127,0.5999,0.606,2099.1984,1274.27368879
1661731200,2022-08-29 00:00:00,LON/USDT,0.6063,0.6098,0.5994,0.6087,995.2732,598.31172016
1661644800,2022-08-28 00:00:00,LON/USDT,0.6138,0.6252,0.6016,0.6016,6768.9001,4161.86652105
1661558400,2022-08-27 00:00:00,LON/USDT,0.6415,0.6436,0.6135,0.6167,5638.1698,3538.00664715
1661472000,2022-08-26 00:00:00,LON/USDT,0.6536,0.657,0.6416,0.6416,2131.8047,1380.01014401
1661385600,2022-08-25 00:00:00,LON/USDT,0.6465,0.6604,0.6415,0.6583,4114.8557,2690.53606942
1661299200,2022-08-24 00:00:00,LON/USDT,0.64,0.657,0.6385,0.64,1080.5571,703.06573934
1661212800,2022-08-23 00:00:00,LON/USDT,0.6505,0.6505,0.638,0.6464,405.9969,261.04764902
1661126400,2022-08-22 00:00:00,LON/USDT,0.6426,0.6475,0.6256,0.6465,960.7571,615.04612004
1661040000,2022-08-21 00:00:00,LON/USDT,0.6335,0.66,0.6275,0.6475,11564.5272,7491.49909035
1660953600,2022-08-20 00:00:00,LON/USDT,0.6436,0.6484,0.624,0.6335,1683.8075,1074.0500973
1660867200,2022-08-19 00:00:00,LON/USDT,0.6474,0.6674,0.6149,0.6506,45192.0019,28991.11327327
1660780800,2022-08-18 00:00:00,LON/USDT,0.647,0.683,0.647,0.65,20861.6112,13850.61486921
1660694400,2022-08-17 00:00:00,LON/USDT,0.668,0.713,0.6382,0.6566,46110.9068,30307.43910156
1660608000,2022-08-16 00:00:00,LON/USDT,0.6746,0.688,0.6456,0.6666,3193.0526,2105.47224883
1660521600,2022-08-15 00:00:00,LON/USDT,0.6957,0.7027,0.6219,0.6644,16243.4697,10971.26221934
1660435200,2022-08-14 00:00:00,LON/USDT,0.6957,0.6967,0.6724,0.6893,3811.7078,2622.16545453
1660348800,2022-08-13 00:00:00,LON/USDT,0.6953,0.7097,0.689,0.6903,2064.3313,1436.33953082
1660262400,2022-08-12 00:00:00,LON/USDT,0.7107,0.716,0.6886,0.6967,821.5995,573.83703127
1660176000,2022-08-11 00:00:00,LON/USDT,0.7338,0.809,0.7074,0.7074,16828.5226,12468.65663808
1660089600,2022-08-10 00:00:00,LON/USDT,0.6854,0.738,0.6854,0.7207,10572.4526,7463.19881884
1660003200,2022-08-09 00:00:00,LON/USDT,0.7137,0.7173,0.6752,0.6917,3086.9423,2164.90781612
1659916800,2022-08-08 00:00:00,LON/USDT,0.7166,0.7488,0.7092,0.7137,5344.1233,3896.76679342
1659830400,2022-08-07 00:00:00,LON/USDT,0.7126,0.7266,0.7036,0.7103,4523.0052,3208.76877638
1659744000,2022-08-06 00:00:00,LON/USDT,0.7256,0.7317,0.695,0.7074,9246.3961,6633.15284467
1659657600,2022-08-05 00:00:00,LON/USDT,0.7197,0.7307,0.6959,0.7266,11164.5363,8037.35407477
1659571200,2022-08-04 00:00:00,LON/USDT,0.6914,0.7162,0.6833,0.7093,5070.7553,3559.15881423
1659484800,2022-08-03 00:00:00,LON/USDT,0.696,0.7016,0.6845,0.6858,66.5102,45.88843732
1659398400,2022-08-02 00:00:00,LON/USDT,0.719,0.7196,0.6785,0.7037,2293.3626,1600.82061325
1659312000,2022-08-01 00:00:00,LON/USDT,0.6999,0.7177,0.656,0.7177,1935.426,1353.32186048
1659225600,2022-07-31 00:00:00,LON/USDT,0.7027,0.7147,0.6913,0.6943,852.0505,599.70371104
1659139200,2022-07-30 00:00:00,LON/USDT,0.7011,0.7227,0.6805,0.6963,2593.5935,1808.01908405
1659052800,2022-07-29 00:00:00,LON/USDT,0.6788,0.7189,0.6752,0.7177,5533.1647,3883.58784509
1658966400,2022-07-28 00:00:00,LON/USDT,0.6746,0.7088,0.661,0.6788,9494.2496,6538.68964606
1658880000,2022-07-27 00:00:00,LON/USDT,0.6464,0.6746,0.6355,0.6736,21538.0249,14116.36959546
1658793600,2022-07-26 00:00:00,LON/USDT,0.616,0.6415,0.6125,0.6415,5153.7889,3241.43586448
1658707200,2022-07-25 00:00:00,LON/USDT,0.6396,0.652,0.628,0.6385,6132.8554,3943.41816423
1658620800,2022-07-24 00:00:00,LON/USDT,0.6516,0.6646,0.6405,0.652,3088.7489,2015.99375812
1658534400,2022-07-23 00:00:00,LON/USDT,0.6345,0.766,0.6195,0.6516,21676.9827,14357.73332634
1658448000,2022-07-22 00:00:00,LON/USDT,0.6533,0.7075,0.6249,0.6325,940.6309,604.37233015
1658361600,2022-07-21 00:00:00,LON/USDT,0.6423,0.74,0.6165,0.6334,989.5756,629.25080967
1658275200,2022-07-20 00:00:00,LON/USDT,0.6305,0.6545,0.613,0.6305,22261.7692,13976.20320975
1658188800,2022-07-19 00:00:00,LON/USDT,0.6225,0.6819,0.6075,0.6345,19519.065,12258.12572324
1658102400,2022-07-18 00:00:00,LON/USDT,0.6024,0.6235,0.5964,0.6151,21415.71,12956.99289082
1658016000,2022-07-17 00:00:00,LON/USDT,0.6035,0.6178,0.5996,0.6078,21144.9832,12851.64834626
1657929600,2022-07-16 00:00:00,LON/USDT,0.6073,0.6104,0.5946,0.6085,705.2579,425.75009397
1657843200,2022-07-15 00:00:00,LON/USDT,0.6075,0.6085,0.5936,0.601,958.2052,576.63693752
1657756800,2022-07-14 00:00:00,LON/USDT,0.5948,0.6143,0.571,0.6085,21688.0062,12775.76282963
1657670400,2022-07-13 00:00:00,LON/USDT,0.6073,0.6155,0.551,0.6004,28649.4376,16638.64590544
1657584000,2022-07-12 00:00:00,LON/USDT,0.6144,0.6235,0.5926,0.6059,2253.7396,1367.70624347
1657497600,2022-07-11 00:00:00,LON/USDT,0.615,0.6275,0.6055,0.6095,6857.2829,4272.76918333
1657411200,2022-07-10 00:00:00,LON/USDT,0.6225,0.6355,0.6091,0.621,8034.3986,4930.96805121
1657324800,2022-07-09 00:00:00,LON/USDT,0.6365,0.6415,0.6175,0.6255,465.2587,291.39585973
1657238400,2022-07-08 00:00:00,LON/USDT,0.6435,0.66,0.6355,0.6395,5936.7116,3880.83544623
1657152000,2022-07-07 00:00:00,LON/USDT,0.626,0.6522,0.6213,0.6474,12517.62197702,8003.03237264586
1657065600,2022-07-06 00:00:00,LON/USDT,0.615,0.638,0.6125,0.6345,1657.07715052,1036.739596036735
1656979200,2022-07-05 00:00:00,LON/USDT,0.619,0.6305,0.6032,0.616,4057.2216626,2491.753378855565
1656892800,2022-07-04 00:00:00,LON/USDT,0.6185,0.629,0.6108,0.6249,4191.16453143,2605.886624312715
1656806400,2022-07-03 00:00:00,LON/USDT,0.6355,0.65,0.6022,0.6165,63464.67880986,39671.752813261515
1656720000,2022-07-02 00:00:00,LON/USDT,0.635,0.644,0.6115,0.6375,3141.66889172,1965.88943883151
1656633600,2022-07-01 00:00:00,LON/USDT,0.6305,0.6454,0.624,0.631,1920.88451778,1229.88982031906
1656547200,2022-06-30 00:00:00,LON/USDT,0.6425,0.653,0.6185,0.622,1118.29832692,703.86895616401
1656460800,2022-06-29 00:00:00,LON/USDT,0.6375,0.6636,0.6231,0.655,2982.89570989,1899.466085754531
1656374400,2022-06-28 00:00:00,LON/USDT,0.6554,0.6735,0.6299,0.6305,19413.02213225,12552.9537416174
1656288000,2022-06-27 00:00:00,LON/USDT,0.6425,0.6846,0.6425,0.655,3229.77526694,2164.845082371724
1656201600,2022-06-26 00:00:00,LON/USDT,0.6586,0.7107,0.6331,0.6454,25142.80336895,16368.616032913807
1656115200,2022-06-25 00:00:00,LON/USDT,0.6375,0.6576,0.6333,0.6534,8704.29435232,5598.062813296225
1656028800,2022-06-24 00:00:00,LON/USDT,0.6395,0.6595,0.6346,0.6425,5526.42949882,3575.330186083334
1655942400,2022-06-23 00:00:00,LON/USDT,0.6105,0.6461,0.6105,0.6405,17056.84367694,10721.931205333618
1655856000,2022-06-22 00:00:00,LON/USDT,0.613,0.6264,0.5916,0.6115,12922.48605606,7760.694191585984
1655769600,2022-06-21 00:00:00,LON/USDT,0.609,0.6403,0.5903,0.6135,11732.61198499,7227.292496906103
1655683200,2022-06-20 00:00:00,LON/USDT,0.6305,0.6329,0.5907,0.6039,43996.79654544,26834.360224277113
1655596800,2022-06-19 00:00:00,LON/USDT,0.6345,1.0979,0.587,0.6355,190013.10322294,129358.700329472425
1655510400,2022-06-18 00:00:00,LON/USDT,0.6213,0.6475,0.584,0.6255,27326.49899921,16833.358311476242
