https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume PKF,Volume USDT
1663459200,2022-09-18 00:00:00,PKF/USDT,0.1345,0.1358,0.1345,0.1358,1514.9593,204.77847198
1663372800,2022-09-17 00:00:00,PKF/USDT,0.1301,0.1397,0.1243,0.1328,94006.4601,12289.88849274
1663286400,2022-09-16 00:00:00,PKF/USDT,0.1311,0.1366,0.127,0.1299,31570.4046,4141.84178098
1663200000,2022-09-15 00:00:00,PKF/USDT,0.1445,0.155,0.1312,0.1335,178076.14,24792.34983829
1663113600,2022-09-14 00:00:00,PKF/USDT,0.1454,0.1997,0.1388,0.1438,680630.9288,105590.7964415
1663027200,2022-09-13 00:00:00,PKF/USDT,0.1524,0.157,0.1415,0.1473,20640.0406,3046.7394702
1662940800,2022-09-12 00:00:00,PKF/USDT,0.1611,0.1621,0.152,0.1545,19246.7974,2994.62904259
1662854400,2022-09-11 00:00:00,PKF/USDT,0.1645,0.178,0.1577,0.1614,12572.0154,2127.04403075
1662768000,2022-09-10 00:00:00,PKF/USDT,0.1608,0.1686,0.1562,0.1653,34130.3998,5531.09124261
1662681600,2022-09-09 00:00:00,PKF/USDT,0.1455,0.1699,0.1428,0.1608,252922.944,40152.00596097
1662595200,2022-09-08 00:00:00,PKF/USDT,0.1385,0.24,0.135,0.1455,478818.3186,75001.68261611
1662508800,2022-09-07 00:00:00,PKF/USDT,0.1337,0.1451,0.1246,0.1393,74202.9997,10129.48553118
1662422400,2022-09-06 00:00:00,PKF/USDT,0.1383,0.1433,0.1239,0.1353,37592.8663,5110.7067482
1662336000,2022-09-05 00:00:00,PKF/USDT,0.1357,0.1392,0.1323,0.1369,3612.8141,488.96164162
1662249600,2022-09-04 00:00:00,PKF/USDT,0.1438,0.1463,0.1243,0.1354,118750.9177,16241.7124654
1662163200,2022-09-03 00:00:00,PKF/USDT,0.1429,0.179,0.1358,0.142,62437.9578,9134.78317894
1662076800,2022-09-02 00:00:00,PKF/USDT,0.1435,0.18,0.1418,0.1431,73060.1295,10861.49837532
1661990400,2022-09-01 00:00:00,PKF/USDT,0.1474,0.1474,0.1393,0.1437,3432.1834,490.11302446
1661904000,2022-08-31 00:00:00,PKF/USDT,0.1468,0.16,0.1459,0.1459,6680.3431,1019.99484707
1661817600,2022-08-30 00:00:00,PKF/USDT,0.143,0.1654,0.1403,0.145,50849.5691,7536.92692145
1661731200,2022-08-29 00:00:00,PKF/USDT,0.1399,0.1441,0.135,0.1441,3971.6337,553.17089326
1661644800,2022-08-28 00:00:00,PKF/USDT,0.1459,0.1478,0.14,0.14,10237.0985,1468.53569118
1661558400,2022-08-27 00:00:00,PKF/USDT,0.1449,0.1534,0.14,0.1478,37098.2286,5364.39735008
1661472000,2022-08-26 00:00:00,PKF/USDT,0.1614,0.1686,0.145,0.145,45076.1818,7093.14025722
1661385600,2022-08-25 00:00:00,PKF/USDT,0.1599,0.2187,0.155,0.1614,199377.9529,34118.86860405
1661299200,2022-08-24 00:00:00,PKF/USDT,0.1561,0.1626,0.1551,0.1583,1337.3262,211.85200226
1661212800,2022-08-23 00:00:00,PKF/USDT,0.1514,0.1561,0.1445,0.1559,43728.6339,6582.22625213
1661126400,2022-08-22 00:00:00,PKF/USDT,0.1563,0.1563,0.1468,0.1532,51082.6788,7551.93025515
1661040000,2022-08-21 00:00:00,PKF/USDT,0.1497,0.1763,0.14,0.1568,247302.6132,39653.73447587
1660953600,2022-08-20 00:00:00,PKF/USDT,0.1511,0.2375,0.1446,0.1514,297715.8549,48151.24848026
1660867200,2022-08-19 00:00:00,PKF/USDT,0.1816,0.1816,0.15,0.1507,19057.7153,3153.34612373
1660780800,2022-08-18 00:00:00,PKF/USDT,0.1875,0.19,0.1816,0.1816,13363.4251,2495.26205045
1660694400,2022-08-17 00:00:00,PKF/USDT,0.2013,0.2055,0.186,0.1897,14137.7892,2785.46160643
1660608000,2022-08-16 00:00:00,PKF/USDT,0.2057,0.213,0.2013,0.2032,3580.092,730.10781602
1660521600,2022-08-15 00:00:00,PKF/USDT,0.2101,0.2275,0.2052,0.2058,11096.2763,2396.89699184
1660435200,2022-08-14 00:00:00,PKF/USDT,0.2115,0.24,0.2028,0.21,34376.052,7498.08077357
1660348800,2022-08-13 00:00:00,PKF/USDT,0.2054,0.2196,0.2054,0.2134,15792.4361,3305.01560438
1660262400,2022-08-12 00:00:00,PKF/USDT,0.2159,0.22,0.1984,0.2067,18463.9786,3887.73763092
1660176000,2022-08-11 00:00:00,PKF/USDT,0.2,0.22,0.2,0.214,9695.567,2022.88601209
1660089600,2022-08-10 00:00:00,PKF/USDT,0.1919,0.2049,0.1897,0.2,26146.1324,5218.78392414
1660003200,2022-08-09 00:00:00,PKF/USDT,0.204,0.204,0.191,0.1935,17537.9874,3389.24419662
1659916800,2022-08-08 00:00:00,PKF/USDT,0.1949,0.209,0.1935,0.2031,4359.9763,875.91619408
1659830400,2022-08-07 00:00:00,PKF/USDT,0.1951,0.1997,0.1866,0.1952,25794.0864,4950.21466321
1659744000,2022-08-06 00:00:00,PKF/USDT,0.1949,0.2103,0.192,0.1959,39258.3054,7933.58529464
1659657600,2022-08-05 00:00:00,PKF/USDT,0.1873,0.2077,0.1821,0.1946,101500.6775,19822.83480449
1659571200,2022-08-04 00:00:00,PKF/USDT,0.191,0.1941,0.1813,0.1873,35842.6483,6626.89670394
1659484800,2022-08-03 00:00:00,PKF/USDT,0.1897,0.199,0.1791,0.1898,85962.2263,16590.15924251
1659398400,2022-08-02 00:00:00,PKF/USDT,0.1935,0.1943,0.1775,0.19,47774.7158,8863.41188346
1659312000,2022-08-01 00:00:00,PKF/USDT,0.2,0.2025,0.1938,0.1952,10568.7443,2089.1089552
1659225600,2022-07-31 00:00:00,PKF/USDT,0.1957,0.208,0.1919,0.2,19953.7785,3999.83511547
1659139200,2022-07-30 00:00:00,PKF/USDT,0.1993,0.2001,0.1939,0.1939,3549.0971,698.88257648
1659052800,2022-07-29 00:00:00,PKF/USDT,0.2041,0.2049,0.1888,0.199,23901.0167,4673.824148
1658966400,2022-07-28 00:00:00,PKF/USDT,0.186,0.2099,0.1792,0.2057,66175.02,12599.21746244
1658880000,2022-07-27 00:00:00,PKF/USDT,0.1646,0.1899,0.1646,0.1865,25423.472,4383.23469706
1658793600,2022-07-26 00:00:00,PKF/USDT,0.1689,0.169,0.1493,0.1646,68581.0463,11018.14926744
1658707200,2022-07-25 00:00:00,PKF/USDT,0.1807,0.1862,0.1682,0.1689,65128.2541,11389.82877916
1658620800,2022-07-24 00:00:00,PKF/USDT,0.1697,0.19,0.1697,0.1807,88109.4276,15965.93953374
1658534400,2022-07-23 00:00:00,PKF/USDT,0.1769,0.1809,0.1625,0.1697,27301.4365,4684.67313891
1658448000,2022-07-22 00:00:00,PKF/USDT,0.1757,0.1846,0.1727,0.1788,37935.1556,6735.23232607
1658361600,2022-07-21 00:00:00,PKF/USDT,0.1673,0.1833,0.1622,0.1756,62566.4079,10609.06252309
1658275200,2022-07-20 00:00:00,PKF/USDT,0.1659,0.1909,0.157,0.1687,222996.2448,38705.49131795
1658188800,2022-07-19 00:00:00,PKF/USDT,0.1635,0.1747,0.1561,0.1669,68303.659,11134.61356636
1658102400,2022-07-18 00:00:00,PKF/USDT,0.1442,0.178,0.1442,0.1634,156088.34184289,24873.46497233263
1658016000,2022-07-17 00:00:00,PKF/USDT,0.1421,0.1699,0.1416,0.1431,186004.4076,28353.21353051
1657929600,2022-07-16 00:00:00,PKF/USDT,0.1339,0.152,0.1261,0.1421,64860.7068,8912.01634911
1657843200,2022-07-15 00:00:00,PKF/USDT,0.1299,0.1384,0.1281,0.1339,44474.8479,5873.16314115
1657756800,2022-07-14 00:00:00,PKF/USDT,0.1251,0.1497,0.117,0.1293,176111.5088,23465.95973287
1657670400,2022-07-13 00:00:00,PKF/USDT,0.1186,0.1417,0.1064,0.1261,295922.9,35022.23156014
1657584000,2022-07-12 00:00:00,PKF/USDT,0.1224,0.1354,0.1149,0.1183,161859.9603,19653.1361981
1657497600,2022-07-11 00:00:00,PKF/USDT,0.1223,0.1266,0.1193,0.1211,28765.7111,3505.87823388
1657411200,2022-07-10 00:00:00,PKF/USDT,0.1218,0.132,0.119,0.1225,144523.9362,17882.00134229
1657324800,2022-07-09 00:00:00,PKF/USDT,0.1204,0.1236,0.118,0.1218,33718.4548,4038.89196805
