https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ELON,Volume USDT
1663459200,2022-09-18 00:00:00,ELON/USDT,0.0000002701,0.0000002707,0.0000002639,0.0000002655,55379832078.28745575,14741.39538351423553195
1663372800,2022-09-17 00:00:00,ELON/USDT,0.0000002598,0.0000002725,0.000000258,0.0000002701,685473566801.65720023,181304.69857737267063712
1663286400,2022-09-16 00:00:00,ELON/USDT,0.0000002689,0.000000271,0.0000002563,0.0000002598,1251081871587.63614787,330033.037905352354081495
1663200000,2022-09-15 00:00:00,ELON/USDT,0.0000002788,0.000000281,0.0000002655,0.0000002679,1167020613464.11427512,316111.47355342978226046
1663113600,2022-09-14 00:00:00,ELON/USDT,0.0000002709,0.0000002811,0.000000265,0.0000002789,2362841367470.11578842,644108.026612078707148414
1663027200,2022-09-13 00:00:00,ELON/USDT,0.0000002908,0.000000298,0.0000002707,0.0000002714,1505559461529.46984223,421779.266362257710536078
1662940800,2022-09-12 00:00:00,ELON/USDT,0.0000002948,0.000000306,0.0000002871,0.0000002902,1166604955290.76495361,345950.102942887021923565
1662854400,2022-09-11 00:00:00,ELON/USDT,0.0000002918,0.0000003298,0.000000287,0.0000002947,1718421709449.34891241,511451.460481156933090684
1662768000,2022-09-10 00:00:00,ELON/USDT,0.0000002899,0.0000002986,0.0000002792,0.0000002918,1336262602857.5299955,384481.884357227698597199
1662681600,2022-09-09 00:00:00,ELON/USDT,0.0000002728,0.000000299,0.0000002711,0.00000029,2019997495320.82204913,579124.632559750648401267
1662595200,2022-09-08 00:00:00,ELON/USDT,0.0000002793,0.000000284,0.0000002652,0.0000002723,1035411372772.29116812,282485.977839478567378808
1662508800,2022-09-07 00:00:00,ELON/USDT,0.0000002707,0.000000285,0.000000262,0.0000002798,1032226153567.97920233,280630.505785098725179079
1662422400,2022-09-06 00:00:00,ELON/USDT,0.0000002856,0.0000002931,0.0000002688,0.0000002704,1073358909774.96328996,301652.557173956598145658
1662336000,2022-09-05 00:00:00,ELON/USDT,0.0000002824,0.000000291,0.0000002783,0.0000002852,885020197181.96119863,250474.322816522864593223
1662249600,2022-09-04 00:00:00,ELON/USDT,0.000000282,0.000000286,0.0000002782,0.0000002828,593888730071.17712454,167225.578110765800879353
1662163200,2022-09-03 00:00:00,ELON/USDT,0.000000281,0.0000002854,0.000000279,0.0000002821,593181843666.40599496,166926.035704217422748589
1662076800,2022-09-02 00:00:00,ELON/USDT,0.0000002856,0.0000002926,0.0000002798,0.0000002805,1138129011922.91041494,326841.924517942265560315
1661990400,2022-09-01 00:00:00,ELON/USDT,0.0000002824,0.000000288,0.000000275,0.000000286,1044997510606.81866623,294647.611884852432413557
1661904000,2022-08-31 00:00:00,ELON/USDT,0.0000002852,0.0000002969,0.0000002795,0.000000283,897693291999.75693432,259014.438301111524201603
1661817600,2022-08-30 00:00:00,ELON/USDT,0.0000002953,0.0000002998,0.0000002797,0.0000002841,967292526622.64969032,280284.391143367885724742
1661731200,2022-08-29 00:00:00,ELON/USDT,0.0000002745,0.0000002985,0.0000002723,0.0000002948,896367917297.9876866,257479.144376105650465374
1661644800,2022-08-28 00:00:00,ELON/USDT,0.0000002848,0.00000029,0.000000274,0.0000002746,621932147704.51011627,177565.289699992606808848
1661558400,2022-08-27 00:00:00,ELON/USDT,0.0000002872,0.0000002902,0.0000002792,0.0000002844,709285888374.17444799,202080.027328049291517111
1661472000,2022-08-26 00:00:00,ELON/USDT,0.0000003105,0.000000311,0.000000284,0.000000286,1506205482288.51669935,451596.483958478114047668
1661385600,2022-08-25 00:00:00,ELON/USDT,0.0000003054,0.0000003218,0.0000003045,0.0000003105,1147107255490.95350369,359663.027023065402948806
