https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ETH,Volume XLM
1650672000000,2022-04-23 00:00:00,XLM/ETH,6.604e-05,6.633e-05,6.531e-05,6.633e-05,0.1383725737236744,2086.12352968
1650585600000,2022-04-22 00:00:00,XLM/ETH,6.589e-05,6.657e-05,6.589e-05,6.657e-05,0.0022825101423473997,34.28736882
1650499200000,2022-04-21 00:00:00,XLM/ETH,6.499e-05,6.61e-05,6.485e-05,6.603e-05,0.42925543407107164,6500.91525172
1650412800000,2022-04-20 00:00:00,XLM/ETH,6.588e-05,6.61e-05,6.527e-05,6.61e-05,0.23244005393664,3516.4909824
1650326400000,2022-04-19 00:00:00,XLM/ETH,6.698e-05,6.801e-05,6.698e-05,6.715e-05,0.002574057219146,38.33294444
1650240000000,2022-04-18 00:00:00,XLM/ETH,6.62e-05,6.861e-05,6.572e-05,6.701e-05,0.2502091715097072,3733.90794672
1650153600000,2022-04-17 00:00:00,XLM/ETH,6.764e-05,6.764e-05,6.655e-05,6.676e-05,0.022487308457668397,336.83805358999996
1650067200000,2022-04-16 00:00:00,XLM/ETH,6.706e-05,6.843e-05,6.695e-05,6.795e-05,0.27623236359924447,4065.22978071
1649980800000,2022-04-15 00:00:00,XLM/ETH,6.707e-05,6.91e-05,6.697e-05,6.697e-05,1.955958206862104,29206.48360254
1649894400000,2022-04-14 00:00:00,XLM/ETH,6.388e-05,6.696e-05,6.387e-05,6.398e-05,0.12826766378021398,2004.8087493
1649808000000,2022-04-13 00:00:00,XLM/ETH,6.374e-05,6.374e-05,6.261e-05,6.261e-05,0.33920937506870524,5417.81464732
1649721600000,2022-04-12 00:00:00,XLM/ETH,6.353e-05,6.353e-05,6.295e-05,6.295e-05,0.104541774164484,1660.71126552
1649635200000,2022-04-11 00:00:00,XLM/ETH,6.309e-05,6.33e-05,6.178e-05,6.321e-05,0.5055251664134826,7997.55048906
1649548800000,2022-04-10 00:00:00,XLM/ETH,6.338e-05,6.338e-05,6.338e-05,6.338e-05,0.0008412720646584001,13.27346268
1649462400000,2022-04-09 00:00:00,XLM/ETH,6.262e-05,6.262e-05,6.261e-05,6.261e-05,0.0015264318,24.380000000000003
1649376000000,2022-04-08 00:00:00,XLM/ETH,6.557e-05,6.557e-05,6.326e-05,6.326e-05,0.9159136240951834,14478.55871159
1649289600000,2022-04-07 00:00:00,XLM/ETH,6.418e-05,6.563e-05,6.418e-05,6.563e-05,0.0022118093497503,33.70119381
1649203200000,2022-04-06 00:00:00,XLM/ETH,6.628e-05,6.64e-05,6.365e-05,6.365e-05,0.2770091954506805,4352.06905657
1649116800000,2022-04-05 00:00:00,XLM/ETH,6.592e-05,6.838e-05,6.568e-05,6.612e-05,0.2957494776672492,4472.92010991
1649030400000,2022-04-04 00:00:00,XLM/ETH,6.773e-05,6.79e-05,6.773e-05,6.79e-05,0.025275330202716998,372.24344923
