https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume SOL3S,Volume USDT
1663459200,2022-09-18 00:00:00,SOL3S/USDT,0.396,0.4048,0.3948,0.3978,37632.5034,14985.33962406
1663372800,2022-09-17 00:00:00,SOL3S/USDT,0.4598,0.4598,0.391,0.3961,460383.7257,196250.3889457
1663286400,2022-09-16 00:00:00,SOL3S/USDT,0.4295,0.4891,0.4243,0.4598,738039.5959,335646.10943608
1663200000,2022-09-15 00:00:00,SOL3S/USDT,0.3913,0.454,0.3705,0.4325,1246354.4792,514221.2626019
1663113600,2022-09-14 00:00:00,SOL3S/USDT,0.4377,0.4491,0.3807,0.3901,1412769.7477,588531.40011654
1663027200,2022-09-13 00:00:00,SOL3S/USDT,0.3241,0.4377,0.2841,0.4371,2860476.2961,1017391.72457243
1662940800,2022-09-12 00:00:00,SOL3S/USDT,0.4087,0.4264,0.2982,0.3226,1988737.29051374,676260.076761305198
1662854400,2022-09-11 00:00:00,SOL3S/USDT,0.4054,0.4406,0.3758,0.4069,617050.66052113,251695.374262449423
1662768000,2022-09-10 00:00:00,SOL3S/USDT,0.4205,0.4365,0.3952,0.4054,454587.9179,189141.96139837
1662681600,2022-09-09 00:00:00,SOL3S/USDT,0.4697,0.4697,0.3714,0.4192,1231226.14897904,501592.9903561972
1662595200,2022-09-08 00:00:00,SOL3S/USDT,0.5075,0.5383,0.4531,0.4695,982488.8356,488604.20195138
1662508800,2022-09-07 00:00:00,SOL3S/USDT,0.6184,0.6519,0.5011,0.5107,780070.0726,453493.7637278
1662422400,2022-09-06 00:00:00,SOL3S/USDT,0.556,0.6365,0.4717,0.6201,1228182.1410324,671579.484297026142
1662336000,2022-09-05 00:00:00,SOL3S/USDT,0.56,0.607,0.5423,0.5597,307600.8489,176992.91303206
1662249600,2022-09-04 00:00:00,SOL3S/USDT,0.6231,0.6244,0.56,0.56,278502.5355506,164713.61036111868
1662163200,2022-09-03 00:00:00,SOL3S/USDT,0.6211,0.6416,0.6163,0.6231,179638.75449624,112714.897814328272
