https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume PRE,Volume USDT
1663462800,2022-09-18 01:00:00,PRE/USDT,0.075309,0.075316,0.075284,0.075284,2898.45,218.28042728
1663459200,2022-09-18 00:00:00,PRE/USDT,0.075322,0.075323,0.075084,0.075286,55562.0893,4182.6005839579
1663455600,2022-09-17 23:00:00,PRE/USDT,0.075459,0.075523,0.07509,0.07509,48728.9274,3677.6169877409
1663452000,2022-09-17 22:00:00,PRE/USDT,0.074611,0.075638,0.074611,0.075459,38480.3378,2900.936961136
1663448400,2022-09-17 21:00:00,PRE/USDT,0.074276,0.074561,0.074276,0.074561,3263.4852,242.4619723432
1663444800,2022-09-17 20:00:00,PRE/USDT,0.074276,0.074276,0.074188,0.074276,19119.2788,1419.2404602105
1663441200,2022-09-17 19:00:00,PRE/USDT,0.074448,0.074448,0.074188,0.074269,60158.1998,4470.2631300238
1663437600,2022-09-17 18:00:00,PRE/USDT,0.07467,0.074687,0.074236,0.074364,48517.8061,3613.6577267223
1663434000,2022-09-17 17:00:00,PRE/USDT,0.074583,0.07475,0.074483,0.07467,66193.7909,4942.3664850169
1663430400,2022-09-17 16:00:00,PRE/USDT,0.074088,0.0746,0.073909,0.0746,29478.2015,2190.2142284341
1663426800,2022-09-17 15:00:00,PRE/USDT,0.07387,0.074139,0.073326,0.074074,84542.6116,6232.2955552179
1663423200,2022-09-17 14:00:00,PRE/USDT,0.074139,0.074741,0.073501,0.073501,87839.4652,6510.9426714517
1663419600,2022-09-17 13:00:00,PRE/USDT,0.074186,0.074465,0.073872,0.073893,59378.1418,4407.1974554624
1663416000,2022-09-17 12:00:00,PRE/USDT,0.073576,0.074186,0.0735,0.074186,81297.3656,5996.1442713061
1663412400,2022-09-17 11:00:00,PRE/USDT,0.074131,0.074222,0.073587,0.073696,79233.0109,5861.7491051527
1663408800,2022-09-17 10:00:00,PRE/USDT,0.074153,0.074317,0.073772,0.073874,89088.0795,6602.4025329989
1663405200,2022-09-17 09:00:00,PRE/USDT,0.074231,0.074442,0.0736,0.074155,92585.0092,6865.8903729968
1663401600,2022-09-17 08:00:00,PRE/USDT,0.074131,0.074571,0.074024,0.074219,70668.201,5255.9884253415
1663398000,2022-09-17 07:00:00,PRE/USDT,0.074437,0.074489,0.073893,0.074131,84740.3532,6282.5976505539
1663394400,2022-09-17 06:00:00,PRE/USDT,0.074203,0.074532,0.073975,0.074254,72965.4623,5423.1670101338
1663390800,2022-09-17 05:00:00,PRE/USDT,0.074142,0.074387,0.073776,0.074082,105535.6491,7811.3840334443
1663387200,2022-09-17 04:00:00,PRE/USDT,0.074143,0.074645,0.074111,0.074219,85151.0367,6334.9525221598
1663383600,2022-09-17 03:00:00,PRE/USDT,0.07407,0.074531,0.073916,0.074312,80520.525,5977.5772620231
1663380000,2022-09-17 02:00:00,PRE/USDT,0.074512,0.074522,0.073893,0.074116,94062.2545,6983.5993428979
