https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ALEPH,Volume USDT
1663459200,2022-09-18 00:00:00,ALEPH/USDT,0.117177,0.117265,0.116307,0.116307,2851.2836,333.8492904061
1663372800,2022-09-17 00:00:00,ALEPH/USDT,0.118621,0.119777,0.113285,0.117353,181975.4575,21352.5854992842
1663286400,2022-09-16 00:00:00,ALEPH/USDT,0.125719,0.12718,0.115002,0.119376,282907.0084,34478.9061201053
1663200000,2022-09-15 00:00:00,ALEPH/USDT,0.133946,0.13477,0.124192,0.125618,469306.9652,60560.9432985684
1663113600,2022-09-14 00:00:00,ALEPH/USDT,0.136498,0.145989,0.128,0.133862,1311202.7672,176483.9553528091
1663027200,2022-09-13 00:00:00,ALEPH/USDT,0.189604,0.201769,0.134104,0.136496,2466862.7686,422931.0197866438
1662940800,2022-09-12 00:00:00,ALEPH/USDT,0.126698,0.191036,0.123467,0.190585,2667877.6542,444520.0790428862
1662854400,2022-09-11 00:00:00,ALEPH/USDT,0.13057,0.130974,0.124101,0.126666,284301.8854,36388.8165747028
1662768000,2022-09-10 00:00:00,ALEPH/USDT,0.136326,0.13698,0.1286,0.13083,194157.0865,25706.0617899838
1662681600,2022-09-09 00:00:00,ALEPH/USDT,0.138906,0.13994,0.132233,0.136315,285505.3063,39135.2530554868
1662595200,2022-09-08 00:00:00,ALEPH/USDT,0.145831,0.147783,0.137052,0.138526,242230.9493,34274.0094544347
1662508800,2022-09-07 00:00:00,ALEPH/USDT,0.154,0.159115,0.145134,0.145739,269214.6059,40795.23635823
1662422400,2022-09-06 00:00:00,ALEPH/USDT,0.162375,0.167725,0.154,0.154672,232341.5562,37299.8138474832
1662336000,2022-09-05 00:00:00,ALEPH/USDT,0.180214,0.182263,0.152258,0.162451,723092.7502,117677.7171831463
1662249600,2022-09-04 00:00:00,ALEPH/USDT,0.183577,0.184895,0.178622,0.180403,130720.6487,23707.3589669054
1662163200,2022-09-03 00:00:00,ALEPH/USDT,0.196671,0.198609,0.183409,0.184664,286871.4849,54357.4166423273
1662076800,2022-09-02 00:00:00,ALEPH/USDT,0.218532,0.219583,0.19,0.196664,723022.9079,146982.7984583111
1661990400,2022-09-01 00:00:00,ALEPH/USDT,0.249931,0.250437,0.210109,0.218696,494045.39162618,112054.65686939989036
1661904000,2022-08-31 00:00:00,ALEPH/USDT,0.260827,0.262484,0.245655,0.249245,267102.4817,69149.385140115
