https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume GLCH,Volume USDT
1663459200,2022-09-18 00:00:00,GLCH/USDT,0.0815,0.0819,0.0815,0.0819,4039.4249,330.52362082
1663372800,2022-09-17 00:00:00,GLCH/USDT,0.0796,0.0825,0.079,0.0811,55989.7425,4530.82517209
1663286400,2022-09-16 00:00:00,GLCH/USDT,0.08,0.0826,0.077,0.0796,389075.802,31064.55067545
1663200000,2022-09-15 00:00:00,GLCH/USDT,0.0822,0.0832,0.0792,0.08,98658.148,7982.23897157
1663113600,2022-09-14 00:00:00,GLCH/USDT,0.0778,0.087,0.0778,0.0822,422699.7068,35541.35462944
1663027200,2022-09-13 00:00:00,GLCH/USDT,0.0822,0.087,0.0776,0.0778,230926.2395,18813.14674259
1662940800,2022-09-12 00:00:00,GLCH/USDT,0.0842,0.0875,0.0813,0.0822,224974.8241,18887.73371701
1662854400,2022-09-11 00:00:00,GLCH/USDT,0.0853,0.0876,0.083,0.0842,173479.6934,14861.02507451
1662768000,2022-09-10 00:00:00,GLCH/USDT,0.0834,0.088,0.082,0.086,206941.2796,17610.86373996
1662681600,2022-09-09 00:00:00,GLCH/USDT,0.0803,0.0875,0.0792,0.0835,3110228.1893,254119.69331414
1662595200,2022-09-08 00:00:00,GLCH/USDT,0.0824,0.0848,0.0781,0.0802,674228.372,54290.58591209
1662508800,2022-09-07 00:00:00,GLCH/USDT,0.0799,0.084,0.078,0.0825,270952.0922,21780.37955709
1662422400,2022-09-06 00:00:00,GLCH/USDT,0.0854,0.0889,0.0791,0.0798,682697.4278,57188.8922948
1662336000,2022-09-05 00:00:00,GLCH/USDT,0.0845,0.0857,0.083,0.0854,141784.7845,11871.02014767
1662249600,2022-09-04 00:00:00,GLCH/USDT,0.0841,0.086,0.083,0.0849,88410.0801,7460.06353703
1662163200,2022-09-03 00:00:00,GLCH/USDT,0.0862,0.0871,0.0822,0.0847,143310.552,12034.85293829
1662076800,2022-09-02 00:00:00,GLCH/USDT,0.0889,0.0898,0.0845,0.0862,184140.9949,16084.69626369
1661990400,2022-09-01 00:00:00,GLCH/USDT,0.0901,0.091,0.085,0.0889,171470.8658,15040.18075778
1661904000,2022-08-31 00:00:00,GLCH/USDT,0.0877,0.0912,0.0865,0.0909,285716.146,25624.78748347
1661817600,2022-08-30 00:00:00,GLCH/USDT,0.0859,0.0913,0.0854,0.087,606371.1336,54358.14376182
1661731200,2022-08-29 00:00:00,GLCH/USDT,0.0791,0.092,0.0783,0.086,857052.0336,73111.50869372
1661644800,2022-08-28 00:00:00,GLCH/USDT,0.0774,0.0841,0.077,0.0791,922739.5415,75281.68525952
1661558400,2022-08-27 00:00:00,GLCH/USDT,0.0814,0.0822,0.0767,0.0783,298215.5571,23454.18584882
1661472000,2022-08-26 00:00:00,GLCH/USDT,0.0851,0.0877,0.0773,0.0821,568833.4648,46898.74824494
1661385600,2022-08-25 00:00:00,GLCH/USDT,0.0807,0.0868,0.078,0.0851,658956.9857,54032.83655927
1661299200,2022-08-24 00:00:00,GLCH/USDT,0.0865,0.0885,0.0806,0.0807,525313.9155,44361.06910223
1661212800,2022-08-23 00:00:00,GLCH/USDT,0.0809,0.09,0.0795,0.086,505822.4824,43017.6325281
1661126400,2022-08-22 00:00:00,GLCH/USDT,0.0886,0.0889,0.078,0.0818,950830.86785607,78676.258287653347
1661040000,2022-08-21 00:00:00,GLCH/USDT,0.0872,0.0917,0.087,0.0885,249210.8307,22105.31575765
1660953600,2022-08-20 00:00:00,GLCH/USDT,0.0865,0.0909,0.0862,0.0869,284926.7209,25261.94995531
1660867200,2022-08-19 00:00:00,GLCH/USDT,0.0995,0.0999,0.0862,0.0874,839517.1633,77085.0171874
1660780800,2022-08-18 00:00:00,GLCH/USDT,0.101,0.1041,0.0982,0.099,325761.243,32835.2584203
1660694400,2022-08-17 00:00:00,GLCH/USDT,0.1045,0.109,0.0987,0.1012,423899.3791,43712.73039548
1660608000,2022-08-16 00:00:00,GLCH/USDT,0.1075,0.109,0.102,0.1045,254436.6324,27022.89104002
1660521600,2022-08-15 00:00:00,GLCH/USDT,0.11,0.1124,0.1055,0.1084,340054.6241,36930.22784451
