https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USDT,Volume CRON
1663545600000,2022-09-19 00:00:00,CRON/USDT,0.15516043,0.15616854,0.15466586,0.15605575,1004.1083327790499,6434.29244215
1663459200000,2022-09-18 00:00:00,CRON/USDT,0.16188226,0.16388515,0.15453648,0.155207,10304.02021892656,66388.88850971
1663372800000,2022-09-17 00:00:00,CRON/USDT,0.16071769,0.1765,0.15799427,0.1618818,9065.843722802865,56002.85963464
1663286400000,2022-09-16 00:00:00,CRON/USDT,0.15850089,0.16071769,0.15650682,0.16071769,8779.454450460305,54626.55946872
1663200000000,2022-09-15 00:00:00,CRON/USDT,0.16820416,0.16864659,0.15800639,0.15850089,11078.665682469238,69896.55188983
1663113600000,2022-09-14 00:00:00,CRON/USDT,0.17014049,0.17256113,0.16770586,0.16820416,11675.369948055755,69411.89770845
1663027200000,2022-09-13 00:00:00,CRON/USDT,0.17940626,0.18139715,0.16808463,0.17014049,17107.696579820997,100550.41324861
1662940800000,2022-09-12 00:00:00,CRON/USDT,0.17972094,0.18229412,0.14600012,0.17940626,11922.201180719416,66453.65206721
1662854400000,2022-09-11 00:00:00,CRON/USDT,0.17892213,0.18133631,0.17689387,0.17972094,10841.554868643487,60324.38328357
1662768000000,2022-09-10 00:00:00,CRON/USDT,0.17444785,0.17935629,0.17272172,0.17892213,9925.953308880726,55476.38690016
1662681600000,2022-09-09 00:00:00,CRON/USDT,0.16480324,0.17734162,0.16449009,0.17444785,12584.049951011528,72136.45769215
1662595200000,2022-09-08 00:00:00,CRON/USDT,0.16622331,0.16682288,0.16272053,0.16480323,11670.192388998243,70812.88630689
1662508800000,2022-09-07 00:00:00,CRON/USDT,0.16070291,0.16660855,0.15777814,0.16622331,11831.369736398936,71177.5606947
1662422400000,2022-09-06 00:00:00,CRON/USDT,0.16420065,0.19055232,0.15892741,0.16070291,14957.588425849972,93076.02722222
1662336000000,2022-09-05 00:00:00,CRON/USDT,0.1680026,0.1955642,0.16341898,0.1642335,13577.960172409425,82674.7294091
1662249600000,2022-09-04 00:00:00,CRON/USDT,0.15954557,0.16969515,0.15836351,0.16814677,11070.851680056348,65840.40645001
1662163200000,2022-09-03 00:00:00,CRON/USDT,0.16253664,0.16332155,0.15717672,0.15944991,9855.477517399884,61809.23850882
1662076800000,2022-09-02 00:00:00,CRON/USDT,0.16832084,0.17230385,0.15913547,0.16253664,14486.941941372163,89130.3151177
1661990400000,2022-09-01 00:00:00,CRON/USDT,0.17747018,0.19914381,0.16641371,0.16832084,17410.284521450314,103435.10952922
1661904000000,2022-08-31 00:00:00,CRON/USDT,0.1796984,0.1826564,0.17692527,0.17747018,11009.107978793665,62033.56518145
1661817600000,2022-08-30 00:00:00,CRON/USDT,0.18640408,0.18670243,0.17892313,0.17977112,9498.528459019186,52836.78746074
1661731200000,2022-08-29 00:00:00,CRON/USDT,0.17243417,0.18680232,0.17133324,0.18640407,10350.207472044169,55525.65173091
1661644800000,2022-08-28 00:00:00,CRON/USDT,0.1804749,0.19854598,0.12100003,0.17243417,9144.068169844173,53029.32806093
